T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
ruffian,scamper,subzero450,delta,1,1,2
waldo,sova unknown,kibo,prof3ssormgw,0,2,0
kogarasuma,chavo,toast,ster tha kiid,0,2,0
ntarps,raffi-x,vayseth,theagedone,0,2,0
vivid,corona17,lefty,ant,0,2,0
!blue!,ninja,tarn,same,0,2,0
the real mr. m,earthboundy,knightmare,ph33r,0,2,0
sam0s,babyjay,wraith,unknown,1,0,2
t.i.m,kbolt,capsui,trashcan,0,2,1
nights,vale,soan,dz,1,0,2
andy,rutsky,fabled,arhungry,1,0,2
firenero,elu,ralphie,mr.chef,1,0,2
dugan,g-rain,np octopusman,stocktaker69,0,2,0
gohan,cyberman65,naga,click,0,2,0
jazz,sxips,asap angel,jaymillex,0,2,0
coach pun,sparky #25,rumble mcscrumble,h3x,0,2,1
max ketchum,angel cortes,ace,booski,0,2,0
deli,autumn,rai,deployment,0,0,-1
wadi,dark wizzy,extra-o,q,0,2,0
uno,bc luck,spider,pain,0,2,0
deaco,noobcube,pheno,navy,0,2,0
protom,nbd-hurt,king777,bear,1,0,2
primefighter,grunk,shing,red,0,2,0
salem,chibo,playz,neko,0,2,0
steezy,franch1ze,littlebigboi,glgwawa,0,2,0
schwapple,aww8badges,squirrely,nbd~x,1,-1,0
vom,riz,code: e,mono,0,2,0
clamhat,ghost note,th3italianpanda,thebombbimbi,1,0,2
tm87,oatmeal,freelancer leo,spt,1,0,2
lordxav1er,superscope,rawk,pankeiki,0,2,0
xorn,biddy,ruffgun,bill nye,0,2,0
bryce,bonk!,epm,element_demon,0,2,1
blazingpasta,summerhays,ebnks,reggie?,0,2,0
scot!,glare,slmko,rev^,0,2,0
lou,gutts,scobra,reklaw,0,2,0
redeemer z,ssbmatt,vinsane,dragonhat,0,2,0
maro,g,travisty,ragtime,0,2,1
samsora,ryuga,botch,youtroid,0,2,0
godfident,air gordon,duckfro,awildchocobro,0,2,1
hero,cagt,chrismus,)(d,0,2,0
jebb,ice,momo,newt:d,0,2,0
cliffdog,dio,linguine,shady,0,0,-1
lingling,xion,inayellowflash,edwin,0,2,1
stewy,loe1,tilefloor,dsf,0,2,0
remzi,ash23,crownlessking,insomniac,0,2,0
sync,jakal,lag chaos,tokyo,1,0,2
koolaid,mattyg,black yoshi,squerk,0,2,0
nelvin,pelca,cheezyb,vaar,0,2,0
