p1,p2,finalPlacement
lag chaostokyo,49
sam0sbabyjay,65
shingred,97
dugang-rain,33
dr.pr.tiltfurguzo,97
wraithunknown,65
jazzsxips,49
zecolusterzucchini,97
herocagt,33
steezyfranch1ze,65
nagaclick,65
pokeyquips,65
th3italianpandathebombbimbi,49
epmelement_demon,65
vividcorona17,13
black yoshisquerk,17
the real mr. mearthboundy,49
playzneko,33
vinsanedragonhat,65
coach punsparky #25,33
t.i.mkbolt,65
raideployment,97
pokevsimbattlesnail,97
rumble mcscrumbleh3x,97
wadidark wizzy,4
protomnbd-hurt,65
scobrareklaw,65
ntarpsraffi-x,25
freelancer leospt,33
crowdingmoviespirunk,33
jamesthe great gonzales,17
captainzackpink fresh,9
bowfrozen,9
squidboyten,65
deaconoobcube,65
primefightergrunk,33
fabledarhungry,65
gomamugityanakat,5
travistyragtime,97
kogarasumachavo,17
andyrutsky,65
samsoraryuga,7
phenonavy,65
marog,49
black yoshisquerk,97
max ketchumangel cortes,13
rawkpankeiki,25
linglingxion,25
lougutts,33
schwappleaww8badges,97
code: emono,65
redeemer zssbmatt,33
!blue!ninja,17
capsuitrashcan,97
ralphiemr.chef,17
godfidentair gordon,49
dkwillraptor,13
syncjakal,49
gohancyberman65,33
lordxav1ersuperscope,65
deven3000dekillsage,65
swansonbuzz,65
vomriz,25
knightmareph33r,65
leftyant,97
gonzillaeazy,49
lof hackoru6wx,9
momonewt:d,65
fireneroelu,97
cliffdogdio,65
crownlesskinginsomniac,97
remziash23,33
inayellowflashedwin,49
vashzoan,33
blazingpastasummerhays,33
nightsvale,65
waldosova unknown,25
tm87oatmeal,97
duckfroawildchocobro,97
ruffgunbill nye,97
ebnksreggie?,49
chrismus)(d,97
spiderpain,97
mr.emkleo,2
linguineshady,65
littlebigboiglgwawa,97
extra-oq,65
xornbiddy,33
vayseththeagedone,65
asap angeljaymillex,65
jebbice,25
kiboprof3ssormgw,49
scot!glare,49
nelvinpelca,33
squirrelynbd~x,49
king777bear,33
lexyae-tanked,65
brycebonk!,17
acebooski,65
ruffianscamper,65
botchyoutroid,65
soandz,25
clamhatghost note,65
dabuzzinoto,9
zeronairo,1
koolaidmattyg,7
tarnsame,97
undecidedjuice,65
falsetweek,3
lightdon,13
toastster tha kiid,97
pugwestmarss,5
np octopusmanstocktaker69,49
unobc luck,25
deliautumn,49
tilefloordsf,97
subzero450delta,49
salemchibo,17
cheezybvaar,97
stewyloe1,17
slmkorev^,97
