T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
shoe,miiself,dr. pawnch,fumblez,0,-2,-2
skub,idk,sedars,mr.tilts,0,-2,-2
machina,jayce,jersh,pixel,0,-2,-2
j-rex,roman,dontufeelfat,pnda,1,-2,-2
matrix,dkwill,jiggz,ms.saiyan,0,-2,-2
mugen,forbiddenone,ase,r2d3,0,-2,-2
bby,edg,jaydee,cha0tic,1,-2,-2
m@,chippy,desoto,just ivan,0,-2,-2
ethene,avian,rcubed,starkastic,0,-2,-2
myst,salt,zepiczorua,neeks?!,1,-2,-2
danbi,villan,steiner,obscurica,0,-2,-2
tonysherbert,ssguy,hawk,johan,0,-2,-2
nyroc,halqery,blue,red,0,-2,-2
gayonetta,jokertron,brax,jesus,1,-2,-2
rev,taco,czechkris91,pianodan,0,-2,-2
kidflash,horneaus,jfk,hlg ghey,1,-2,-2
goku,passion,cletus,uno,0,-2,-2
zensei,4skin,coldramen,toomuchdog,0,-2,-2
zero,nairo,shoe,miiself,0,-2,-2
jacobthesomething,ashen,beastly,ghoul02,0,-2,-2
kj,jerm,skub,idk,1,-1,0
xanzy,p2p with gibus,machina,jayce,0,-2,-2
mew^2,hyrule hero,dontufeelfat,pnda,0,-2,-2
funcrazyfish,illusion,boz,bambi,0,-2,-2
iiggy,aerolink,matrix,dkwill,0,-2,-2
calmanimal,mind,cheeky,pika?,0,-2,-2
gnes,mjg,mugen,forbiddenone,0,-2,-2
oscarm,el yoshi,steveritt,waifu warrior,0,-2,-2
infern,y.b.m.,jaydee,cha0tic,0,-2,-2
kkiller,sage,noggelato,tungsten,0,-2,-2
karna,dakpo,m@,chippy,0,-2,-2
arma,nicole,xele,liege maximo,0,-2,-2
domin0,rampagemagma,ethene,avian,1,-2,-2
buddha,muse,dark,absoltastic,0,-2,-2
esam,mvd,zepiczorua,neeks?!,0,-2,-2
slaps,professor cube,mantiago,lilpac,1,-2,-2
therusbus,grandi,danbi,villan,1,-2,-2
cyan can,makibaz,tonysherbert,ssguy,0,-2,-2
awestin,mikeffect,nyroc,halqery,0,-2,-2
ruslinjimmies_rj,emperor,blast,harrypony,0,-2,-2
sassy,gyo,brax,jesus,0,-2,-2
bc,shadow_foxxd,rave,psychoace,0,-2,-2
trela,cosmos,rev,taco,0,-2,-2
kirbykid,marcus,gambit,utb,1,-2,-2
mook,hyuga,jfk,hlg ghey,0,-2,-2
hylen,disqobunny,mufin,pung,0,-2,-2
jayson,yellowrello,goku,passion,0,-2,-2
critter,pwnas,ryebread,tilledimp,0,-2,-2
jæhbock,cheezeballer,zensei,4skin,0,-2,-2
reqzee,lightningcam,nicklepeeps,stix,0,-2,-2
zero,nairo,jacobthesomething,ashen,0,-2,-2
skub,idk,xanzy,p2p with gibus,1,-2,-2
mew^2,hyrule hero,funcrazyfish,illusion,1,-2,-2
iiggy,aerolink,calmanimal,mind,0,-2,-2
gnes,mjg,oscarm,el yoshi,0,-2,-2
infern,y.b.m.,kkiller,sage,0,-2,-2
karna,dakpo,arma,nicole,0,0,-1
ethene,avian,buddha,muse,0,-2,-2
esam,mvd,mantiago,lilpac,0,-2,-2
danbi,villan,cyan can,makibaz,1,-2,-2
awestin,mikeffect,ruslinjimmies_rj,emperor,0,-2,-2
sassy,gyo,bc,shadow_foxxd,0,-2,-2
trela,cosmos,gambit,utb,0,-2,-2
mook,hyuga,hylen,disqobunny,0,-2,-2
jayson,yellowrello,critter,pwnas,0,-2,-2
jæhbock,cheezeballer,reqzee,lightningcam,0,-2,-2
zero,nairo,xanzy,p2p with gibus,0,-2,-2
funcrazyfish,illusion,iiggy,aerolink,0,-2,-2
gnes,mjg,infern,y.b.m.,0,-2,-2
karna,dakpo,ethene,avian,0,-2,-2
esam,mvd,cyan can,makibaz,0,-2,-2
awestin,mikeffect,sassy,gyo,0,-2,-2
trela,cosmos,mook,hyuga,0,-2,-2
jayson,yellowrello,jæhbock,cheezeballer,0,-2,-2
zero,nairo,funcrazyfish,illusion,0,-2,-2
gnes,mjg,karna,dakpo,1,-2,-2
esam,mvd,awestin,mikeffect,0,-2,-2
trela,cosmos,jayson,yellowrello,0,-2,-2
zero,nairo,karna,dakpo,0,-2,-2
esam,mvd,trela,cosmos,1,-2,-2
zero,nairo,trela,cosmos,1,2,3
trela,cosmos,zero,nairo,1,0,3
zero,nairo,trela,cosmos,0,3,2
nicklepeeps,stix,dr. pawnch,fumblez,0,-2,-2
ryebread,tilledimp,sedars,mr.tilts,0,-2,-2
goku,passion,jersh,pixel,0,-2,-2
mufin,pung,j-rex,roman,0,0,-1
kirbykid,marcus,jiggz,ms.saiyan,1,-2,-2
rave,psychoace,ase,r2d3,0,-2,-2
blast,harrypony,bby,edg,1,-2,-2
tonysherbert,ssguy,desoto,just ivan,0,-2,-2
slaps,professor cube,rcubed,starkastic,0,-2,-2
dark,absoltastic,myst,salt,0,0,-1
xele,liege maximo,steiner,obscurica,0,-2,-2
m@,chippy,hawk,johan,0,0,-1
noggelato,tungsten,blue,red,0,-2,-2
steveritt,waifu warrior,gayonetta,jokertron,1,-2,-2
cheeky,pika?,czechkris91,pianodan,0,-2,-2
boz,bambi,kidflash,horneaus,0,-2,-2
machina,jayce,cletus,uno,0,-2,-2
beastly,ghoul02,coldramen,toomuchdog,0,-2,-2
nicklepeeps,stix,zensei,4skin,1,-2,-2
ryebread,tilledimp,goku,passion,1,-2,-2
mufin,pung,jfk,hlg ghey,1,-2,-2
jiggz,ms.saiyan,rev,taco,0,-2,-2
rave,psychoace,brax,jesus,1,-2,-2
bby,edg,nyroc,halqery,1,-2,-2
tonysherbert,ssguy,therusbus,grandi,0,-2,-2
slaps,professor cube,zepiczorua,neeks?!,0,-2,-2
dark,absoltastic,domin0,rampagemagma,1,-2,-2
xele,liege maximo,m@,chippy,0,-2,-2
noggelato,tungsten,jaydee,cha0tic,1,-2,-2
gayonetta,jokertron,mugen,forbiddenone,1,-2,-2
cheeky,pika?,matrix,dkwill,1,-2,-2
boz,bambi,dontufeelfat,pnda,0,-2,-2
