p1,p2,finalPlacement
m@,chippy,49
noggelato,tungsten,49
rev,taco,49
jacobthesomething,ashen,33
cheeky,pika?,49
gambit,utb,33
j-rex,roman,65
mantiago,lilpac,17
cyan can,makibaz,17
rcubed,starkastic,65
arma,nicole,33
reqzee,lightningcam,33
dontufeelfat,pnda,49
critter,pwnas,33
slaps,professor cube,25
mew^2,hyrule hero,17
gnes,mjg,9
blue,red,65
mufin,pung,49
ruslinjimmies_rj,emperor,25
goku,passion,25
boz,bambi,33
ethene,avian,13
danbi,villan,25
czechkris91,pianodan,65
oscarm,el yoshi,33
desoto,just ivan,65
matrix,dkwill,33
cletus,uno,65
jiggz,ms.saiyan,25
sedars,mr.tilts,65
jersh,pixel,65
hawk,johan,65
dark,absoltastic,49
therusbus,grandi,49
infern,y.b.m.,17
jayson,yellowrello,9
kj,jerm,49
nyroc,halqery,33
ryebread,tilledimp,49
myst,salt,65
zepiczorua,neeks?!,49
kkiller,sage,33
steveritt,waifu warrior,65
gayonetta,jokertron,49
beastly,ghoul02,49
ase,r2d3,65
zensei,4skin,13
buddha,muse,33
mook,hyuga,5
nicklepeeps,stix,49
karna,dakpo,4
esam,mvd,3
iiggy,aerolink,17
kidflash,horneaus,65
rave,psychoace,49
tonysherbert,ssguy,17
funcrazyfish,illusion,7
xele,liege maximo,17
brax,jesus,33
xanzy,p2p with gibus,13
trela,cosmos,2
zero,nairo,1
machina,jayce,33
steiner,obscurica,65
kirbykid,marcus,65
calmanimal,mind,25
sassy,gyo,17
skub,idk,33
jaydee,cha0tic,33
bc,shadow_foxxd,5
jfk,hlg ghey,9
dr. pawnch,fumblez,65
mugen,forbiddenone,25
blast,harrypony,65
coldramen,toomuchdog,65
jæhbock,cheezeballer,13
bby,edg,49
awestin,mikeffect,7
shoe,miiself,33
domin0,rampagemagma,25
hylen,disqobunny,9
