T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
zero,nakat,mvd,esam,0,-2,-2
anti,mew2king,mjg,fow,0,-2,-2
zero,nakat,anti,mew2king,1,-2,-2
anti,mew2king,vinnie,jbandrew,0,-2,-2
weegee,bc,vinnie,jbandrew,1,-2,-2
megafox,void,mikeffect,hakii,0,-2,-2
mvd,esam,vinnie,jbandrew,1,-2,-2
mjg,fow,megafox,void,0,2,0
vinnie,jbandrew,mjg,fow,0,-2,-2
zero,nakat,vinnie,jbandrew,1,-2,-2
zero,nakat,weegee,bc,0,0,-1
mvd,esam,vinnie,jbandrew,0,0,-1
anti,mew2king,megafox,void,0,0,-1
mjg,fow,mikeffect,hakii,0,0,-1
zero,nakat,mvd,esam,0,-2,-2
anti,mew2king,mjg,fow,0,-2,-2
weegee,bc,vinnie,jbandrew,0,-2,-2
megafox,void,mikeffect,hakii,0,-2,-2
