p1,p2,finalPlacement
mariokartmoneywazzberry,65
mister ericacestarthe3rd,25
chrome kingfishermasterchef,33
max ketchumangel cortes,25
dayseibrik,17
teknomunenori,33
wubzojwaddler,49
duxtechnology,13
hiroisuarsuar,49
rizc3po,17
ash23remzi,9
soulvaccinewd40,49
amsamr.ii,7
craziecubansaj,97
slurpymeatle,97
hozerificelpikachuro,97
marko polopsychomyko,65
firewaterkiffer,65
gregfiercetaint,97
drentsothee,65
rawkhawkgreatgonzales,97
capjon,65
bonzcree318,49
guts?aneki,65
hawkboy1080ythawkdad,65
protogoolick,33
queenzachprecookedbread,65
tohfoobrianydg,33
roymyboiseren,65
k.i.d.gogglespikapika!,13
hyugadabuz,3
nioretmaster jay,65
maytdirty eggroll,65
cornlil jack,49
bkgspec,97
fanghangman,65
fabledtoast,33
minixdubcan,33
rollinskydeepthroat,65
nickiredaquote,49
mzzkcnature,65
g jaygurizuri,65
radlynx,65
selovannaury,65
nausicajeist,33
dr. handsmoosejaw,65
schmikeytatersetone,97
natleradam,65
neosscatt,13
risuflimwad,97
f.o.e.skwiggs,25
final smasherweird_waluigi_233,65
kouhaigear2nd,49
atomskadhd,17
larry lurrzenyou,5
mvdesam,4
reefvan,97
sova unknownpuppeh,25
atrotweli,65
hungryboxistudying,25
kitekaitopastor,33
gibbsvp,65
onitito,49
hachimanlyke,97
marsspugwest,9
flopsidedare,97
ssk9sbruce,25
bruhmulkster,97
mavra,17
yinjahungrypang,65
bill candyregimaster57,97
l30weezy,33
mikamoramahgnittoc,33
okayvanish,33
zmankyo,49
pk_cheezemaxi,65
vanillataboo.,97
thatguyrango,33
rexairlift,49
bossacid,17
asomaaloha,65
scirusgolstan,49
abadangomr.r,9
puddturtles,17
aweshucksdunham,65
leaf fcdragoniota,33
voidnakat,2
saltyjuicemcluvin,65
nickmanerics,49
falsetweek,17
nairokoolaid,1
bullshootercr,65
allyjbandrew,7
dkwillmr.e,5
lobstercrazycookie,65
kumamr. escalator,25
icekinggizmodro,65
ppdmdjake,97
applejames,17
coldweatherrkasino,97
seagull joetension,13
kirbeebdonutgames43,49
domstylesx2,49
daymekos,33
toasterdingsuff,65
coreotico,49
acebungholio,33
promaeliazephyr,25
vanish mantlered cap,33
bees?snowman,65
ch0k0 nach0mallow,49
xaltisdj jack,9
