T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
1up,hybrid,zigludo,novamatt,0,-2,-2
uncle,bamma,btex,siren,0,-2,-2
chavo,ajax,otime17,unleashed,0,-2,-2
hazmatt,epm,jonah,e,0,-2,-2
linnx,ins0mnia,duster,xanafer,0,-2,-2
san,waldo,master j.j.,mcloud,0,-2,-2
james landino,kevin,9,black,1,-2,-2
anti,mew2king,1up,hybrid,0,-2,-2
uncle,bamma,chavo,ajax,0,-2,-2
hazmatt,epm,linnx,ins0mnia,0,-2,-2
san,waldo,9,black,1,-2,-2
anti,mew2king,uncle,bamma,0,-2,-2
hazmatt,epm,9,black,0,-2,-2
anti,mew2king,hazmatt,epm,0,-2,-2
btex,siren,otime17,unleashed,1,-2,-2
jonah,e,duster,xanafer,1,-2,-2
master j.j.,mcloud,james landino,kevin,0,-2,-2
san,waldo,zigludo,novamatt,1,-2,-2
linnx,ins0mnia,otime17,unleashed,0,-2,-2
chavo,ajax,duster,xanafer,0,-2,-2
1up,hybrid,master j.j.,mcloud,0,-2,-2
zigludo,novamatt,linnx,ins0mnia,1,-2,-2
chavo,ajax,1up,hybrid,0,-2,-2
uncle,bamma,linnx,ins0mnia,0,-2,-2
9,black,chavo,ajax,1,-2,-2
uncle,bamma,chavo,ajax,1,-2,-2
hazmatt,epm,chavo,ajax,0,-2,-2
mozzy,nuge,vaskill,nagol,0,0,-1
opivy,refriedjeans,bonerstorm,provokedseven,0,2,0
gurizuri,g jay,lucia,spenji,0,2,1
viktion,rhk,crimock,jobbo,0,2,1
tkbreezy,jayy,mooglechao,dr.liam,0,2,0
kitkat,scepko,dr.pr.tilt,furguzo,0,2,0
larry lurr,marss,mozzy,nuge,0,2,0
opivy,refriedjeans,gurizuri,g jay,0,2,0
burst,craftis,viktion,rhk,0,2,0
tkbreezy,jayy,kitkat,scepko,0,2,0
larry lurr,marss,opivy,refriedjeans,0,2,0
burst,craftis,tkbreezy,jayy,0,2,0
larry lurr,marss,burst,craftis,0,2,1
bonerstorm,provokedseven,lucia,spenji,0,2,0
mooglechao,dr.liam,dr.pr.tilt,furguzo,1,0,2
kitkat,scepko,vaskill,nagol,0,0,-1
viktion,rhk,bonerstorm,provokedseven,0,2,0
gurizuri,g jay,crimock,jobbo,0,2,0
mozzy,nuge,dr.pr.tilt,furguzo,1,0,2
kitkat,scepko,viktion,rhk,1,1,2
gurizuri,g jay,dr.pr.tilt,furguzo,0,2,1
opivy,refriedjeans,viktion,rhk,0,2,0
tkbreezy,jayy,gurizuri,g jay,0,2,0
opivy,refriedjeans,tkbreezy,jayy,1,0,2
burst,craftis,tkbreezy,jayy,0,-2,-2
scarjo,the aux king,valciar,ketts,1,-2,-2
tsage,red beef baron,fang,dole,0,-2,-2
supertnt,cagt,nibbynibbynub,cubot64,0,-2,-2
icearrow,darkaura,radam,n8,0,-2,-2
1337,gibbs,sml~jolten,buckoben,1,-2,-2
hero,splash damage,a warthog,mike4real,0,-2,-2
krisp,loins,toast,nico,0,-2,-2
esam,zero,valciar,ketts,0,-2,-2
tsage,red beef baron,supertnt,cagt,0,-2,-2
icearrow,darkaura,sml~jolten,buckoben,0,-2,-2
hero,splash damage,krisp,loins,0,-2,-2
esam,zero,tsage,red beef baron,0,-2,-2
icearrow,darkaura,hero,splash damage,0,-2,-2
esam,zero,icearrow,darkaura,0,-2,-2
fang,dole,nibbynibbynub,cubot64,0,-2,-2
radam,n8,1337,gibbs,0,-2,-2
a warthog,mike4real,toast,nico,1,-2,-2
krisp,loins,scarjo,the aux king,0,-2,-2
sml~jolten,buckoben,fang,dole,1,-2,-2
supertnt,cagt,radam,n8,0,-2,-2
valciar,ketts,toast,nico,0,-2,-2
krisp,loins,fang,dole,1,-2,-2
supertnt,cagt,valciar,ketts,0,-2,-2
tsage,red beef baron,fang,dole,0,-2,-2
hero,splash damage,supertnt,cagt,0,-2,-2
tsage,red beef baron,hero,splash damage,0,-2,-2
icearrow,darkaura,tsage,red beef baron,0,-2,-2
muthaluva777,ryden hope,rooky,sloth,1,0,2
ruffian,leet,dreadfighter,808,1,0,2
kurse,bobbywasabi,lordjosh2,ben123dx,1,0,2
ntarps,maverick,actualgarbage,rango,0,0,-1
ramzy,oreeo,cmk,soniccynics,0,2,0
meccs,fiercetaint,chi,ace,0,2,1
eton,greg,skulltown,dan,1,1,2
jjrockets,starbasedfruit,rooky,sloth,0,2,0
dreadfighter,808,lordjosh2,ben123dx,0,2,1
ntarps,maverick,ramzy,oreeo,0,2,0
meccs,fiercetaint,skulltown,dan,0,2,1
jjrockets,starbasedfruit,dreadfighter,808,0,2,0
ntarps,maverick,meccs,fiercetaint,1,0,2
jjrockets,starbasedfruit,meccs,fiercetaint,0,2,0
ruffian,leet,kurse,bobbywasabi,0,2,0
actualgarbage,rango,cmk,soniccynics,1,0,2
chi,ace,eton,greg,0,2,0
skulltown,dan,muthaluva777,ryden hope,0,2,0
ramzy,oreeo,ruffian,leet,1,1,2
lordjosh2,ben123dx,cmk,soniccynics,1,0,2
rooky,sloth,chi,ace,0,2,1
skulltown,dan,ruffian,leet,1,0,2
cmk,soniccynics,rooky,sloth,1,0,2
dreadfighter,808,ruffian,leet,0,2,0
ntarps,maverick,rooky,sloth,0,2,0
dreadfighter,808,ntarps,maverick,1,0,2
meccs,fiercetaint,ntarps,maverick,0,-2,-2
unknown,wraith,rocket2uranus,guttashark,0,-2,-2
riot,peachkid,specialspaceboy,slenda man,0,-2,-2
nappums,duffy,ricecake,henrydere,0,-2,-2
raffi-x,dark wizzy,brambramjam,axiem,1,-2,-2
emerald,darsa,royal,tarn,1,-2,-2
pelca,kiwi,shyguy,aerialace,0,-2,-2
playz,spidertaints,nodge,humble,0,-2,-2
6wx,supergirlkels,unknown,wraith,0,-2,-2
