p1,p2,finalPlacement
tkbreezyjayy,17
burstcraftis,17
vaskillnagol,65
crimockjobbo,65
1337gibbs,97
dr.pr.tiltfurguzo,49
ruffianleet,33
viktionrhk,33
1uphybrid,49
fwedz,33
unknownwraith,25
kingkirbywizdorf,49
linglinglight,7
vudooreminae,33
supertntcagt,33
fangdole,33
chiace,65
w0lfclipboards,49
esamzero,2
royaltarn,33
kursebobbywasabi,97
mozzynuge,65
james landinokevin,97
bonerstormprovokedseven,65
bearplusle,65
nertchambo,65
kitkatscepko,49
harkpilgrim,33
radamn8,65
icearrowdarkaura,17
6wxsupergirlkels,7
valciarketts,49
btexsiren,97
lordjosh2ben123dx,65
riotpeachkid,13
sml~joltenbuckoben,65
swervegp2,65
etongreg,97
pelcakiwi,9
koolaidpugwest,9
luciaspenji,97
ntarpsmaverick,17
playzspidertaints,33
arhungryglentendo,65
æongame7a1,17
akemimaki,65
zigludonovamatt,49
sanwaldo,65
mr. escalatorkuma,13
michaeldanielle,65
nappumsduffy,49
gurizurig jay,33
pwnagepolicesiccarius,33
veoviseastly,97
opivyrefriedjeans,25
dusterxanafer,65
a warthogmike4real,97
quakpotato,65
krisploins,49
specialspaceboyslenda man,49
muthaluva777ryden hope,65
dathnickriddle,4
godxculley,49
dreadfighter808,25
antimew2king,1
aireielement_demon,33
rocket2uranusguttashark,65
small•loanyume,33
nodgehumble,97
esidmino,65
tsagered beef baron,17
linnxins0mnia,33
ralonlord skitty,49
herosplash damage,25
mekosmr.e,3
hazmattepm,13
scarjothe aux king,65
ricecakehenrydere,97
larry lurrmarss,9
mintyimjk,65
brambramjamaxiem,65
saucewheaty,97
echurchghostdadd,97
master j.j.mcloud,65
meccsfiercetaint,17
unclebamma,25
jjrocketsstarbasedfruit,5
dyrspark,5
cmksoniccynics,49
actualgarbagerango,97
chavoajax,9
nintendorknickblakob,97
otime17unleashed,65
limlarock,97
fs shampoomasterfs mook,25
mooglechaodr.liam,97
nibbynibbynubcubot64,97
rookysloth,33
sparkyel niño,97
9black,33
toastnico,65
raffi-xdark wizzy,97
kogarasumadoeboy,25
ramzyoreeo,65
waxy~dadwaxy:joe,65
skulltowndan,49
emeralddarsa,65
dtdlight,13
greatscot!glare,25
k.i.d.gogglespikapika!,65
failzdreamz,49
nightfantm,65
shyguyaerialace,65
jonahe,97
vpxorn,17
depsyfericeunleashed,49
