T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
reptoknight,bullrush70,new main,dingus,1,-1,0
soulpech,carls493,theagedone,nick,0,2,0
kider,scooter388,luvin,nen,0,2,0
mkleo,ally,new main,dingus,0,2,0
nom,miloni,exjordanary,sethsational,0,2,0
true blue,dyr,slenderman,duckduckpony,0,2,0
remzi,[t.t.d] blacktwins13,blade,runes,0,2,1
dath,nickriddle,jkbuk,jcav,0,2,0
seth,joe barrels,loe1,cheesecake,0,2,0
zinoto,dan,serge,blacktactiks,0,2,0
max ketchum,colinies,volt,immortal,0,0,-1
marss,pugwest,soulpech,carls493,0,2,0
icymist,mav,proto,nero,0,2,0
jjrockets,demitus,bill nye the samus guy,fromundaman,0,2,0
hawk,linus,ori,the bowz,0,2,0
mr.r,ned,kider,scooter388,0,2,0
xane,smasher1001,people's champ batman,categhetti,0,2,1
darkshad,day,dkdudeman,meatbeef,0,2,1
big_mak,naoto,aqua,daybreak,1,0,2
mkleo,ally,nom,miloni,0,2,0
true blue,dyr,remzi,[t.t.d] blacktwins13,1,0,2
dath,nickriddle,seth,joe barrels,1,1,2
zinoto,dan,max ketchum,colinies,0,2,0
marss,pugwest,icymist,mav,0,2,1
jjrockets,demitus,hawk,linus,0,2,0
mr.r,ned,xane,smasher1001,0,2,0
darkshad,day,aqua,daybreak,0,2,0
mkleo,ally,remzi,[t.t.d] blacktwins13,0,2,0
seth,joe barrels,zinoto,dan,1,0,2
marss,pugwest,jjrockets,demitus,0,2,1
mr.r,ned,darkshad,day,0,2,0
mkleo,ally,zinoto,dan,0,-2,-2
marss,pugwest,mr.r,ned,0,-2,-2
big_mak,naoto,reptoknight,bullrush70,0,0,-1
volt,immortal,theagedone,nick,1,-1,0
blade,runes,luvin,nen,0,2,0
big_mak,naoto,dkdudeman,meatbeef,0,2,0
people's champ batman,categhetti,kider,scooter388,0,2,0
ori,the bowz,bill nye the samus guy,fromundaman,1,1,2
proto,nero,soulpech,carls493,0,2,1
theagedone,nick,serge,blacktactiks,1,0,2
loe1,cheesecake,jkbuk,jcav,0,2,0
blade,runes,slenderman,duckduckpony,0,2,0
exjordanary,sethsational,new main,dingus,1,-1,0
max ketchum,colinies,big_mak,naoto,1,0,2
dath,nickriddle,people's champ batman,categhetti,0,2,1
true blue,dyr,bill nye the samus guy,fromundaman,0,2,0
nom,miloni,proto,nero,0,2,0
aqua,daybreak,serge,blacktactiks,1,1,2
xane,smasher1001,loe1,cheesecake,0,2,1
hawk,linus,blade,runes,0,2,1
icymist,mav,new main,dingus,0,2,0
big_mak,naoto,dath,nickriddle,1,1,2
true blue,dyr,nom,miloni,0,2,0
serge,blacktactiks,xane,smasher1001,0,2,0
hawk,linus,icymist,mav,0,2,0
jjrockets,demitus,dath,nickriddle,0,2,0
darkshad,day,true blue,dyr,0,2,1
remzi,[t.t.d] blacktwins13,serge,blacktactiks,0,2,0
seth,joe barrels,hawk,linus,1,0,2
jjrockets,demitus,darkshad,day,0,-2,-2
remzi,[t.t.d] blacktwins13,hawk,linus,0,-2,-2
mkleo,ally,zinoto,dan,0,3,1
marss,pugwest,mr.r,ned,0,3,0
mkleo,ally,marss,pugwest,0,3,0
mkleo,ally,mr.r,ned,0,3,0
jjrockets,demitus,darkshad,day,1,2,3
remzi,[t.t.d] blacktwins13,hawk,linus,0,3,1
mr.r,ned,darkshad,day,0,3,1
zinoto,dan,remzi,[t.t.d] blacktwins13,1,2,3
mr.r,ned,remzi,[t.t.d] blacktwins13,0,3,0
marss,pugwest,mr.r,ned,1,2,3
