p1,p2,finalPlacement
theagedonenick,25
protonero,17
dathnickriddle,9
marsspugwest,3
new maindingus,17
mr.rned,2
nommiloni,13
sethjoe barrels,9
aquadaybreak,17
luvinnen,33
jkbukjcav,25
mkleoally,1
jjrocketsdemitus,7
icymistmav,13
voltimmortal,33
loe1cheesecake,17
kiderscooter388,25
bladerunes,17
soulpechcarls493,25
people's champ batmancateghetti,17
sergeblacktactiks,9
remzi[t.t.d] blacktwins13,4
dkdudemanmeatbeef,25
max ketchumcolinies,17
reptoknightbullrush70,33
true bluedyr,9
orithe bowz,25
exjordanarysethsational,25
hawklinus,7
zinotodan,5
bill nye the samus guyfromundaman,17
xanesmasher1001,13
darkshadday,5
slendermanduckduckpony,25
big_maknaoto,13
