p1,p2,finalPlacement
halleniumfuzzy,25
idk6395vulpae,33
blitzkingwonderbread,25
caskantribal,25
snorleye,25
lil redbitkizzy,33
scattfatality,4
virgmanookami,17
koleslawrob,13
jabecraziecuban,9
leowarm up,17
rosstachyon,5
tarngodzillionaire,33
nickriddlexaltis,13
ijubal,17
gollyhordan,25
riotlettucedyr,13
xmaszeta,33
dieseljewinggum,17
mvdesam,3
snarkieroguepenguin,7
frenchyyhollow,25
relayfan,33
myrankidg,17
king willthegount,17
kdr.sarap,25
vikkikittychild,9
mew2kingmr.e,2
danstrifehoover,17
beescrypto,33
8bitmansalem,1
rideaecashmere,9
mannyday,5
samsorasaj,7
zipemuppongo,33
duckyveemontamer,33
blank~muteace~,13
duffokiki,9
brokegodmythos,25
zenvanguard,17
