T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
dionysus,trippybutter,potato brett,kider,0,2,0
zidico,bluedanes,suicidalplaydoh,suitedkirby,0,2,1
juice,popo,facehmpur,tschell74,1,0,2
abadango,zero,dionysus,trippybutter,0,2,0
psi,asflash,verin,rapayus,0,2,1
moti,jswiss,strawbaby,rex,0,0,-1
spankyj,prophet,rektangles,ravenking,0,2,0
ned,big_mak,ramjam,coxbox,0,2,0
amiiboking313,blacktactiks,runaway,fadingxiii,0,2,0
marshall,z2g,skullert,tydye,0,2,0
xyless,kappy,jag,d4,0,0,-1
nite,dan,zidico,bluedanes,0,2,0
ori,aquatics,puck,uncle onion,0,2,0
sheen,hoenn,bsquared,chrispy,0,2,0
gnox,di king,vizionary,undrblade,0,2,0
tyroy,anonymous moniker,facehmpur,tschell74,0,2,0
giant,shevy,danereich,blaze,0,2,0
dom,naoto,lobby,kief,0,2,0
quada,kwaz,bigtuna,megalex,0,2,0
abadango,zero,psi,asflash,0,2,0
moti,jswiss,spankyj,prophet,0,2,0
ned,big_mak,amiiboking313,blacktactiks,0,2,0
marshall,z2g,xyless,kappy,0,2,0
nite,dan,ori,aquatics,0,2,0
sheen,hoenn,gnox,di king,0,2,0
tyroy,anonymous moniker,giant,shevy,0,2,0
dom,naoto,quada,kwaz,1,0,2
abadango,zero,moti,jswiss,0,2,0
ned,big_mak,marshall,z2g,0,2,0
nite,dan,sheen,hoenn,0,2,0
tyroy,anonymous moniker,quada,kwaz,0,2,0
abadango,zero,ned,big_mak,0,2,0
nite,dan,tyroy,anonymous moniker,0,2,0
abadango,zero,nite,dan,0,-2,-2
bigtuna,megalex,potato brett,kider,0,2,0
jag,d4,suicidalplaydoh,suitedkirby,1,-1,0
rektangles,ravenking,juice,popo,0,2,0
bigtuna,megalex,lobby,kief,1,1,2
danereich,blaze,facehmpur,tschell74,1,0,2
vizionary,undrblade,bsquared,chrispy,1,0,2
puck,uncle onion,zidico,bluedanes,1,1,2
suicidalplaydoh,suitedkirby,skullert,tydye,0,2,0
runaway,fadingxiii,ramjam,coxbox,0,2,0
rektangles,ravenking,strawbaby,rex,0,0,-1
verin,rapayus,dionysus,trippybutter,0,2,1
xyless,kappy,lobby,kief,0,2,0
amiiboking313,blacktactiks,facehmpur,tschell74,0,2,0
spankyj,prophet,bsquared,chrispy,1,0,2
psi,asflash,zidico,bluedanes,1,0,2
dom,naoto,suicidalplaydoh,suitedkirby,0,2,0
giant,shevy,runaway,fadingxiii,0,2,0
gnox,di king,rektangles,ravenking,0,2,0
ori,aquatics,verin,rapayus,0,2,0
xyless,kappy,amiiboking313,blacktactiks,1,0,2
bsquared,chrispy,zidico,bluedanes,0,2,0
dom,naoto,giant,shevy,0,2,0
gnox,di king,ori,aquatics,0,2,1
sheen,hoenn,amiiboking313,blacktactiks,0,2,0
quada,kwaz,bsquared,chrispy,0,2,0
moti,jswiss,dom,naoto,1,0,2
marshall,z2g,gnox,di king,0,2,0
sheen,hoenn,quada,kwaz,0,2,0
dom,naoto,marshall,z2g,1,0,2
ned,big_mak,sheen,hoenn,1,1,2
tyroy,anonymous moniker,marshall,z2g,0,2,0
sheen,hoenn,tyroy,anonymous moniker,0,-2,-2
mixwell,bolt!,bizzarro flame,pewpew2,0,0,-1
mixwell,bolt!,amerikev,embre,0,2,0
tm4,novavurse,incognomen,grizz,0,2,0
tm4,novavurse,fons,raynoire,0,2,0
tm4,novavurse,thewildflame,0g3rl0rd,0,2,0
moose,gmoney,thewildflame,0g3rl0rd,1,1,2
