p1,p2,finalPlacement
markdudejumpman_,49
mew2kingally,1
nitedan,3
them greasy glassesventra,25
amerikevembre,33
quadakwaz,13
skullerttydye,49
tyroyanonymous moniker,5
dreamweavermcpimp,33
bigtunamegalex,49
cstickfishguts,65
sheenhoenn,7
strawbabyrex,49
zinotomjg,4
danknesscerulean blue,25
gnoxdi king,17
motijswiss,17
potato brettkider,65
psiasflash,33
moosegmoney,49
giantshevy,25
spankyjprophet,33
jagd4,65
blackwingtreeborn,33
abadangozero,2
verinrapayus,33
puckuncle onion,49
vizionaryundrblade,49
dexterjaaahsh,13
tm4novavurse,17
fonsraynoire,25
runawayfadingxiii,33
sinnyboo242triple r,7
jjrocketsdemitus,5
sundoctor chopper,49
facehmpurtschell74,33
suicidalplaydohsuitedkirby,33
powpowecnebanjo,9
juicepopo,65
bizzarro flamepewpew2,49
rektanglesravenking,33
xeeltbayless,33
nq.e.d.,33
slowjoetara,25
oriaquatics,25
theagedonescooter388,33
thewildflame0g3rl0rd,33
plinywavesfirelord46,49
mikeblissrain blanket,49
flashfirebigrig,33
marfslayer 3000sapphire,65
chrim foishtoronto joe,17
shelkphadley,9
dekulord sturm,17
nedbig_mak,9
domnaoto,13
lobbykief,33
mixwellbolt!,17
amiiboking313blacktactiks,17
ramjamcoxbox,49
dionysustrippybutter,49
gameguy66arceusrox,49
xylesskappy,25
zidicobluedanes,25
incognomengrizz,49
danereichblaze,49
marshallz2g,9
dayboscotty,13
bsquaredchrispy,17
