p1,p2,finalPlacement
donquavious,sunseeds,65
lof hackoru,tweek,9
macho,gmar,257
drift wiz,darknight326,129
brawlman1000,jester,65
troy,gethos,193
goldn,uno,25
seven,enker,97
player-1,scatt,17
intice,rai,65
powersfire,youngwolf97,129
rex,airlift,193
abadango,vinnie,5
frozen,bow,33
port,8bitman,33
mikalott,cap,129
rachow,jtails,49
perry,squid,193
po,[scarf]™,65
derp,saijicani,193
equin0x,eclipse,193
deathorse,bread [adamo],97
gomamugitya,taiheita,1
sopwith synapsid,mrmanikatti,257
mvd,esam,17
jerry,skippy,129
supakmw,eldo,193
akaboshi,zepdragon,129
missphaser,cocoacannon,193
starfy,royal,193
sol,ryo,17
ferey,samr,129
hero,splash damage,65
gael,kam,65
areeenen,k-phat,None
chrim foish,astro,33
urgaan,d-fizzle,97
nick [marcinkowski],kden,129
horse,misterrquentin,65
nick78,javi,97
aweshucks,deathmelon,97
chiefreaper,arcwarrior76,257
pelca,hood,65
goomba,relentless,65
foxxyfiend,snurfsnarf,65
welches,notos,193
the fool,joejam,193
sigtrick,dragoniota,65
skaiza,mothwile,193
kassandranova,kiwi,65
jam,milky coco,65
rupee,kneesus,97
wumbo,chao,129
boty,rylo ken,193
acestarthe3rd,mister eric,49
pj,fick,193
jojo,heavylobster,257
geno [schaufelberger],gamestar,257
quills and frills,stob,129
shadow [bagby],slothstyle,129
flanneldorf,breeze,129
banshee,evab,193
seibrik,vikkikitty,25
dugan,rosie,65
mr.watchandlearn,well dressed jem,193
hiro,black yoshi,49
p2p with gibus,bugcatcherwill,49
loons,burn heal,129
anti,ally,4
mikeron,gleonn,129
wookie_jesus,psufoxy,257
chaos,k,129
black rob,hellmatic85,257
spork,kurse,257
geliscon,pursuit,193
rickles,tyroy,33
tension,seagull joe,33
kitkat,scepko,97
kensei,electron,97
boe jarrels,seth,33
[t.t.d] pbk l emg l blacktwins13,v115,9
mrnick,chuckbass,129
midnight,193
aids,codaption,129
quote,nickireda,129
icymist,mav,25
limbs,fatality,49
reggie,jon dog,129
ross,nasubi,17
chillava,toastonfir3,97
kai,stockfield,257
bae,deployment,129
buttercup,dinner,193
ranger,shadow [ross],129
hamstarr96,science,129
lawz,camalange,49
boost,guy hero,97
tensin,chickennugger,193
wushuknight,tutu,193
luna,tomba,129
abobo,parzival,129
objekshin,dankness,129
joe bee,shoop2u,257
master j.j.,mr. roo,193
kamikaze,seren,97
mart,eroc,65
ash23,remzi,25
coreo,cree318,65
chump,versaggi,193
ahmad,bilal,257
koopa,toast,193
mallow,ch0k0 nach0,129
vioridio,booteking,193
shuzen,stretch,49
derdds,dz,65
cloak n swagger,mrbkainx,193
curlyq,jonny2x4,193
viral,kaden,97
rekshadow,rekgrizzly,129
ice egg,masterofzoroark,193
final smasher,poyo,193
static,randomtask,None
blinkrider,squeg,257
applejacks,yamin4,257
snoop zog,khakis,65
nakat,void,9
vash,mfs,97
gains,dkbill,97
zd,bonz,65
buggy,pyro [bardenett],193
melbo,spaceman,65
kipdog,smasher1001,49
vindraxx,powerplaya,129
gadiel,thatguy,33
lonk,tsmooth,257
hark,wizdorf,97
greg,jfk,97
skides,tweli,97
sploosh,scs_dr_greed,129
wheatcakes,kiffer,129
zan,mattyg,25
blazerike,cod,193
sova unknown,dasboot,129
hiv+,froge,193
jettset,acmenes,129
punisher,jr,129
crita,shadowkilla0212,193
chrispy,bsquared,193
erics,nickman,129
tokyo,lag chaos,49
stryker,xoldren,193
richie business,biddy,17
proj r mlgsyd,proj r_ml_mastercore,97
soulvaccine,wd40,129
constable lemon,sharrrk,193
iota,techei,97
reef,van,65
j dog,kh1com2,193
amp_mtnx,screaminglobsters,97
true blue,nickriddle,49
skwiggs,f.o.e.,65
dub fear,mintos,129
bean,atro,193
feedthebirds,ppman,129
aj,danno,129
ash ketchum,lahvonyay,129
k9sbruce,xzax,257
yuume,sarrow,65
stupidtown,nickname,257
average joe,kenrawr,33
nirvashv7,angryteacher,193
6wx,rango,7
sd_angululu,mazmitaz,193
jebb,xanos,33
lousypanda,skance,65
n0ble,sds-envy,193
ten,bc luck,49
syndicate318,mean as custard,193
ampersand,snackmoney,257
logic,acid,25
action john,kaizo,129
dark wizzy,wadi,17
peace,weezy,129
nina,voldus,193
watzl,nfreak,257
shroomzee,loop,193
lazyboredom,veen,17
vegeta,angabur,193
day,static,13
cdk,ragingcherry,193
babycakes,bulacaflocka,97
nairo,zero,2
goaty,zebbs,193
leaf fc,kresent,33
wubz,ojwaddler,129
pasta,tunnelsnakesrule,193
leo,spt,49
elu,zoan,65
rudy,kaboom,193
promaelia,brianydg,49
treeborn,blackwing,257
mr.ii,amsa,25
vanity,mzzkc,97
yucas,saber,129
apple,james,25
donaldfaison,zachbraff,257
p-watts,krodomon,257
amaya,ｈｉｔｏｒｉ,193
pink fresh,marss,17
giggles,raydor,129
ohko,shken,97
ice,darkshad,65
tantalus,zephyr,65
tras,kuna-chu,193
weird_waluigi_233,ebat,193
shyguyslim,irsorcer,129
tykujo,cubite,193
ninjaraf,slow hand,97
missatari,mattatari,129
sm4shdeity,sparkz,129
okay,mariokartmoney,193
wakka,yerboimp,97
hertz,cacogen,33
five,kong,193
twane,gubb,193
cakesofspan,freesk,257
tedgar,donutgames43,193
engine,gameover,129
mr.e,dkwill,5
pwnzorprod,echo [hashi],129
hd,volegase,65
mojo8675309,lvl3,129
bun,loafers,97
volpi,kennef,129
zinoto,day,65
bananas,ubl_soul,129
sammyswags,drewskii55,257
fox!?,wolf,129
uprowr,mgod,257
p1ckst3r,mashk7,129
rubrub el conquistador,seo,129
generalconfusion,mrmagoffin,129
lingling,snakeee,33
mattcarterwa,oliver,97
puppeh,boss,33
raptor,ribs,13
vanish,keke,193
dickl,energy,129
sammy,ash,129
saj,xaltis,13
aava,fulla,129
andrew,scott,193
wilt,clsmandalore,193
catastrophe,tonic,129
yohhero,supersayianrenan,65
file,dunkchai,129
uranus,enjoi,129
tantaco,jakat,97
hybrid,trashboat,257
kevinwut,pokevsim,129
psychomyko,marko polo,33
jeff,b-roccoli,257
erk,tsutori,129
ryuga,rayquaza07,3
mugi,tozzi,129
doddy,bumbrshoot,193
fmi,dirq,97
areeenen,k-phat,193
gw3n,twocents,193
rice,falln,13
kerthorok,firewater,97
pulse,chud,257
eightfold path h-man,cilvanis,49
hoh_jayy,supergirlkels,9
jkid,syde7,97
fiercetaint,meccs,49
daga,kelp,193
rooky,hazmatt,33
venia,gains,65
adhd,fabled,65
brosep haydn,nepfur,49
z8,crits,97
frog,rooster [waddell],193
matumakka,roymyboi,257
jjrockets,winks,33
mr.r,trela,7
