T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
serew,slkaj,mugiwara no purin,dekuturk,0,2,0
serew,slkaj,smuff,mute,0,2,0
serew,slkaj,c.r.z,ixisnaugus,0,2,0
serew,slkaj,kise,naph,0,2,0
denamy,pyano,corbert,meutrich,0,2,1
denamy,pyano,c.r.z,ixisnaugus,1,0,2
youngmastermarley,predator00,skarfelt,maxy,1,0,2
youngmastermarley,predator00,opto,mr. white,1,0,2
whizzleho,stuc,tadavidid,myson,0,2,0
genius,xemroc,tittin,nacl,0,2,0
genius,xemroc,elyan,nyrélhos,0,2,0
cat,dumbfire,sivoar,bueno,0,2,0
cat,dumbfire,lavlis,broberto,1,0,2
achillis,muk,saveiro,moozrim,0,2,0
achillis,muk,sylph,ks,1,0,2
patrino,badr,tntblowzup,mad ice king,0,2,0
patrino,badr,neath,nin',0,-2,-2
patrino,badr,schligger,repus,0,2,0
el_bardo,robo~luigi,dankey kang,damalum,0,2,1
el_bardo,robo~luigi,mank,arceus,0,2,0
el_bardo,robo~luigi,schligger,repus,1,1,2
seelvieh,wil-san,capet,paint,1,-1,0
cyfersquad,boomuki,nives,taitsu,0,2,0
cyfersquad,boomuki,sylph,ks,1,-1,0
cyfersquad,boomuki,kuroix,rockweapon,0,2,0
young eevey,leon,aznpandax,kamui,0,2,1
nohman,gay falcon,lavlis,broberto,1,0,2
adom,silentgodot,judge,frieddo,1,0,2
adom,silentgodot,tadavidid,myson,0,2,1
enki,paoz,whizzleho,stuc,0,2,1
enki,paoz,adom,silentgodot,0,2,0
enki,paoz,endeby,gardex,0,2,1
pocafeiner,eternal conflict,light,quik,0,-2,-2
pocafeiner,eternal conflict,sylph,ks,0,2,1
pocafeiner,eternal conflict,uriko,lif3s,0,2,0
purpledebo,sam the commentator,justice,hardcoreyork,0,2,0
purpledebo,sam the commentator,kise,naph,0,2,1
nesstea,gijsbeer,schligger,repus,1,0,2
starkorn,zudenka,capet,paint,0,2,0
starkorn,zudenka,c.r.z,ixisnaugus,1,0,2
justice,hardcoreyork,luis,kakpu,1,-1,0
iamaho,sabaca,cat,dumbfire,1,1,2
iamaho,sabaca,long0uw,pandali,0,2,0
iamaho,sabaca,daedge,luperizer,0,2,0
peeko,lyra214,corbert,meutrich,0,2,0
peeko,lyra214,lavlis,broberto,1,1,2
istudying,gregs,pocafeiner,eternal conflict,0,2,1
istudying,gregs,shido,griffith,0,-2,-2
istudying,gregs,rahx,t-j,0,2,0
istudying,gregs,dr. jonk,kawaii,0,2,0
triple finish,chrisr334,silex,hedgeon,1,1,2
ayoub,meru,young eevey,leon,0,2,0
ayoub,meru,rom,jesteros,0,2,0
ayoub,meru,anragon,teluoborg,0,2,0
ivra,draco,achillis,muk,1,1,2
tntblowzup,mad ice king,cpsdub,sub01,0,2,1
tntblowzup,mad ice king,mank,arceus,1,0,2
pefo,pepo,serew,slkaj,0,2,0
pefo,pepo,cat,dumbfire,0,2,0
pefo,pepo,rahx,t-j,0,-2,-2
pefo,pepo,long0uw,pandali,0,2,0
dankey kang,damalum,rom,jesteros,1,1,2
pur gars,kuroshooter,cpsdub,sub01,0,2,0
pur gars,kuroshooter,rom,jesteros,1,0,2
pur gars,kuroshooter,tylerdx,sim-max,0,2,1
shido,griffith,serew,slkaj,0,2,0
shido,griffith,luis,kakpu,0,2,0
judge,frieddo,ivra,draco,1,-1,0
koyu,eddy,luis,kakpu,1,1,2
koyu,eddy,l benjamin,grove,0,2,1
koyu,eddy,piratebunnii,overlord,0,2,0
silex,hedgeon,el_bardo,robo~luigi,0,2,1
silex,hedgeon,pocafeiner,eternal conflict,1,1,2
silex,hedgeon,rahx,t-j,1,0,2
yikarur,narayan,genius,xemroc,0,2,0
yikarur,narayan,achillis,muk,0,2,1
yikarur,narayan,mazzone,greward,1,0,2
yikarur,narayan,tspoon,nico280,0,2,0
rom,jesteros,nesstea,gijsbeer,0,2,1
kenko,jamiro,swu,kaosu,0,2,1
whoophee,wiiase,iamaho,sabaca,0,2,0
whoophee,wiiase,peeko,lyra214,0,2,0
whoophee,wiiase,khanage,g~p,1,0,2
whoophee,wiiase,skarfelt,maxy,0,2,1
deon,j.miller,young eevey,leon,0,2,0
deon,j.miller,enki,paoz,0,2,1
deon,j.miller,silex,hedgeon,1,0,2
nives,taitsu,genius,xemroc,1,-2,-2
nives,taitsu,tales,onyfire,0,2,0
nives,taitsu,rog,djol,0,2,0
jbandrew,purple~h,ayoub,meru,0,2,0
jbandrew,purple~h,veyron,marcbri,0,2,0
jbandrew,purple~h,dave,linkje,0,2,0
amj,rezer,sivoar,bueno,0,0,-1
amj,rezer,daedge,luperizer,0,2,0
endeby,gardex,tittin,nacl,0,2,0
endeby,gardex,rahx,t-j,1,1,2
endeby,gardex,tales,onyfire,0,2,0
endeby,gardex,elyan,nyrélhos,0,2,0
khanage,g~p,luis,kakpu,1,1,2
khanage,g~p,arvi,skippo,0,2,0
skarfelt,maxy,swu,kaosu,0,2,0
skarfelt,maxy,mahie,leplancton,0,2,1
s1,pikaforlife,purpledebo,sam the commentator,0,2,0
s1,pikaforlife,pefo,pepo,0,2,0
s1,pikaforlife,jbandrew,purple~h,0,-2,-2
s1,pikaforlife,diaz,dune,0,2,0
