p1,p2,finalPlacement
rogdjol,65
mankarceus,49
old man gkerbykong,65
whizzlehostuc,65
tittinnacl,65
long0uwpandali,49
seelviehwil-san,97
kenkojamiro,49
ramsesjoe,33
proteunpepernoot,65
veyronmarcbri,17
capetpaint,65
tntblowzupmad ice king,65
ivradraco,33
ayoubmeru,25
nohmangay falcon,97
judgefrieddo,49
nessteagijsbeer,65
cyfersquadboomuki,33
kweeteuk,17
afro smashsilentdoom,9
aznpandaxkamui,97
jbandrewpurple~h,3
young eeveyleon,65
lusterlinkasb,97
smuffmute,65
geniusxemroc,33
purpledebosam the commentator,49
endebygardex,33
rahxt-j,13
khanageg~p,17
skarfeltmaxy,25
s1pikaforlife,7
tspoonnico280,97
schliggerrepus,33
c.r.zixisnaugus,25
whoopheewiiase,13
cpsdubsub01,65
tylerdxsim-max,97
silexhedgeon,25
scarhiblubo,25
fireganis,17
starkornzudenka,33
peekolyra214,65
istudyinggregs,2
tadavididmyson,97
luiskakpu,13
diazdune,33
arviskippo,49
zs1lvanuz,65
adomsilentgodot,65
deonj.miller,17
kuroixrockweapon,97
koyueddy,33
rich brownmr.r,1
talesonyfire,49
tendosealer,65
amjrezer,49
neathnin',5
turnipforwhatthewarpstar,65
piratebunniioverlord,97
iamahosabaca,33
whyyzdoublec,97
daedgeluperizer,65
glutonnymika,9
enkipaoz,25
lavlisbroberto,25
romjesteros,33
serewslkaj,17
dafterstormbasilisk,97
pur garskuroshooter,49
youngmastermarleypredator00,65
saveiromoozrim,65
swukaosu,65
dankey kangdamalum,65
davelinkje,33
corbertmeutrich,65
blaarzantg,65
mazzonegreward,4
kisenaph,65
dr. jonkkawaii,65
catdumbfire,33
denamypyano,49
kaoraryuji,65
mahieleplancton,33
elyannyrélhos,65
urikolif3s,65
shidogriffith,5
patrinobadr,7
l benjamingrove,65
nivestaitsu,49
achillismuk,49
optomr. white,49
el_bardorobo~luigi,33
king magikarpde breekijzer,97
sylphks,17
justicehardcoreyork,49
pefopepo,9
traxotek,49
pocafeinereternal conflict,9
madnavaell,65
mugiwara no purindekuturk,33
yikarurnarayan,25
triple finishchrisr334,65
lightquik,13
sivoarbueno,65
anragonteluoborg,49
vxsicxvsodrek,17
