p1,p2,finalPlacement
rabbitsoftenerxlunic,129
acebaptraplap,97
blahloozerscrublord,97
dyrspark,33
nuhuhogc,97
carbunclejaaahsh,65
af,129
raichu4uwaddle,33
pokecheeseblueman,129
#heroxenotanda,193
puppehchudat,13
opmacarenamacaroni,97
tyroyzinoto,193
zachisasianwaffleking,129
pugwestmarss,3
beardensteink-grizz,65
thursdaybayless,129
hermitoreeo,97
gnoxn,129
currycatelt,129
phoenixmav,65
hawklinus,25
shadow_foxxdweegee,33
demitusdan,33
kaspereureka,33
genericpewpewu,129
iceninjapoke,7
shevyxav,65
jibcacookietic,65
vondovondo,129
plague_2mdragon,65
protogameliking,33
the bowzglacey,65
lunicktmmsakuto,65
grampa josh#cheeky,65
countedbeef122b4y6,129
loe1ksev,49
tunn3lsn4k3sru13burgei,129
salzoutput-null,129
lordmixkingkong,129
crazycolorz5karinole,33
stewypowpow,49
yoshi kirishimanero,49
noe3grey,49
sofa kingkrow,65
crispy t.the oiler,129
sodrekabadango,17
samsorasaj,13
komorikirisupergirlkels,17
uncle puppyassman,129
xaneplokmok,97
coldweatherrkasino,97
chrim foishsan,25
kizupalushina,129
vmachinefadversity,129
rubiopsherman,129
linglingkogarasuma,25
dysfunkti0nalsmookums,129
rich brownaarvark,13
boofishapollo,129
bhyerliacci,129
ddippeegert,129
painclipboards,97
shadowadorable knight,25
slendermanpropane,129
voidnakat,5
nicolezguh,49
telmoflo,129
sergedux,33
heydomstarps,97
mesmeristthepsychicgamer,129
pandalidouble a battery,97
qtferg,129
mystearicatastycomawife,49
larry lurrmr.r,17
chrispybsquared,65
daybreakslamshady,65
fogelswift,65
raziekz,17
vievkomota,49
jbrockponyduckduckpony,65
jnkolmrussky,97
cobethane,129
beegshoov,97
bigtunacstick,129
tarnstetlino,97
orangekylemasaru,129
smittywerbzemadrussian,129
dreamweaverthe rev,129
fonsraynoire,65
jjrocketskarna,25
lesrin,97
jakatdj nintendo,97
mr.hprime,129
krauttubs,129
antikamemushi,5
king jamesregralht,33
stemjeffersonseren,65
big_makboscotty,65
zidicobluedanes,65
nedmjg,17
lagnelkie,49
mountain peakzbti,129
bc luckbiddy,33
dr.shadymint,97
chexxxzibita,129
hovrggodofgrunts,129
joecool^apollo,97
jesterbrawlman1000,49
cebraxton8,97
true bluedath,17
merrickaqua,129
king_purpleu01,129
filipshogun,33
mvdesam,7
arcpaco,97
varisiafalchionpunch,129
absolombgoof,129
dashryt€ous,97
vegeta18dfault,97
heinzerlingfthear,129
hiltson-in-law,97
shydudeshybabe,129
daysai,49
pikapika!ozone,65
bungholiounderwolf,65
sladeiiliitist,65
tloreosyco,65
ceeolmbearseal,129
zeronairo,1
bowfrozen,65
kupssafety1st,193
crysisbaconunkn0wnkami,129
bladeozone,65
triple rdanereich,49
dkdudemanmeatbeef,49
jayynuke,49
nasubiri-ma,25
blusheon,129
ryugarayquaza07,4
wadiremzi,25
iceunleashedsmdymek,129
dwn4thekaztechtonio,49
cosmoswrath,9
banechrome kingfisher,49
yopeddtetsu,97
jkdragonite,33
ra¥aaa,129
8bitmannickriddle,17
ruslinjimmiesdoeboy,129
pinjuparanoidzoid,129
squiddydracish,65
dkwillmr.e,9
people's champ batmancateghetti,65
tweekfalse,9
[t.t.d] blacktwins13hoh_venom,17
coliniestekno,49
that1blakkkidflockaveli,129
forsakendamit,97
d-moneyvishera,97
azojno,97
piercekider,129
smasher1001technology,33
croatian sensationoutfoxd,129
captainzackpink fresh,9
egazwinks,65
sharrrkvinje,129
darkshadlegendgne renegade,13
mandolordtoko,129
truckerchusaiyaman,129
bluepartyhatjon dog,129
supracascade,129
amiiboking313blacktactiks,65
jamesthe great gonzales,33
asomakip!,97
rangofatality,25
quillyarma,97
haystack,97
6wxseagull joe,33
fantacchance,97
bonelesspikajak3,129
dono42abendrake,129
mgf~gallyg,129
ricklesdom,65
warhoundsynder,129
wellequippedhobosoysauced,129
exjordanarysethsational,97
hyper crasherrog,97
truthzoan,65
consumed mexilagflashfire,129
mattatarizettaslow,129
kaseriaswaldorf,65
nommiloni,65
mew2kingally,2
nova!zex,33
