p1,p2,finalPlacement
cookwithinar,17
umbrionknightlewton,33
mew2kingally,5
puckssunshine,49
harlockkamikaze,33
ping warriorspankyj,17
obamallamahubes,49
aerouxstylo.ren,33
pugwestmarss,4
musekaze,33
fatalityscatt,13
fyezguh,17
sergioone more,49
crimepoopbob ross,49
soronajodrcudahy,25
slowjoejoe barrels,33
bigus wigusoak,33
treblethat1blakkkid,33
jjrocketsmystearica,17
pink freshcaptainzack,13
salemryuga,3
quillydare2dream,25
retaelouspupfury,49
tatsyuxsaoxsurvivorx,33
mkleoday,2
zoracylent,49
giganterramoose,33
doctor bbiscuit,25
k.i.d.gogglesdraxsel,25
armanicole,49
deezusmiloni,17
jameshertz,49
larry lurranti,5
zinototyroy,9
chuck nastymakibaz,17
gnggrey,25
taradmx,33
xzaxsamsora,13
hillsq.e.d.,49
nakatvoid,9
rangogottoms,25
jefecaminadorlsxandrew,33
unomercyscene,63
nairozero,1
tmaccfail whale,33
nomksev,17
methacrylatea-n too,33
jswissdevinchi,33
dyrsaj,17
musicbranstar,33
squirrelruse,49
mvdesam,7
karbineagent x,33
oblivion wingkasotai,49
mr.evinnie,13
flow yotreuce,25
chrispybsquared,49
mjgned,9
jman3boneless,25
abadangokameme,9
soberdsideb,49
mr.ristudying,7
chanchantaletalon,49
