T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
tempest,cloudburst,magebreaker,quest,1,0,2
m4tt,tdp,doctor b,dmvulture,1,0,2
dreami,nove,miwa,toushi,1,0,2
pchu,demi,bootyflute,bigshot,0,2,0
8bit,midas,gfitty,tatsumaki,0,2,0
phil collins,jim jam flim flam,rython,raiza,1,0,2
pk blueberry,rodo,someeggplant,decim,0,2,0
ayce,envoid,motts,zatex,0,2,0
bsquared,chrispy,seuxberry,kamen,0,2,0
prepareyourjanus,sethyk,phaze,xanos,1,0,2
thedementedcube,jberry,kaze,muse,1,0,2
goat kiwi,smashyoface,ninja nova,derpfish,0,2,0
darknac,sharkman,darkshadlegend,emperor eevee,1,0,2
zero,mr.r,magebreaker,quest,0,2,0
murphy,chase,fau,zantoma,1,1,2
keet,spinach,doctor b,dmvulture,0,2,1
l,rob gambino,miwa,toushi,0,2,0
scatt,player-1,pchu,demi,0,2,0
big guava,keldeo,8bit,midas,1,0,2
jester,brawlman1000,rython,raiza,0,2,0
danbi,tom hanks,pk blueberry,rodo,1,0,2
mew2king,dabuz,ayce,envoid,0,2,0
mr. z,coldramen,zillo,tsk1,0,2,1
mahgnittoc,winks,bsquared,chrispy,0,2,0
makibaz,cyan can,phaze,xanos,0,2,0
fatality,limbs,kaze,muse,0,2,1
jrj,tingle,phddzgt,lv^ludo,1,0,2
elrox,sage,goat kiwi,smashyoface,1,1,2
earthboundy,esmod,darkshadlegend,emperor eevee,1,0,2
zero,mr.r,fau,zantoma,0,2,0
keet,spinach,l,rob gambino,0,2,1
scatt,player-1,8bit,midas,0,2,1
jester,brawlman1000,pk blueberry,rodo,0,2,0
mew2king,dabuz,mr. z,coldramen,0,2,0
mahgnittoc,winks,makibaz,cyan can,0,2,1
fatality,limbs,phddzgt,lv^ludo,0,2,0
goat kiwi,smashyoface,darkshadlegend,emperor eevee,1,0,2
zero,mr.r,keet,spinach,0,2,0
scatt,player-1,jester,brawlman1000,0,2,0
mew2king,dabuz,mahgnittoc,winks,0,2,0
fatality,limbs,darkshadlegend,emperor eevee,0,2,0
zero,mr.r,scatt,player-1,0,2,1
mew2king,dabuz,fatality,limbs,0,2,1
zero,mr.r,mew2king,dabuz,0,3,1
zero,mr.r,mew2king,dabuz,1,2,3
mew2king,dabuz,zero,mr.r,1,1,3
earthboundy,esmod,tempest,cloudburst,0,2,0
jrj,tingle,m4tt,tdp,0,2,0
kaze,muse,dreami,nove,0,2,0
phaze,xanos,bootyflute,bigshot,0,2,0
bsquared,chrispy,gfitty,tatsumaki,0,2,0
zillo,tsk1,phil collins,jim jam flim flam,0,2,0
ayce,envoid,someeggplant,decim,0,2,1
danbi,tom hanks,motts,zatex,0,2,1
big guava,keldeo,seuxberry,kamen,0,2,0
pchu,demi,prepareyourjanus,sethyk,0,2,1
miwa,toushi,thedementedcube,jberry,0,2,0
murphy,chase,ninja nova,derpfish,0,2,1
magebreaker,quest,darknac,sharkman,1,1,2
earthboundy,esmod,elrox,sage,1,1,2
jrj,tingle,kaze,muse,1,0,2
phaze,xanos,bsquared,chrispy,0,2,0
zillo,tsk1,ayce,envoid,1,0,2
danbi,tom hanks,rython,raiza,0,2,0
big guava,keldeo,pchu,demi,1,0,2
miwa,toushi,doctor b,dmvulture,1,0,2
murphy,chase,darknac,sharkman,0,2,0
pk blueberry,rodo,elrox,sage,0,2,0
8bit,midas,kaze,muse,1,1,2
l,rob gambino,phaze,xanos,1,0,2
fau,zantoma,ayce,envoid,0,2,0
goat kiwi,smashyoface,danbi,tom hanks,0,2,1
phddzgt,lv^ludo,pchu,demi,0,2,0
makibaz,cyan can,doctor b,dmvulture,1,0,2
mr. z,coldramen,murphy,chase,1,0,2
pk blueberry,rodo,kaze,muse,0,2,1
phaze,xanos,fau,zantoma,1,0,2
goat kiwi,smashyoface,phddzgt,lv^ludo,1,1,2
doctor b,dmvulture,murphy,chase,0,2,0
mahgnittoc,winks,pk blueberry,rodo,0,2,1
darkshadlegend,emperor eevee,fau,zantoma,1,1,2
keet,spinach,phddzgt,lv^ludo,0,2,1
jester,brawlman1000,doctor b,dmvulture,0,2,0
mahgnittoc,winks,fau,zantoma,0,2,1
keet,spinach,jester,brawlman1000,1,0,2
scatt,player-1,mahgnittoc,winks,0,2,0
fatality,limbs,jester,brawlman1000,0,2,0
scatt,player-1,fatality,limbs,1,0,2
mew2king,dabuz,fatality,limbs,0,3,1
