p1,p2,finalPlacement
big guava,keldeo,25
ninja nova,derpfish,33
pk blueberry,rodo,9
ayce,envoid,17
pchu,demi,17
earthboundy,esmod,25
mew2king,dabuz,2
l,rob gambino,17
miwa,toushi,25
mahgnittoc,winks,5
m4tt,tdp,33
darknac,sharkman,25
fatality,limbs,3
mr. z,coldramen,17
thedementedcube,jberry,33
jrj,tingle,25
phaze,xanos,13
elrox,sage,17
darkshadlegend,emperor eevee,9
doctor b,dmvulture,9
zillo,tsk1,25
goat kiwi,smashyoface,13
tempest,cloudburst,33
someeggplant,decim,33
prepareyourjanus,sethyk,33
zero,mr.r,1
bsquared,chrispy,25
jester,brawlman1000,5
8bit,midas,17
seuxberry,kamen,33
fau,zantoma,7
makibaz,cyan can,17
kaze,muse,13
rython,raiza,25
murphy,chase,13
phil collins,jim jam flim flam,33
motts,zatex,33
keet,spinach,7
gfitty,tatsumaki,33
phddzgt,lv^ludo,9
dreami,nove,33
bootyflute,bigshot,33
magebreaker,quest,33
danbi,tom hanks,17
scatt,player-1,4
