P1,P2,set winner,P1Score,P2Score
jesus juice,clius,0,0,-1
luck7,f(x),0,0,-1
kuroid,blitz,1,1,2
ghost,pink justice,1,1,2
saru,pkay,0,2,0
kiraflax,mago_fff,0,2,0
rival,trainerjuan,1,0,2
zan the man,isaiah b.,0,2,0
pollo,nitro frijole,0,2,1
marthboy,humblebeast,1,0,2
ic,kimarah,0,2,0
aero,nappy,0,2,0
q,fj20,0,2,0
ratdog,nightmare,0,2,0
zero,jesus juice,0,2,0
luck7,blitz,0,2,0
pink justice,saru,1,0,2
kiraflax,trainerjuan,0,2,1
saiki,zan the man,0,2,0
pollo,humblebeast,0,2,0
ic,aero,0,2,0
q,ratdog,1,0,2
zero,luck7,0,2,0
saru,kiraflax,1,0,2
saiki,pollo,0,2,0
ic,ratdog,0,2,0
zero,kiraflax,0,2,0
saiki,ic,0,2,1
zero,saiki,0,2,0
f(x),kuroid,1,-1,0
ghost,pkay,0,2,0
mago_fff,rival,0,2,0
nitro frijole,marthboy,1,0,2
kimarah,nappy,0,2,1
fj20,nightmare,0,2,0
q,clius,0,2,0
aero,kuroid,1,0,2
humblebeast,ghost,1,1,2
zan the man,mago_fff,1,0,2
trainerjuan,isaiah b.,0,2,0
pink justice,marthboy,0,2,1
blitz,kimarah,0,2,1
jesus juice,fj20,0,2,0
q,kuroid,0,2,0
ghost,mago_fff,0,2,0
trainerjuan,pink justice,0,2,0
blitz,jesus juice,1,1,2
saru,q,1,0,2
luck7,ghost,1,0,2
ratdog,trainerjuan,0,2,0
pollo,jesus juice,0,2,0
q,ghost,1,0,2
ratdog,pollo,1,1,2
ic,ghost,0,2,1
kiraflax,pollo,0,2,0
ic,kiraflax,0,2,0
saiki,ic,0,-2,-2
ruélago,lemonjesus,1,-1,0
ninry,rmoneysmash,0,2,0
flash,deadly,0,2,0
snoop,pvncake,0,2,0
big kahuna,seltzerwaterfalls,0,2,0
nail,mr.mosby,1,-1,0
googs,salad,0,2,0
pedro vera,big o,1,0,2
the guest,assassin_marth,0,2,0
habb,vincheezy,0,2,0
ac,mabotofu,0,2,0
sinatra,spakfuls,0,2,1
captain andrew,saltee,1,1,2
k i a,m4kos,1,1,2
mkleo,lemonjesus,0,2,0
ninry,flash,0,2,0
snoop,big kahuna,0,2,0
mr.mosby,googs,1,0,2
kossismoss,big o,0,2,0
the guest,habb,1,0,2
ac,sinatra,0,2,0
saltee,m4kos,0,2,0
mkleo,ninry,0,2,0
snoop,googs,0,2,0
kossismoss,habb,0,2,0
ac,saltee,0,2,0
mkleo,snoop,0,2,0
kossismoss,ac,0,2,1
mkleo,kossismoss,0,2,0
rmoneysmash,deadly,0,2,0
pvncake,seltzerwaterfalls,1,0,2
nail,salad,1,-1,0
assassin_marth,vincheezy,0,2,0
mabotofu,spakfuls,0,2,0
captain andrew,k i a,0,2,1
m4kos,ruélago,0,0,-1
sinatra,rmoneysmash,1,0,2
the guest,seltzerwaterfalls,0,2,0
big o,salad,0,2,1
mr.mosby,pedro vera,0,2,0
big kahuna,assassin_marth,1,0,2
flash,mabotofu,1,0,2
lemonjesus,captain andrew,1,0,2
m4kos,rmoneysmash,1,0,2
the guest,big o,0,2,0
mr.mosby,assassin_marth,0,2,0
mabotofu,captain andrew,1,0,2
googs,rmoneysmash,0,2,0
ninry,the guest,1,1,2
saltee,mr.mosby,0,2,1
habb,captain andrew,0,2,1
googs,the guest,0,2,0
saltee,habb,1,0,2
ac,googs,0,2,0
snoop,habb,1,0,2
ac,habb,0,2,0
kossismoss,ac,0,-2,-2
leaf,venus,0,0,-1
jovanni,ryusd4567,0,2,0
