name,finalPlacement
nayru,129
doom,129
squidpika,385
maiko,257
nohomie,257
katnip,193
3d,385
sapphiremouse,385
b7games,65
pedro vera,257
jumper j,257
willyo,97
alpha,385
mr. jay jay,257
boundy,385
chump,193
planb,193
ac,33
muskrat catcher,193
nayita,129
meatball,257
dylanator,129
seltzerwaterfalls,257
cumzilla,257
ninjamb,193
zambrini,257
fuchsia,257
mrbundles,385
saiki,17
ru,193
vance,385
tyrant,25
micklebarrow,385
unit976,193
nicko,25
emile,193
bam,385
warchief,385
strides,385
jmex,385
oteresk,257
zfly,385
mugen,257
rice,49
marss,13
pink fresh,25
dabuz,13
mr.e,9
nursemaid,257
horse,129
badkitty239,257
rival,385
@theerealmonkey,97
dansworth22,385
bluedia,257
gpik,49
charger,65
saru,129
tweek,4
6wx,7
nightmare,385
big kahuna,257
captain andrew,129
grunyan,257
metalriff6,97
madrman,257
cloakeslayer,385
idk,257
spawn,257
scizor,33
rhyen,257
zan,49
tearbear,65
jtails,49
toasty,257
ic,33
dss,13
y2a,193
champion649,257
twigy1,193
deedarknight,193
supersega,97
kossismoss,25
lageeya,193
clobster,257
littlewolf,129
gerald fantasma,257
emu,385
ghost,65
vincheezy,385
pitbull,97
prodigy,193
javi,9
erick,257
tjohn117,257
brutus,257
chompers,257
deezy,129
cedgehog,65
googs,65
lakitu,257
vinnieaz,129
swan,385
upchuckle,129
charliedaking,33
flash ketchum,385
blastforcat,129
sinatra,257
dath,17
epicmynd88,385
jesus juice,129
riiken,385
papasquat,385
spartan:ad,257
five,129
v,257
agent_rogi,193
teb,17
t.flash,257
supermario49,193
doom,385
nuclearomega,129
snowbunny,257
pike,97
war frog,257
roli951,257
luck7,129
slither2hunter,33
garybusey,257
scb ncjacobt,65
mastamario,65
guss,257
malyck,97
dynamo,65
tecmo,385
ezreal,25
dank,257
bash,257
taka,193
rambo,257
mr.g,257
zero,1
jovanni,129
kwon,257
joledo,193
coasty,193
venuz,257
joshua_dragneel,385
goju,257
m4kos,193
ty,129
mace,129
raffola,257
zyro,65
jolt,257
mattman,193
floppeh,65
arrow,97
carlo,257
isaiah b.,257
deku.a2z,129
chrisramen,385
kelso,257
it's vietnam,193
houston,65
lobbyist,385
slicer,129
cyro,33
nappy,385
the answer,193
malk,385
d15c0,385
foooooooools,257
kimarah,257
omnideadly,193
keenemeister35,257
ike tyson,193
ki,33
sean_bot,257
leaf,257
glub,257
nonstopmop,257
dallin,385
psiguy,257
dragon,33
kaabiikaze,257
zex,33
mendez3800,257
kingyoshi,49
roc,193
spakfuls,385
koi,257
strife,257
das,33
depunked,129
sm,65
omoi,193
sd_god,193
tokyokami,385
blitz,193
the guest,97
clius,257
rich brown,13
f(x),385
rmoneysmash,129
nintendroid,385
eon,9
ryusd4567,193
q,97
kswz,129
slip,193
kev,65
neroja,193
jedi,193
maddock,257
kanye,193
alfa,385
ari,385
fireclimbers,257
batman,257
ever,385
vash,25
quantam,257
wes,97
drumleo,193
shallus,97
thatjacketguy,257
fluteloops,257
vermillion,65
totesmagotes,129
nail,385
stark,49
aphro,33
boz,129
jimmy,97
ryoka,257
noah,65
tails,97
tonik,257
imhip,17
@chasethelux,257
el tórro,129
sunj,257
lnardo,129
euclid,97
technopathetic,193
aarvark,17
hanekoma,193
punk.savage,257
zora,257
lemonjesus,257
daftcues,257
deadly,385
m3ep,257
lolo,193
ruélago,257
bluo,385
hero,129
debo,97
flo,257
cosmonaut,257
esam,25
void,3
chay,193
megariff,97
aero,257
dam danny,65
soulx,385
teo,65
kiraflax,49
chenboy3,193
wucus,129
page,257
az,193
solar,193
tempo,193
leo itou,129
hungryalchemist,385
bran,65
tltc,257
stroder,65
ultra _luigi,257
wizard,385
senpai,257
fatality,17
granny smith,129
berto,385
gumball,257
psydb,385
abr,257
therichestman,385
mabotofu,193
socalgohan,129
silentdoom,49
kohai~,385
zion,257
rl,129
puffmebro,385
pandadump,385
ryan,385
scourgemom,65
ellis,193
hexfactor,129
flash,257
fox16,129
badman,129
d-mang,257
sabzi,65
wave,257
saltee,97
shinta,129
corgi,257
razo,49
taylor,129
humblebeast,257
cptpikatwo,129
kiwi,257
jingen,33
pamoon,257
lebensraum,385
ez,49
recon,257
nitro frijole,385
fj20,257
arkistor,97
deltafox,257
nano,129
nano,193
big o,193
k9sbruce,9
twerkmastr,49
tht1nrd,129
hpazu,257
iron,385
countchief,257
shine,97
sbs,49
s~pio,129
jtab,385
muffin from mars,65
chance!?,129
ninry,129
sealoss,193
waffles,193
@not_mileycyrus,129
ak,193
blue banana,129
verseal,385
zxl,129
minos,385
shade d,97
corpo,385
tomahawk,257
dipper,257
joby1kenobi,97
assassin_marth,193
slimjim,385
pairoducks,97
cringe,129
castle,97
prince,257
shake,257
machampion,385
g2,385
riddler,129
sebiub,385
hero,97
honey nut,385
a$ap,385
fredfredburger,97
prophet,49
plex,257
malgus,385
cornbread,257
z,129
fujimilk,385
mago_fff,193
steelsburg,49
pvncake,385
animus spero,385
snoop,65
johny,257
freedom,257
ryoma<3kai,257
mr.mosby,129
migz,385
pink justice,193
ssj,97
pluto,193
trustmeimblack,385
cookie,65
skylar,129
ex-mo-3,193
jey,65
spiritswithin,385
cybrus,129
h4tch3t,385
pu55yk1ng,33
andrake,385
venus,257
r1hkami,129
karisby,193
bane,385
rakan,65
phoenix,25
aravion,193
ketchup,257
leif,257
skub,129
orochiwolf,97
firedemon,129
neotokyo,193
talicsnake,129
jk,7
satisfiedmaggot,257
pollo,65
raven,97
wulfn,49
torn,97
komorikiri,2
mkleo,5
mvd,17
ratdog,97
zan the man,257
elegant,17
skull 5,257
steve,193
oblivion,257
artic,257
zenyou,5
nova!,65
joeybeta,385
spykerfx,257
marthboy,257
k i a,385
flandre64,129
triton,193
semicollin,257
denzill,193
icarus,257
guju,257
pkay,385
falln,33
kuroid,193
habb,49
furuta,257
finalboss,33
hb2,97
fa,385
act ii,129
arma,257
trainerjuan,129
keplar,129
kneezus,129
zayn,385
blurryface,193
taquitos,193
legit,33
vicegrip,65
taternator,129
rafi,193
salad,257
jumpsteady,65
xenosmcfukingcloud,257
lite the iron man,385
xzax,65
