P1,P2,set winner,P1Score,P2Score
kyle mcmantermace,christhehatman,1,0,2
jimmy,kmoney,0,2,1
cide,machampion,0,2,0
gabe,rix,0,2,0
black_type,squidpika,0,2,1
zero,christhehatman,0,2,0
dougles,chinito,0,2,0
sm,jimmy,0,2,1
colinies,cide,0,2,0
eon,gabe,0,2,1
zfly,dynomyte,1,-1,0
ic,black_type,0,2,0
leo itou,turbosj3,0,2,0
zero,dougles,0,2,0
sm,colinies,1,1,2
eon,dynomyte,0,2,0
ic,leo itou,0,2,0
zero,colinies,0,2,0
eon,ic,0,2,0
zero,eon,0,2,0
turbosj3,kyle mcmantermace,0,2,0
zfly,kmoney,1,-1,0
gabe,machampion,0,2,1
cide,rix,1,0,2
chinito,squidpika,0,2,0
turbosj3,black_type,1,1,2
kmoney,gabe,1,0,2
rix,jimmy,1,1,2
chinito,christhehatman,0,2,1
sm,black_type,0,2,0
dougles,gabe,1,0,2
leo itou,jimmy,0,2,1
dynomyte,chinito,1,0,2
sm,gabe,0,2,1
leo itou,chinito,0,2,0
ic,sm,0,2,0
colinies,leo itou,0,2,0
ic,colinies,1,1,2
eon,colinies,0,-2,-2
j-reaper,tokyokami,0,2,1
boz,verifiedkat,0,2,0
jupiter,dro va,0,2,0
lightspeed,rmoneysmash,0,2,1
oc,strawhat,0,2,0
komorikiri,j-reaper,0,2,0
tortillathepun,chazo,1,0,2
dynamo,boz,0,2,0
hydra,jupiter,0,2,0
kossismoss,lightspeed,0,2,0
pollo,daedalus,0,2,0
saiki,oc,0,2,0
socalgohan,luckythefrog,0,2,1
komorikiri,chazo,0,2,0
dynamo,hydra,0,2,0
kossismoss,pollo,0,2,0
saiki,socalgohan,0,2,1
komorikiri,dynamo,0,2,1
kossismoss,saiki,0,2,1
komorikiri,kossismoss,0,2,0
luckythefrog,tokyokami,1,1,2
daedalus,verifiedkat,0,2,0
lightspeed,dro va,0,2,0
jupiter,rmoneysmash,1,1,2
tortillathepun,strawhat,0,2,0
tokyokami,oc,1,1,2
daedalus,lightspeed,1,0,2
rmoneysmash,boz,0,2,0
tortillathepun,j-reaper,0,2,0
hydra,oc,1,0,2
chazo,lightspeed,0,2,0
socalgohan,rmoneysmash,0,2,0
pollo,tortillathepun,1,0,2
oc,chazo,1,0,2
socalgohan,tortillathepun,0,2,0
saiki,chazo,0,2,0
dynamo,socalgohan,0,2,1
saiki,dynamo,0,2,1
kossismoss,saiki,0,-2,-2
dkwill,zan,1,0,2
dkwill,slowjoe,0,2,0
dkwill,sd_god,0,2,1
dkwill,luhtie,0,2,1
dkwill,gerald fantasma,0,2,0
arkistor,keto,0,2,0
bam,hanekoma,1,-1,0
bam,khan,1,-1,0
zan,dkwill,0,-2,-2
zan,hanekoma,0,2,0
zan,mattman,0,2,0
keto,youngturkey97,0,2,0
keto,d-mang,0,2,1
hanekoma,sd_god,1,0,2
hanekoma,isaiah b.,0,2,0
slowjoe,arkistor,0,2,0
slowjoe,efx,0,2,0
slowjoe,mattman,0,2,0
efx,isaiah b.,1,1,2
efx,d-mang,0,2,1
keplar,youngturkey97,0,2,0
sd_god,keto,0,2,0
sd_god,hero,0,2,0
void,arkistor,0,2,0
void,zan,0,2,0
void,hero,0,2,0
void,luhtie,0,2,0
hero,khan,0,2,1
page,arkistor,1,1,2
page,hero,1,0,2
page,king louie,0,2,0
luhtie,slowjoe,0,2,0
luhtie,keplar,0,2,0
luhtie,sd_god,0,2,1
mattman,king louie,0,2,0
khan,mattman,1,0,2
gerald fantasma,d-mang,1,1,2
isaiah b.,keplar,0,2,0
isaiah b.,gerald fantasma,1,0,2
shintear,upriser,1,0,2
stryker,starboy,0,2,1
agent_rogi,the kid,1,1,2
strategist,venus,1,1,2
dank,wildfire,1,0,2
larry lurr,upriser,0,2,0
recon,twigy1,0,2,1
demitus,stryker,0,2,0
nail,the kid,1,-1,0
mrconcon,venus,0,2,0
captain andrew,shasta,0,2,0
teb,wildfire,0,2,0
regalia,ninjamb,0,2,0
larry lurr,recon,0,2,0
demitus,the kid,0,2,0
mrconcon,captain andrew,0,2,0
teb,regalia,0,2,0
larry lurr,demitus,0,2,0
mrconcon,teb,1,1,2
larry lurr,teb,0,2,0
ninjamb,shintear,0,2,1
shasta,starboy,0,2,0
venus,agent_rogi,0,2,1
nail,strategist,1,-1,0
twigy1,dank,0,2,0
ninjamb,wildfire,1,1,2
shasta,venus,1,0,2
strategist,stryker,1,0,2
twigy1,upriser,1,0,2
the kid,wildfire,1,1,2
recon,venus,0,2,1
regalia,stryker,0,2,0
captain andrew,upriser,0,2,1
wildfire,recon,0,2,1
regalia,captain andrew,0,2,1
mrconcon,wildfire,0,2,1
demitus,regalia,0,2,0
mrconcon,demitus,1,0,2
teb,demitus,0,-2,-2
warchief,idk,1,-1,0
warchief,flookerson,1,-1,0
captainzack,nexus,0,2,0
captainzack,mister eric,0,-2,-2
captainzack,mister eric,0,2,1
captainzack,ss,1,1,2
captainzack,solar,0,2,1
hexfactor,wowie,0,2,0
hexfactor,solar,1,1,2
hexfactor,darreb,0,2,0
idk,solar,1,1,2
wowie,deshi,1,0,2
nexus,meteor,1,0,2
rhyen,flookerson,0,2,0
mister eric,rhyen,0,2,0
mister eric,solar,0,2,0
mister eric,scourgemom,0,2,1
tltc,hexfactor,0,2,0
tltc,mister eric,1,1,2
tltc,rage,0,2,0
tltc,scourgemom,0,2,1
xenosmcfukingcloud,darreb,1,1,2
rage,clean pigeon,0,2,0
ss,idk,0,2,0
ss,tltc,0,2,0
ss,meteor,0,2,0
meteor,xenosmcfukingcloud,0,2,0
meteor,watermelon,0,2,0
solar,deshi,0,2,1
deshi,rage,0,2,0
clean pigeon,solar,1,0,2
scourgemom,meteor,0,2,1
scourgemom,deshi,0,2,0
scourgemom,darreb,0,2,0
flookerson,meteor,1,0,2
noah,nexus,1,-1,0
noah,clean pigeon,1,-1,0
darreb,rhyen,0,2,1
darreb,watermelon,0,2,1
doom,neroja,0,2,0
joshua_dragneel,mofles,0,2,0
war frog,cumzilla,0,2,1
sealoss,totesmagotes,0,2,1
toasty,ryder,0,2,0
tweek,doom,0,2,0
mageofsymphonia,talicsnake,0,2,0
h-man,joshua_dragneel,0,2,0
ghost,war frog,0,2,0
aarvark,sealoss,0,2,0
culexus,big kahuna,0,0,-1
s2h,toasty,0,2,0
cedgehog,guitarrmar,0,2,1
tweek,mageofsymphonia,0,2,0
h-man,ghost,0,2,1
aarvark,culexus,0,2,0
s2h,cedgehog,0,2,1
tweek,h-man,0,2,0
aarvark,s2h,1,1,2
tweek,s2h,0,2,0
guitarrmar,neroja,0,2,0
big kahuna,mofles,1,-1,0
sealoss,cumzilla,0,2,0
war frog,totesmagotes,0,2,1
talicsnake,ryder,0,2,0
guitarrmar,toasty,1,0,2
mofles,sealoss,1,0,2
war frog,joshua_dragneel,1,1,2
talicsnake,doom,1,0,2
ghost,toasty,0,2,0
mageofsymphonia,sealoss,0,2,1
cedgehog,joshua_dragneel,0,2,0
culexus,doom,0,2,0
ghost,mageofsymphonia,0,2,0
cedgehog,culexus,0,2,1
aarvark,ghost,1,1,2
h-man,cedgehog,0,2,0
ghost,h-man,0,2,1
s2h,ghost,0,-2,-2
smooth kriminal,rajeet,1,1,2
tensei,c#,1,0,2
madrman,mag,0,2,0
supermario49,katnip,1,0,2
skywardgemstone,diago,1,0,2
zinoto,rajeet,0,2,0
orpheus,kc,1,1,2
z,c#,0,2,0
pu55yk1ng,madrman,0,2,0
nicko,katnip,0,2,0
metalriff6,tomahawk,0,2,0
mjg,diago,0,2,1
xelglugx,shagaru,0,2,0
zinoto,kc,0,2,0
z,pu55yk1ng,1,1,2
nicko,metalriff6,0,2,1
mjg,xelglugx,0,2,0
zinoto,pu55yk1ng,0,2,0
nicko,mjg,1,0,2
zinoto,mjg,0,2,0
shagaru,smooth kriminal,1,0,2
tomahawk,tensei,0,2,0
katnip,mag,0,2,1
madrman,supermario49,0,2,0
orpheus,skywardgemstone,0,2,0
smooth kriminal,diago,1,0,2
tomahawk,katnip,0,2,0
