P1,P2,set winner,P1Score,P2Score
zero,shallus,0,2,0
zero,fow,0,3,1
zero,mijo,0,2,0
zero,imhip,0,2,0
cookie,thurby,0,2,0
cookie,regalia,0,0,-1
2manycooks,felix,1,0,2
2manycooks,cringe,0,2,0
xzax,2manycooks,0,2,1
xzax,fow,1,1,2
xzax,bask 3xa,0,2,0
xzax,imhip,1,1,3
xzax,granny smith,0,2,0
pato-superquack,objection! 2007,0,0,-1
shallus,cringe,0,2,0
oko,granny smith,1,0,2
felix,objection! 2007,0,0,-1
felix,shallus,1,1,2
felix,mijo,0,2,0
fow,pato-superquack,0,2,0
fow,ghost,0,2,0
fow,imhip,0,-2,-2
ssb100,cookie,0,0,-1
ssb100,oko,0,2,0
ssb100,absoluterush11,0,2,0
kuroid,poptartpat,1,1,2
mijo,apollo,0,2,0
mijo,kuroid,0,2,0
ghost,felix,1,0,2
ghost,ssb100,0,2,1
ghost,poptartpat,0,2,0
bask 3xa,cookie,0,2,0
bask 3xa,pato-superquack,0,2,0
bask 3xa,shallus,0,2,1
bask 3xa,imhip,1,1,2
imhip,felix,0,2,0
imhip,ssb100,0,2,1
regalia,cringe,1,-1,0
granny smith,absoluterush11,0,2,0
cringe,thurby,0,2,0
cringe,granny smith,0,2,1
poptartpat,pato-superquack,1,0,2
poptartpat,apollo,0,2,0
yuruloki,scourge,1,-1,0
pixl,wpwood,0,2,0
culexus,kmoney,0,2,1
fail,hori,0,0,-1
rix,rajeet,1,0,2
prince ephraim,shoe,1,0,2
tomahawk,stickman,1,1,2
nairo,scourge,0,2,0
sd_god,coney,0,0,-1
rice,pixl,0,2,0
calculus,culexus,0,2,0
nakat,fail,0,2,0
arikie,rajeet,0,2,0
scatt,shoe,0,2,0
kiraflax,stickman,0,2,0
nairo,sd_god,0,2,0
rice,calculus,0,2,1
nakat,arikie,0,2,0
scatt,kiraflax,0,2,0
nairo,rice,0,2,0
nakat,scatt,1,0,2
nairo,scatt,0,3,0
stickman,yuruloki,0,0,-1
rajeet,wpwood,1,1,2
fail,kmoney,1,1,2
culexus,hori,0,0,-1
pixl,rix,0,2,0
coney,prince ephraim,1,-1,0
scourge,tomahawk,0,2,0
stickman,shoe,1,0,2
wpwood,kmoney,0,2,1
culexus,pixl,0,2,1
prince ephraim,scourge,1,0,2
calculus,shoe,1,1,2
sd_god,wpwood,0,2,1
kiraflax,culexus,1,1,2
arikie,scourge,0,2,0
shoe,sd_god,1,1,2
culexus,arikie,1,0,2
nakat,sd_god,0,2,0
rice,arikie,0,2,1
nakat,rice,0,3,0
scatt,nakat,0,-2,-2
jake from statefarm,momo,1,0,2
kwon,cape,0,2,0
emu,skynerd,1,0,2
shade,rawknee,0,2,1
nano,sks,0,2,1
kafei,icy wind,0,2,0
the guest,dd,0,2,0
void,momo,0,2,0
socalgohan,leo itou,0,2,0
ac,kwon,0,2,1
soulimar,skynerd,0,2,1
vinnie,shade,0,2,0
asa,nano,0,2,0
9b,kafei,0,2,0
snoop,the guest,0,2,1
void,socalgohan,0,2,0
ac,soulimar,1,1,2
vinnie,asa,0,2,0
9b,snoop,0,2,0
void,soulimar,0,2,0
vinnie,9b,1,0,2
void,9b,0,3,0
the guest,jake from statefarm,0,2,1
nano,cape,0,2,0
shade,emu,0,2,0
skynerd,rawknee,0,2,0
kwon,sks,1,0,2
leo itou,icy wind,0,2,0
momo,dd,0,2,0
the guest,kafei,1,1,2
nano,shade,1,0,2
skynerd,sks,0,2,1
leo itou,momo,1,0,2
ac,kafei,0,2,0
socalgohan,shade,1,0,2
snoop,skynerd,1,1,2
asa,momo,1,1,2
ac,shade,0,2,0
skynerd,momo,1,1,2
vinnie,ac,1,1,2
soulimar,momo,0,2,0
ac,soulimar,1,1,3
9b,soulimar,0,-2,-2
r1hkami,alb,0,2,1
r1hkami,l.u.c.y,1,0,2
r1hkami,nifty,0,2,1
alb,deja,1,1,2
locus,r1hkami,0,2,0
locus,l.u.c.y,0,2,1
locus,aphro,0,2,0
kanye,joltlee,0,0,-1
kanye,chu,0,2,1
kanye,bang!,1,0,2
spakfuls,tco,1,1,2
shine,r1hkami,1,1,2
shine,spakfuls,0,2,0
shine,captain jett,0,2,0
captkaty,apparition,1,0,2
captkaty,bang!,1,0,2
prophet,warchief,0,0,-1
prophet,tco,0,2,0
warchief,captkaty,1,-1,0
joltlee,apparition,1,-1,0
apparition,chu,0,2,1
athena,r1hkami,1,1,2
athena,kanye,0,2,0
deja,tco,1,0,2
deja,nifty,0,2,0
tco,captain jett,0,2,0
saj,locus,1,2,3
saj,tco,0,2,0
saj,bang!,0,2,1
saj,l.u.c.y,0,2,0
saj,pugwest,1,0,2
bang!,prophet,0,2,0
l.u.c.y,apparition,0,2,0
l.u.c.y,deja,0,2,0
pugwest,locus,0,-2,-2
pugwest,athena,0,2,0
pugwest,bang!,0,2,0
aphro,shine,0,2,1
aphro,bang!,1,0,2
abadango,locus,0,2,0
abadango,prophet,0,2,0
abadango,apparition,0,2,0
abadango,pugwest,0,3,1
aethereon,amdodd,1,0,2
frededish,a$ap,1,1,2
idkey,frzi,0,2,1
satisfiedmaggot,blackdynowright,1,0,2
zion,bera,0,2,0
gilly,orpheus,1,0,2
page,seabass,0,2,1
larry lurr,amdodd,0,2,0
captain andrew,edgar,1,1,2
mrconcon,a$ap,0,2,0
soronie,idkey,0,2,0
nietono,blackdynowright,0,2,0
prodigy,zion,1,1,2
ryo,orpheus,0,2,0
razo,page,0,2,1
larry lurr,edgar,0,2,0
mrconcon,soronie,0,2,0
nietono,zion,0,2,0
ryo,razo,0,2,1
larry lurr,mrconcon,0,2,0
nietono,ryo,1,0,2
larry lurr,ryo,0,3,1
page,aethereon,0,2,1
prodigy,frededish,1,0,2
blackdynowright,frzi,0,2,0
idkey,satisfiedmaggot,0,2,0
a$ap,bera,0,2,0
captain andrew,gilly,0,2,0
amdodd,seabass,0,2,0
page,orpheus,1,1,2
frededish,blackdynowright,1,1,2
idkey,a$ap,0,2,0
captain andrew,amdodd,1,0,2
soronie,orpheus,0,2,0
edgar,blackdynowright,0,2,0
razo,idkey,0,2,0
zion,amdodd,1,1,2
soronie,edgar,0,2,0
razo,amdodd,0,2,0
nietono,soronie,0,2,0
mrconcon,razo,0,2,0
nietono,mrconcon,1,1,3
ryo,mrconcon,0,-2,-2
atlas,dunkmaster ragna,1,0,2
gshark,potter,0,2,1
var,nova!,1,0,2
theed,blu,0,2,0
mattman,oat,1,1,2
lolo,bluez,1,1,2
celso,lakitu,0,2,0
komorikiri,dunkmaster ragna,0,2,0
sura,hexfactor,0,2,0
nicko,gshark,0,2,0
zex,nova!,0,2,0
dath,theed,0,2,0
charger,oat,0,2,0
regi shikimi,bluez,0,2,0
rickles,celso,0,2,0
komorikiri,sura,0,2,0
nicko,zex,0,2,0
dath,charger,0,2,1
regi shikimi,rickles,0,2,0
komorikiri,nicko,0,2,0
dath,regi shikimi,0,2,0
komorikiri,dath,0,3,2
celso,atlas,0,2,0
oat,potter,0,2,0
