name,finalPlacement
mcbutt,129
mystyc,193
seagull joe,33
brawlerg31,65
larry lurr,2
chinito,193
fox16,193
dougles,257
zyxeos,257
locus,9
wildfire,129
the beef,193
samsora,17
bootliss,193
afrojay,257
gpik,97
cleytito,193
snoop,129
strides,193
zfly,257
bam,257
jmex,257
qiom,257
kwon,257
warchief,257
lakitu,257
tomahawk,257
xzax,49
luck7,129
slither2hunter,49
kswz,193
ac,49
flo,257
momo,65
saj,49
tco,129
rickles,97
clario,65
ss,33
djaraxxus,129
houston,129
twerkmastr,257
roguepenguin,65
dr. dank,193
bera,257
ven,65
void,3
prodigy,257
ghost,97
bowser,257
nova!,129
zero,4
kelso,257
cringe,129
freeelfy,129
pandadump,97
jake from statefarm,257
nersh,193
sks,193
cetra,193
the guest,193
fujimilk,257
socalgohan,129
bang!,65
imhip,25
nakat,33
teb,65
berto,129
absoluterush11,257
xanntha,257
redux,65
zyro,129
charliedaking,65
boat,257
barrelroll,257
malk,193
calculus,129
kanye,193
kvp,193
oko,257
jumbojack,129
amac,129
poptartpat,193
ned,33
cloud,257
hexfactor,257
shrooby,257
felix,65
captainzack,25
shinta,97
ic,33
2manycooks,129
striatedmanx,257
captkaty,193
valor,129
leo itou,193
stealthy,129
apollo,257
submediant,129
pu55yk1ng,65
bluez,193
chu,257
mkleo,1
ee,257
asa,129
pato-superquack,129
the countess,193
celso,97
prince ramen,129
nicko,65
page,193
rex,257
coney,257
9b,25
nietono,49
keitaro,65
andydemon,257
amdodd,97
yeaa boi,193
kameme,9
mr.e,49
cookie,193
torn,257
gloomy,129
spakfuls,257
glove,257
supernintenho,257
falln,13
theed,257
prophet,97
cedgehog,97
regi shikimi,49
tweek,13
fow,17
karna,97
jedi,129
fslink,97
prince ephraim,193
telmo,257
nico pls,193
pairoducks,129
amok the brzrkr,257
zion,129
blinx,257
rajeet,257
echo,193
apparition,129
pike,129
rvrproduct,193
arikie,65
dark wizzy,193
sm,65
false,65
potter,257
athena,129
sinister,129
hyknight,257
legit,25
wave,193
idk,257
nifty,257
nachos_da_dog,257
k9sbruce,33
a$ap,193
gshark,257
sura,65
ssb100,129
lolo,193
zenyou,25
skylar,65
tyrant,13
alphicans,129
razo,65
r1hkami,97
culexus,97
regalia,257
sav_dre,257
evangelato,257
ikez,129
j.p.,257
mr.r,17
puffmebro,257
tonysherbert,33
jesus,129
soronie,65
cape,257
pixl,193
orpheus,129
ryo,33
boz,193
flash,257
x,257
wpwood,129
kuroid,257
doomlion,193
frededish,193
saturn,97
jehtt,129
technicals,97
ninja587,257
bear,257
pugwest,25
eikelmann,257
day,25
dath,25
captain andrew,193
rawknee,257
alb,257
ichiban,257
thatonerider,129
jjrockets,33
draquaza,97
abadango,9
mattman,193
arkistor,129
shine,193
salem,17
z,65
ross,257
croc,257
taternator,97
daddy;)kins,129
scatt,33
willyo,129
oki,97
hitaku,49
rich brown,33
diablo,97
emblem,193
kafei,129
sd_god,65
shade,97
eon,65
burningnight,129
m4kos,257
sean,65
aphro,129
z-nix,257
komorikiri,7
stickman,193
kiraflax,129
vinnie,65
keplar,129
stigmata,257
idkey,129
maiko,97
chiroz,97
ally,5
wailing walrus,257
elegant,49
saiki,65
pluto,97
solidpieces,257
lada,97
6wx,17
deja,193
blatz!,257
rice,49
vash,49
navi,129
mijo,193
miiself,129
zex,129
raycharoen,193
linkedknight,193
g2,193
kmoney,193
strands,257
khan,193
edgar,97
nano,129
pollo,129
thurby,257
z0mfg,49
soulimar,33
trevonte,17
skynerd,97
floppeh,97
icy wind,257
captain jett,257
flare,257
granny smith,193
stami,193
halcyon,193
nero,129
dr.feelgood,257
tempo,129
anti,7
nairo,5
var,129
mayo,257
batman,193
hydra,97
taquitos,193
charger,129
jaqed,257
objection! 2007,257
bask 3xa,65
satisfiedmaggot,257
hori,257
fail,257
ys,193
zan,49
dynamo,65
pipa,257
gilly,257
fatality,13
gabe,129
ikki,129
senpai,193
frzi,257
rix,257
aethereon,257
oat,193
dunkmaster ragna,33
steelsburg,129
pink fresh,33
jk,17
imfree,257
brosinex,49
lumen,257
sir. oosh,193
aether,193
scourge,129
mrconcon,33
george w. kush,257
jynx,97
zinoto,17
minos,257
neek,257
blu,257
atlas,257
king louie,257
tltc,65
dyr,33
seabass,257
dd,257
aarvark,49
l.u.c.y,65
black_type,129
jerm,65
glacer,257
sabzi,193
dabuz,9
zxl,65
countchief,129
shallus,97
sea drake,257
nano,193
nurse,97
lycan,49
manifest,193
blackdynowright,129
pinko,193
emu,257
juffle,193
joltlee,257
iko,257
shoe,97
yuruloki,257
kvnazn,193
