P1,P2,set winner,P1Score,P2Score
rayne,scythesurge,1,1,2
mono,level,0,2,0
mr. orange,k@s,1,0,2
cpt. retro,agni,0,2,1
mr.e,scythesurge,0,2,0
ralphie,wiseguy,0,2,0
nervous,mono,1,0,2
griffin,jazz,0,2,0
camalange,k@s,0,2,0
navii,soxjoe,0,2,1
biddy,cpt. retro,0,2,0
driftintheabyss,never,1,0,2
mr.e,ralphie,0,2,0
mono,griffin,0,2,0
camalange,navii,0,2,0
biddy,never,0,2,1
mr.e,mono,0,2,0
camalange,biddy,0,2,0
mr.e,camalange,0,2,0
mr.e,biddy,0,-2,-2
driftintheabyss,rayne,0,2,1
soxjoe,level,0,2,0
jazz,mr. orange,1,0,2
wiseguy,agni,1,0,2
driftintheabyss,cpt. retro,1,0,2
soxjoe,k@s,0,2,1
mr. orange,nervous,1,0,2
agni,scythesurge,0,2,0
griffin,cpt. retro,1,0,2
ralphie,soxjoe,0,2,0
never,nervous,0,2,0
navii,agni,0,2,0
cpt. retro,ralphie,1,1,2
never,navii,1,0,2
biddy,ralphie,0,2,0
mono,navii,1,0,2
biddy,navii,0,2,1
camalange,biddy,1,1,2
bobby habanero,vaar,0,2,1
bobby habanero,richie business,1,0,2
bobby habanero,gentle ralts,0,2,0
shyguy,noel,1,0,2
shyguy,p7,0,2,1
hawkboy1080yt,ale,1,1,2
mega espeon,bigo60,1,0,2
mega espeon,eg,1,0,2
mega espeon,p7,0,2,0
noel,superkirby,0,2,0
plural,botch,1,0,2
plural,eg,0,2,0
plural,opana,1,0,2
plural,superkirby,0,2,0
blankey,bigo60,1,1,2
blankey,superkirby,1,1,2
bigo60,botch,1,0,2
botch,bobby habanero,0,2,0
botch,shyguy,0,2,0
luca brasi,mega espeon,1,0,2
eg,richie business,1,0,2
eg,gentle ralts,0,2,0
mister eric,noel,0,2,0
mister eric,botch,0,2,1
mister eric,opana,0,2,1
mister eric,john numbers,0,-2,-2
opana,hawkboy1080yt,0,2,0
opana,botch,0,2,0
opana,richie business,0,2,1
ale,vaar,1,1,2
ale,eg,1,0,2
john numbers,vaar,0,2,0
john numbers,bigo60,0,2,0
john numbers,mister eric,1,0,2
john numbers,opana,0,2,1
john numbers,richie business,0,2,0
richie business,noel,0,2,1
superkirby,luca brasi,0,2,1
dead guy,gramgus,1,-1,0
killtron,darkishstar,1,0,2
beenz,elw00,1,0,2
melo,avium,0,2,0
james,gramgus,0,2,0
spaceman,guapo,0,0,-1
pksparkxx,darkishstar,1,1,2
lightsoul,gonzilla,1,-1,0
adhd,elw00,0,2,0
laifu,spam adams,1,-1,0
blazingpasta,melo,0,2,0
tokyo,xjerry64x,0,2,1
james,spaceman,0,2,0
darkishstar,gonzilla,1,0,2
adhd,spam adams,0,2,0
blazingpasta,tokyo,0,2,0
james,gonzilla,0,2,0
adhd,blazingpasta,0,2,1
james,adhd,0,2,0
james,adhd,0,-2,-2
xjerry64x,dead guy,0,0,-1
laifu,killtron,1,-1,0
lightsoul,beenz,1,-1,0
guapo,avium,1,-1,0
xjerry64x,melo,1,0,2
killtron,elw00,1,0,2
beenz,pksparkxx,1,0,2
avium,gramgus,0,2,1
darkishstar,melo,1,0,2
spaceman,elw00,0,2,0
tokyo,pksparkxx,0,2,0
spam adams,avium,1,0,2
melo,spaceman,0,2,0
tokyo,avium,0,2,0
blazingpasta,melo,1,0,2
gonzilla,tokyo,1,1,2
melo,tokyo,1,0,2
adhd,tokyo,0,2,0
triad_prodigy,cheezyb,0,2,0
freesk,johnnyweaves,1,0,2
bryce,dadangerdan,0,2,0
puddn,kamisado,0,2,1
pugwest,triad_prodigy,0,2,0
g-off,dadshome,0,0,-1
7blanks,johnnyweaves,1,0,2
edwin,a.t.c.,0,2,0
omega,bryce,1,1,2
dr. b,blazikus,1,0,2
redeemer z,puddn,0,2,0
shyguyplays (sgp),melbo,1,0,2
pugwest,g-off,0,2,0
johnnyweaves,edwin,1,0,2
bryce,blazikus,0,2,1
redeemer z,melbo,0,2,0
pugwest,edwin,0,2,0
bryce,redeemer z,0,2,0
pugwest,bryce,0,2,0
pugwest,edwin,0,-2,-2
shyguyplays (sgp),cheezyb,1,1,2
dr. b,freesk,0,2,0
a.t.c.,dadangerdan,1,0,2
dadshome,kamisado,1,-1,0
cheezyb,puddn,1,1,2
dr. b,omega,1,1,2
dadangerdan,7blanks,0,-2,-2
kamisado,triad_prodigy,1,0,2
johnnyweaves,puddn,0,2,0
g-off,omega,1,0,2
melbo,dadangerdan,0,2,0
blazikus,triad_prodigy,1,1,2
johnnyweaves,omega,1,1,2
melbo,triad_prodigy,1,0,2
redeemer z,omega,1,0,2
edwin,triad_prodigy,0,2,1
omega,edwin,1,0,2
bryce,edwin,1,0,2
fake,lecceo,1,-1,0
gumpis,lupo,0,2,1
uchi,dimension,0,2,0
supergirlkels,lecceo,0,2,0
x,namagem,1,1,2
hart,citruslord,0,2,0
shotz,megaxovr,1,1,2
raptor,gumpis,0,2,0
corvus crow,cafe,1,0,2
dipsel,uchi,1,0,2
smallnugs,enters,1,0,2
supergirlkels,namagem,0,2,0
hart,megaxovr,0,2,0
raptor,cafe,0,2,0
uchi,enters,1,1,2
supergirlkels,hart,0,2,1
raptor,enters,0,2,0
supergirlkels,raptor,0,2,0
supergirlkels,raptor,0,-2,-2
smallnugs,fake,0,0,-1
shotz,lupo,1,0,2
x,dimension,0,2,0
smallnugs,dipsel,1,0,2
corvus crow,gumpis,0,2,0
lupo,citruslord,0,2,0
x,lecceo,0,2,1
megaxovr,dipsel,1,0,2
namagem,corvus crow,1,0,2
uchi,lupo,0,2,0
cafe,x,0,2,1
dipsel,corvus crow,1,1,2
uchi,cafe,1,1,2
enters,corvus crow,1,1,2
hart,cafe,0,2,0
corvus crow,hart,1,0,2
raptor,hart,0,2,0
ster tha kiid,oatmeal,1,0,2
ableunable,dr. eggplant,0,2,1
madluk,level 99,0,2,0
umeki,oatmeal,0,2,0
bonerstorm,riddlyr,0,2,0
darkmoon,partytimeaustin,0,2,0
x-man,fuqnut,0,2,0
lawz,ableunable,0,2,0
mikito habanero,vinsane,1,0,2
ice,madluk,0,2,1
yoda cage,moon monkey,1,0,2
umeki,bonerstorm,0,2,0
darkmoon,x-man,0,2,1
lawz,vinsane,0,2,0
ice,moon monkey,1,0,2
umeki,darkmoon,0,2,0
lawz,moon monkey,0,2,0
umeki,lawz,0,2,0
umeki,oatmeal,0,-2,-2
yoda cage,ster tha kiid,1,1,2
fuqnut,dr. eggplant,1,1,2
riddlyr,level 99,0,0,-1
ster tha kiid,madluk,0,2,1
mikito habanero,ableunable,1,1,2
dr. eggplant,partytimeaustin,0,2,0
riddlyr,oatmeal,1,-1,0
x-man,ster tha kiid,1,0,2
bonerstorm,ableunable,1,1,2
ice,dr. eggplant,1,0,2
vinsane,oatmeal,1,0,2
ster tha kiid,ableunable,0,2,0
dr. eggplant,oatmeal,1,1,2
moon monkey,ster tha kiid,1,1,2
darkmoon,oatmeal,1,0,2
ster tha kiid,oatmeal,1,1,2
lawz,oatmeal,1,1,2
gt pulse,gkellz,0,2,0
gubb,papabear,0,2,0
cpt jack house,cruzer,0,2,1
c3po,gt pulse,0,2,0
nandee habanero,wombat,1,0,2
terrorshard,petemctee,1,0,2
replay,nandos,0,2,0
sinji,gubb,0,2,0
krazysyko,samn,0,2,0
luigisama,cpt jack house,0,2,1
kakarot,f!ow,1,0,2
c3po,wombat,0,2,0
petemctee,replay,0,2,0
sinji,krazysyko,0,2,0
luigisama,f!ow,0,2,1
c3po,petemctee,0,2,0
sinji,luigisama,0,2,0
c3po,sinji,1,0,2
sinji,c3po,0,-2,-2
kakarot,gkellz,1,-1,0
nandos,papabear,1,-2,-2
nandee habanero,cruzer,1,0,2
gkellz,cpt jack house,1,-2,-2
samn,gubb,1,0,2
papabear,terrorshard,1,0,2
cruzer,gt pulse,1,0,2
replay,cpt jack house,0,2,0
wombat,gubb,0,2,1
f!ow,terrorshard,1,1,2
krazysyko,gt pulse,1,0,2
replay,wombat,0,2,1
terrorshard,gt pulse,0,2,0
luigisama,replay,1,1,2
petemctee,terrorshard,1,1,2
replay,terrorshard,1,0,2
c3po,terrorshard,0,2,0
coolin,shocktail,0,-2,-2
earthboundy,pochilin,0,-2,-2
letsgojungleking,burst,1,-2,-2
qwerty,flylo,0,-2,-2
day,coolin,0,2,0
aranocean,mcdareth,0,-2,-2
qsef,earthboundy,1,-2,-2
sage,nairb1,1,-2,-2
minty,burst,0,-2,-2
kevy habanero,summerhays,1,-2,-2
dragonmatt,qwerty,1,-2,-2
elmustachio,uncle koopa,1,-2,-2
day,aranocean,0,-2,-2
earthboundy,nairb1,0,-2,-2
minty,summerhays,0,-2,-2
qwerty,uncle koopa,1,-2,-2
day,earthboundy,0,-2,-2
minty,uncle koopa,0,-2,-2
day,minty,0,-2,-2
day,minty,0,-2,-2
elmustachio,shocktail,0,2,0
kevy habanero,pochilin,1,-2,-2
sage,letsgojungleking,0,2,1
mcdareth,flylo,0,-2,-2
elmustachio,dragonmatt,1,-2,-2
pochilin,burst,1,0,2
sage,qsef,1,-2,-2
mcdareth,coolin,0,-2,-2
nairb1,dragonmatt,1,-2,-2
aranocean,burst,1,1,2
qwerty,qsef,0,-2,-2
summerhays,mcdareth,1,-2,-2
dragonmatt,burst,1,1,2
qwerty,mcdareth,0,-2,-2
uncle koopa,burst,1,-2,-2
earthboundy,qwerty,0,-2,-2
burst,earthboundy,1,-2,-2
minty,earthboundy,0,2,1
abcod,garb,1,0,2
delibird,debbilypoo,0,2,0
lacmeezy,quisine,1,-1,0
dabuz,garb,0,2,0
pichuangel,crowdingmovie,1,1,2
steele,bang,1,1,2
navy,avocado,1,0,2
lingling,delibird,0,2,0
chico,dreager1,1,-1,0
cyberman65,quisine,0,2,0
twane,kid prodigy,0,2,1
dabuz,crowdingmovie,0,2,0
bang,avocado,0,2,0
lingling,dreager1,0,2,0
cyberman65,twane,0,2,0
dabuz,bang,0,2,0
lingling,cyberman65,0,2,0
dabuz,lingling,0,2,0
dabuz,lingling,0,-2,-2
kid prodigy,abcod,0,0,-1
navy,debbilypoo,1,1,2
pichuangel,lacmeezy,0,0,-1
kid prodigy,quisine,0,2,0
chico,delibird,1,-1,0
debbilypoo,steele,1,0,2
pichuangel,garb,1,0,2
avocado,kid prodigy,0,2,0
crowdingmovie,delibird,0,2,0
twane,steele,0,2,0
dreager1,garb,1,1,2
avocado,crowdingmovie,1,0,2
twane,garb,1,0,2
cyberman65,crowdingmovie,0,2,0
bang,garb,1,0,2
cyberman65,garb,0,2,0
lingling,cyberman65,0,2,1
catastrophe,pokey,0,2,0
plokmok,doraz,1,0,2
destroyer,limbersmile,0,2,0
void,catastrophe,0,2,0
crownlessking,singleblackmom,0,2,1
tony,d£vδ,0,2,1
unknown,locamash,0,2,0
shippo,doraz,1,1,2
swike,abso,0,2,1
swoosh,destroyer,0,2,0
amon,hoodlife101,1,0,2
void,crownlessking,0,2,0
tony,unknown,1,0,2
doraz,swike,1,0,2
swoosh,hoodlife101,1,0,2
void,unknown,0,2,0
swike,hoodlife101,1,0,2
void,hoodlife101,0,2,0
void,tony,0,-2,-2
amon,pokey,0,2,0
locamash,plokmok,1,0,2
singleblackmom,limbersmile,0,2,0
amon,destroyer,1,0,2
abso,shippo,1,0,2
plokmok,d£vδ,0,2,0
singleblackmom,catastrophe,1,1,2
tony,destroyer,0,2,1
crownlessking,shippo,1,0,2
swoosh,plokmok,0,2,0
doraz,catastrophe,0,2,1
tony,shippo,0,2,0
swoosh,doraz,1,0,2
swike,tony,1,0,2
unknown,doraz,1,0,2
tony,doraz,0,2,0
hoodlife101,tony,1,0,2
drdoobie,solo,0,0,-1
mikeybear,calamity,1,0,2
okatsu,ayyyedrew,1,-1,0
marss,drdoobie,0,2,0
her0,blazerkirby,1,-1,0
vash,dre,0,2,0
rayramono,vivi,0,2,0
dark.pch,calamity,0,2,1
gumi,gale,0,2,0
ninja,ayyyedrew,0,2,0
fredrrs,masterd,0,2,0
marss,blazerkirby,0,2,0
vash,rayramono,0,2,0
dark.pch,gumi,0,2,1
ninja,fredrrs,0,2,0
marss,vash,0,2,0
dark.pch,ninja,1,0,2
marss,ninja,0,2,0
marss,vash,0,-2,-2
masterd,solo,0,0,-1
vivi,mikeybear,0,2,0
her0,okatsu,0,0,-1
masterd,ayyyedrew,1,0,2
gale,calamity,1,1,2
vivi,dre,1,0,2
her0,drdoobie,0,2,0
rayramono,ayyyedrew,1,1,2
blazerkirby,calamity,0,2,0
fredrrs,dre,1,0,2
gumi,her0,1,1,2
ayyyedrew,blazerkirby,1,0,2
dre,her0,1,0,2
dark.pch,blazerkirby,1,0,2
vash,her0,0,2,0
blazerkirby,vash,1,1,2
ninja,vash,1,0,2
knotxaklyrite,kensei,0,2,1
sticky,tensin,0,2,0
treebone,buckstrom,1,0,2
mew2king,knotxaklyrite,0,2,0
failsafe,noe3,1,0,2
prof3ssormgw,saltyfun,0,2,0
crispy will,awwtiz'em,0,2,1
glentendo,sticky,1,0,2
thd,lake,0,2,1
rawk,buckstrom,1,0,2
vivid,powercharactersftw,0,0,-1
mew2king,noe3,0,2,0
prof3ssormgw,crispy will,0,2,0
sticky,thd,0,2,0
buckstrom,vivid,0,2,1
mew2king,prof3ssormgw,0,2,1
sticky,buckstrom,0,2,1
mew2king,sticky,0,2,0
mew2king,prof3ssormgw,0,-2,-2
powercharactersftw,kensei,1,-1,0
awwtiz'em,tensin,1,0,2
failsafe,treebone,1,1,2
kensei,rawk,1,0,2
lake,glentendo,1,0,2
tensin,saltyfun,1,0,2
treebone,knotxaklyrite,0,2,1
crispy will,rawk,1,1,2
noe3,glentendo,0,2,1
vivid,saltyfun,1,1,2
thd,treebone,1,0,2
rawk,noe3,0,2,0
saltyfun,treebone,0,2,0
buckstrom,rawk,1,1,2
prof3ssormgw,saltyfun,0,2,0
rawk,prof3ssormgw,1,0,2
sticky,prof3ssormgw,1,0,2
pankeiki,fearfro,0,2,0
jp1024,air gordon,1,1,2
rtsalmon,sirhunk,1,0,2
tweek,pankeiki,0,2,0
zorai,naga's voice,0,2,1
derdds,housetop,0,2,0
swanson,arch,1,0,2
the great gonzales,air gordon,0,2,0
reklaw,twinkii,1,0,2
arhungry,sirhunk,0,2,0
naga,hot kaarl,0,2,0
tweek,zorai,1,1,2
derdds,arch,1,0,2
the great gonzales,twinkii,0,2,0
arhungry,naga,0,2,0
zorai,arch,0,2,0
the great gonzales,arhungry,0,2,0
zorai,the great gonzales,1,0,2
the great gonzales,tweek,0,-2,-2
hot kaarl,fearfro,0,2,0
swanson,jp1024,0,2,0
naga's voice,rtsalmon,0,2,0
hot kaarl,sirhunk,1,0,2
reklaw,air gordon,1,1,2
swanson,housetop,0,2,0
naga's voice,pankeiki,1,0,2
derdds,sirhunk,0,2,1
tweek,air gordon,0,2,0
naga,swanson,1,0,2
twinkii,pankeiki,1,0,2
derdds,tweek,1,0,2
swanson,pankeiki,1,0,2
arhungry,tweek,1,0,2
arch,pankeiki,1,1,2
tweek,pankeiki,0,2,0
zorai,tweek,1,0,2
zink,sexy°,0,2,0
master j.j.,subzero450,0,2,1
