name,finalPlacement
gregs,17
ayoub,65
dax,65
northstar,257
pikaforlife,65
tango,193
lian,49
geistbox,225
nyx,193
kibzu~,25
s1-14,7
cross~up,97
g~p,65
schilt,161
g3,193
flamjam,129
lufos,129
orchard,65
scarhi,65
cyfersquad,49
comical,161
strawhatter,225
9volt,193
soreru,65
ninpowa,193
karvaperse666,193
vurky,97
makec,129
mental,97
clade,17
easzy,49
ansou,97
skippo,65
marm',65
cong,97
lavlis,49
lackluster,225
bikerknight,129
parablegreg,161
maxy,33
cfive,65
xcloud,65
vyq,9
saigono,225
greentwingamer,49
lordofrocks,225
j.miller,17
splitz,193
zudenka,33
wittmarch,129
meru,17
smrfndorf,129
buspappan,225
paoz,49
shido,161
skarfelt,49
hattie,65
micklebarrow,129
hawxx is rippin,97
tkg~,161
noble,225
poopmaister6000,161
siap,257
evilized,225
danzeh,161
yikarur,33
warheart,97
pichu main,161
pikamaxi,97
ho,17
max ketchum,33
vreyvus,33
oohcoo,193
greward,225
babo (banchobowser),193
whiny,65
rockyjay,161
izy,193
prussiluskan,193
wiiase,33
shadowclaw,161
luigi player,13
anaky,25
bowie,193
silentdoom,65
pidgey,49
diggerty10,193
adom,33
silentgodot,257
hgfeedback,193
awesomebee,161
alias,49
starkorn,129
psycho,161
orocco,129
arceus,161
el_pitikla,33
cyanide,65
ravage c,129
sodrek,7
equalizer,225
erra,129
ken allen tang,257
ixac,193
gardex,65
gelon,129
fusco,129
b~little,193
el_bardo,25
queen,193
arson (aka mc sweden),97
loz,257
m,33
hjältman,225
ulf,97
nives,129
smashbound,65
miguel,49
oldiz,193
dune,97
sl himura,65
eoe,225
forre,225
dankey kang,129
jibbmil,161
trax,25
otek,65
endeby,65
juinsasuke23,161
lloydder,129
0naughtynaught,161
hacksugar,193
nesstea,225
duffcity,97
oak,193
plastic poptart,25
ludvig4,257
bryggiz,161
rich,225
heketzu,225
kilometros,225
8va,97
pon,225
steve,129
binkie,161
spyroul,97
c-h,193
c.r.z,225
poli,65
air,161
ludderix,193
raggebe,97
lelize,161
smothief,65
greengoblin (gg),225
long0uw,13
scrm,65
ander,129
lentross,33
hylian reaper,129
esyosh,161
rules,129
zartzu,25
maris,161
robo~luigi,13
izaw,9
mr.r,1
mp2,161
hy,129
oneeyedking,129
majinmind,225
bonushat,225
swish,225
deff,161
istudying,2
pilot,161
kesa,17
pride,193
mcguigan,161
tobbeh99,193
bulby,97
jenka,193
sak,129
blue,161
rävx,225
nashi,225
bach,97
hyrusan,193
samio25,225
yee,97
giannis,129
jesteros,97
satco,225
jebu,97
taitsu,129
waluigilicious,129
esam,3
driftqueen,225
riksto,65
rik,97
pq-formeln,97
triumphfork,129
megadean,129
logisticuz,193
ixisnaugus,9
enki,33
whasslightyear,161
patte,257
wobbles,97
joseluisasdfg,65
kweet,49
whoophee,33
willz,65
bakkestaffen,161
bardock,129
dragmire jr,193
smashsk,33
xzx,17
atrox,97
hazemoky,13
boomuki,49
afro smash,49
gongong,129
potatoe,257
guaca,225
badr,33
kanaribird,97
shulkified,97
yoren,33
pixxelated,161
redtwingamer,65
samura1man,49
combox,97
loveandtolerance,193
gijsbeer,65
magnetgoat,97
eddy,25
l-t,257
hansu,97
knug,65
biscuit,97
king funk,97
suntherion,193
awol,257
wackywocky,225
cyve,9
lumia,257
ccst,17
deo,65
dx17,25
mvd,4
wilksy15,5
bambi,225
jamstar 2x,65
yojimbo,161
hoe4u,49
nanite,161
bollefar,97
light,5
sir tauntalot,193
loota,49
chard,65
fiiso,225
snasen,33
bjt,193
calmaty,129
jenzo,129
