P1,P2,set winner,P1Score,P2Score
ludvig4,ferynze,0,2,0
esyosh,raggebe,1,1,2
friendly dps,pangu,1,0,2
raziek,ludvig4,0,2,0
jxblazo,lelize,1,0,2
paoz,tsurugi,1,0,2
fatben,thesmashhusky,0,2,1
killerjawz,raggebe,0,2,0
lirnesu,sirshyguy,1,0,2
| chrisr334,pangu,0,2,0
helmet,mad hattier,1,0,2
raziek,lelize,0,2,0
tsurugi,fatben,0,2,0
killerjawz,sirshyguy,0,2,1
| chrisr334,mad hattier,0,2,0
raziek,tsurugi,0,2,1
killerjawz,| chrisr334,0,2,0
raziek,killerjawz,0,-2,-2
helmet,ferynze,0,2,0
thesmashhusky,esyosh,0,-2,-2
jxblazo,friendly dps,0,2,0
helmet,pangu,0,2,0
lirnesu,raggebe,0,2,0
thesmashhusky,paoz,1,0,2
jxblazo,ludvig4,0,2,1
fatben,helmet,0,2,0
lelize,lirnesu,1,-2,-2
mad hattier,paoz,1,1,2
sirshyguy,jxblazo,0,2,0
fatben,lirnesu,1,1,2
paoz,sirshyguy,1,0,2
| chrisr334,lirnesu,0,2,0
tsurugi,sirshyguy,1,0,2
| chrisr334,sirshyguy,0,-2,-2
logisticuz,ssj,0,2,1
born 2 sd,balboa,1,0,2
aberrant,diva,1,-2,-2
khanage,logisticuz,0,2,0
athena21,giannis,1,0,2
lentross,copernicus,0,2,0
bryggiz,swiffy,0,2,0
meutrich,balboa,0,2,0
zakofae,faddy,0,2,0
whyyz,diva,0,2,0
kenko,theredmage,0,2,0
khanage,giannis,0,2,0
lentross,bryggiz,1,0,2
meutrich,zakofae,0,2,0
whyyz,kenko,1,0,2
khanage,bryggiz,1,1,2
meutrich,kenko,0,2,1
bryggiz,meutrich,0,-2,-2
theredmage,ssj,1,0,2
swiffy,born 2 sd,1,0,2
athena21,aberrant,0,-2,-2
ssj,diva,0,2,1
faddy,balboa,1,0,2
born 2 sd,copernicus,1,0,2
athena21,logisticuz,1,0,2
lentross,ssj,0,2,0
giannis,balboa,1,0,2
whyyz,copernicus,0,2,0
zakofae,logisticuz,0,2,0
lentross,balboa,0,2,0
whyyz,zakofae,0,2,0
kenko,lentross,1,0,2
khanage,whyyz,0,2,0
lentross,khanage,0,-2,-2
mestyo,veghard,1,0,2
magnishen,airfire,0,2,0
tonymalone,dark,1,0,2
j.miller,veghard,0,2,0
cross~up,ziev,1,1,2
ham,falzingz,0,2,0
soreru,lackluster,1,-2,-2
riksto,magnishen,0,2,0
itami,mental,0,2,0
dynastyle,dark,0,2,0
warheart,smeep,0,2,0
j.miller,ziev,0,2,0
ham,lackluster,0,2,0
riksto,itami,0,2,0
dynastyle,warheart,0,2,0
j.miller,ham,0,2,0
riksto,dynastyle,0,2,0
j.miller,riksto,0,-2,-2
smeep,mestyo,0,2,1
soreru,airfire,1,-1,0
cross~up,tonymalone,0,2,0
smeep,dark,1,0,2
mental,magnishen,0,2,0
airfire,falzingz,0,2,0
cross~up,veghard,0,2,0
lackluster,dark,1,0,2
