name,finalPlacement
awesomecake,49
rayes,49
kwelts,65
killion,49
pikapika!,33
belakxvibe,97
yellow,161
atlas,33
iceninja,9
blanc,17
lightwork,9
supercoolieboi,161
stewiegaming,129
pokecheese,49
iliad,25
fraud,161
dude,161
n00b64,161
poke,13
cancer,129
blitz,33
dunston,33
omega cookie,161
nude panda,97
alphicans,9
darkaura,5
butterlord,97
mickel,49
yoh,5
thatoneguy,65
caius oni,129
nanaba,65
mulms,65
sow_scout,129
woodenfence,65
saber,49
dreamm,33
twilt,97
pastecat,97
dergan,129
hero,161
tantaco,25
zekkenzk,129
phillycheeze,25
inferno bop,97
jyrow,129
blush,25
bozzy,65
qsb_fatty,65
kevin wong,17
san,9
synthesis,97
vivanilla,97
dryesman,161
greasywork,129
deathorse,7
deenugget,49
killlock,17
yoh,49
yonks,33
cptbilliau,97
flash,129
angelo,49
big blew,129
aura,97
javi,4
jayc63,65
infinity,13
ben,97
adam,65
nurse,17
oath,97
the drizzle,65
mckboulos,161
crimsonn,97
maz,97
giglfoosm,65
seel,33
4orty,161
hammer,65
blueman,49
bashmo_4,65
mrbawkbagawk,129
sirbeebee,25
motomishi,129
tdob,129
majikku,49
gains,17
abukar_9,65
mew2king,3
leaf,161
tgastt,161
xyro,33
witeoute,97
megel,65
raijin,65
dan ugore,129
louloucore,97
axebee,129
ganlim,129
gillythekid94,161
reaver,49
dayzin,25
_dj_mana_,129
melmuli,65
yinshey,129
mrtn,161
mkleo,1
pjsphil,65
dezmu,97
frupcakes,33
steamyghost,129
[t.t.d] blacktwins13,13
b-millz,97
bladeless,161
jozhear,161
space,13
fazon,65
weiss,65
tina,97
a1sinceday1,33
big bang flash,65
larryn,65
hs,65
exxion,161
memes,97
doctorkayh,65
nombre,129
falgod,33
jibe,17
shadow,33
spasian,65
crunchie,129
windwriter,129
huskygamer,129
br1nk,129
magikboi,97
soul hazard,49
jakat,65
rewind,161
ally,2
junji,97
kuraudo,17
wex,97
mikarugi,129
wubzee,49
slimedigitaltv,129
jords2good,65
frost,161
mox,97
level 3,129
gemigumi,65
mitchyd,129
baddydan,97
hyushi sama,65
goggins,161
qsb_stitches,49
turtleclub,97
truth,25
custo,97
fruitypotato,161
moop,129
yams,129
ninjalink,17
fwed,33
maritlage227,97
devastater,97
alpharam,33
krono,161
young metro,161
dj daaku,97
kryptonian,65
chrim foish,7
zhao_guang,33
ghost,49
onion knight,161
z,25
mdee14,129
express,97
michael krysz,33
deku,65
paso,65
lem0n,97
crash,129
