P1,P2,set winner,P1Score,P2Score
dawne,ep!c,1,-2,-2
takedown53,crohnsplosion,1,-2,-2
dom,burgers,0,-2,-2
sleepwalk,pablo,0,-2,-2
tipdik,maximum jugs,1,-2,-2
footzeez,garrettlamo,0,-2,-2
maverick,blaze,1,-2,-2
electron,casekillacam,0,-2,-2
rupour,ej,0,-2,-2
tkoverkill,pellonian,1,-2,-2
professor oats,dr. copter,0,-2,-2
jbusta,english,0,-2,-2
zero,ep!c,0,-2,-2
crohnsplosion,dom,1,-2,-2
prince ramen,sleepwalk,0,-2,-2
maximum jugs,footzeez,0,-2,-2
acid,blaze,0,-2,-2
electron,rupour,1,-2,-2
dekillsage,pellonian,0,-2,-2
professor oats,jbusta,0,-2,-2
zero,dom,0,-2,-2
prince ramen,maximum jugs,0,-2,-2
acid,rupour,0,-2,-2
dekillsage,professor oats,0,-2,-2
zero,prince ramen,1,-2,-2
acid,dekillsage,1,-2,-2
prince ramen,dekillsage,0,-2,-2
prince ramen,zero,0,-2,-2
takedown53,burgers,1,-2,-2
tipdik,garrettlamo,1,-2,-2
casekillacam,ej,1,-2,-2
dr. copter,english,0,-2,-2
jbusta,dawne,0,-2,-2
pellonian,burgers,0,-2,-2
electron,pablo,0,-2,-2
blaze,garrettlamo,0,-2,-2
footzeez,maverick,1,-2,-2
sleepwalk,ej,1,-2,-2
crohnsplosion,tkoverkill,0,-2,-2
ep!c,dr. copter,0,-2,-2
jbusta,pellonian,1,-2,-2
electron,blaze,0,-2,-2
maverick,ej,1,-2,-2
crohnsplosion,ep!c,1,-2,-2
maximum jugs,pellonian,1,-2,-2
dom,electron,0,-2,-2
professor oats,ej,0,-2,-2
rupour,ep!c,1,-2,-2
pellonian,dom,1,-2,-2
professor oats,ep!c,0,-2,-2
acid,dom,0,-2,-2
zero,professor oats,0,-2,-2
acid,zero,1,-2,-2
dekillsage,zero,1,-2,-2
fayeblood,morpheus,1,-2,-2
mray,snover,0,-2,-2
post,somar52__,1,-2,-2
mizu,roxy,0,-2,-2
tumultus,scepko,0,-2,-2
zeta,chaoslink,0,-2,-2
zillo,weavile493,1,-2,-2
nychee,fieryvale47,0,-2,-2
child,pudd,0,-2,-2
arbeder128,j2,1,-2,-2
perciprius,seraph,1,-2,-2
snakeee,3beautiful5u,0,-2,-2
void,morpheus,0,-2,-2
mray,somar52__,0,-2,-2
shel,mizu,0,-2,-2
tumultus,zeta,0,-2,-2
xaltis,weavile493,0,-2,-2
nychee,child,1,-2,-2
acestarthe3rd,j2,0,-2,-2
seraph,snakeee,1,-2,-2
void,mray,0,-2,-2
shel,tumultus,0,-2,-2
xaltis,child,0,-2,-2
acestarthe3rd,snakeee,0,-2,-2
void,shel,0,-2,-2
xaltis,acestarthe3rd,1,-2,-2
void,acestarthe3rd,0,-2,-2
void,xaltis,0,-2,-2
snover,post,0,-2,-2
