P1,P2,set winner,P1Score,P2Score
burnside,ram,1,-2,-2
snax,windwaker,0,-2,-2
zee,dut,0,-2,-2
konga,shadow,0,-2,-2
gammaspark,professor eucalyptus,0,-2,-2
el yoshi,che,0,-2,-2
thegamekirby,chriscross,0,-2,-2
ally,ram,0,-2,-2
snax,zee,1,-2,-2
konga,gammaspark,0,-2,-2
el yoshi,thegamekirby,0,-2,-2
ally,zee,0,-2,-2
konga,el yoshi,0,-2,-2
ally,konga,0,-2,-2
windwaker,dut,0,-2,-2
shadow,professor eucalyptus,0,-2,-2
che,chriscross,0,-2,-2
thegamekirby,burnside,0,-2,-2
gammaspark,windwaker,1,-2,-2
snax,shadow,0,-2,-2
ram,che,0,-2,-2
thegamekirby,windwaker,0,-2,-2
snax,ram,0,-2,-2
zee,thegamekirby,0,-2,-2
el yoshi,snax,0,-2,-2
zee,el yoshi,0,-2,-2
konga,zee,0,-2,-2
m-10,ebola,0,-2,-2
rick,mr. destructo,0,-2,-2
bigdaddy,starman7,0,-2,-2
twi,bestrin,1,-2,-2
diago,retro,0,-2,-2
muse,link-182,0,-2,-2
nebz,lilith,0,-2,-2
abadango,m-10,0,-2,-2
rick,bigdaddy,0,-2,-2
bestrin,diago,1,-2,-2
muse,nebz,0,-2,-2
abadango,rick,0,-2,-2
diago,muse,1,-2,-2
abadango,muse,0,-2,-2
mr. destructo,starman7,0,-2,-2
twi,retro,0,-2,-2
link-182,lilith,0,-2,-2
nebz,ebola,0,-2,-2
bestrin,mr. destructo,1,-2,-2
bigdaddy,twi,1,-2,-2
m-10,link-182,1,-2,-2
nebz,mr. destructo,1,-2,-2
twi,link-182,0,-2,-2
rick,mr. destructo,0,-2,-2
diago,twi,0,-2,-2
rick,diago,1,-2,-2
muse,diago,0,-2,-2
sonic7474,bam,1,-2,-2
rosac,thelastartist,0,-2,-2
duothefighter,rapid,0,-2,-2
weegee,pkay,0,-2,-2
shadowhawk,rainuva,1,-2,-2
avoid,jar14,0,-2,-2
nyhita,gamagamefreak,0,-2,-2
6wx,bam,0,-2,-2
rosac,duothefighter,0,-2,-2
weegee,rainuva,0,-2,-2
avoid,nyhita,0,-2,-2
