name,finalPlacement
wvm,129
raidenkurosaki,129
sparkbeat,129
exm,65
legit247,65
jlaw2k16,129
mgr,97
kripthirteen,65
techaman,97
exodia,3
ninetales,129
amaru,129
lingo,129
maryu,193
dailo,97
magister,17
dynamov,129
thomas the legend,97
danye,129
mommy,97
skanadron,129
debuto,65
abra,65
gotenks,129
derpydtw,97
frog,129
aleph,129
toxic zane,193
chaboijc,129
locke,7
titan,97
ketsu,129
etudedude,49
truemain,33
king,33
firefly,25
espeon•ch,13
yolo!!!!!,65
big d,5
deci,9
rcs_jr,13
cb,129
champion_slug,129
arán,193
frogge,129
bluezy,97
ponitoss,65
evan,129
hueva,49
legendary jay,25
tstapp,49
dr. robotnik,33
faith,129
mothra,129
duwang,17
the problem,129
braixen,17
zerango,25
omen,97
momo,97
spark,193
snickeldorf,65
pryde,49
boin,193
redblade,129
qphex,97
coco,97
idgas,129
sloth?,97
puppetmasterg,65
j^2,97
noii,129
konga,2
kavon,129
angis,193
shen,129
purplestuff,129
kyros,129
thundercat,25
topaz,129
jolt,97
professor x,65
m2,65
hungrybox,33
dongopolis,129
lars_beleren,97
tamashasmash,129
blazer,193
mr. scooty,49
fenrir,129
shiny,49
technikoopa,97
hellraid,33
g~man, the cosmic destroyer,25
tootsie,97
volke,129
otto,129
lex,97
4eyez95,129
manta,65
linden,33
a wild chan,49
juicypeach,129
bishly,33
spamcop,65
mxsfit,97
dln,65
kantrip,49
typhoon,129
masai,13
t-roy,49
mika,65
nikkinanka,49
ta-kun,65
mata,33
mr.worldwide,129
callidor,97
sandman,25
bewp,97
html,129
dkwill,1
unclesatan,97
sk,65
kemba,65
ita,33
koder,129
innae,129
nightfury1969,129
silentrain,25
ironblayde,129
rogue,193
leo,129
pferschaw,65
aveean,65
camata,65
pleiades,193
tote,129
sid,129
md4,97
agias,25
coffeehamster,129
purfectroony,49
pyreeze,17
shadowmarth-jtw,65
slam jammington,33
m2cain,129
tbird,129
len,7
boricuaak,49
captain l,5
coda,97
tss,129
zach,97
mvd,4
esam,9
ruff!,17
p. guraldon,129
kila,49
mordio,129
good loser chaz,97
haelst,129
snowman,33
fedvsrafa,33
egg,129
fuzzio,65
aimd,65
biggymouth,97
joker2012,129
pandarian,13
zantetsu,129
watdafox,65
chao,97
staples,97
yope,33
tcby?,65
copper,129
glen koko,65
mcwaffles,129
@chaddrawsthings,65
shinkou,9
ybd,129
dair,129
tipster,33
jacana,97
reboot,33
scruffy,129
bestness,17
focus,9
jitio,65
funcrazyfish,17
kazak,17
ro,65
haunter,129
sass,65
pokalink,49
hook,129
bleggaman,49
coolguy,97
s3npai,33
bongo,65
vulpes,49
