P1,P2,set winner,P1Score,P2Score
hal_9000,siggen,0,2,0
atrox,dvid,0,2,0
mr.r,siggen,0,2,0
hal_9000,atrox,1,1,2
mr.r,dvid,0,2,0
siggen,atrox,1,0,2
mr.r,atrox,0,2,0
dvid,hal_9000,1,0,2
mr.r,hal_9000,0,2,0
dvid,siggen,0,2,0
istudying,tun,0,2,0
koji,elefantkrakk,0,2,0
thymeballoon,metanoia,0,2,1
istudying,elefantkrakk,0,2,0
tun,metanoia,1,0,2
koji,thymeballoon,1,1,2
istudying,metanoia,0,2,0
elefantkrakk,thymeballoon,1,0,2
tun,koji,1,0,2
istudying,thymeballoon,0,2,1
metanoia,koji,1,0,2
elefantkrakk,tun,1,0,2
istudying,koji,0,2,0
thymeballoon,tun,0,2,0
metanoia,elefantkrakk,0,2,0
noqqysc,splarfie,0,2,0
lirnesu,liron,0,2,0
ixisnaugus,splarfie,0,2,0
noqqysc,lirnesu,0,2,1
ixisnaugus,liron,0,2,0
splarfie,lirnesu,1,0,2
ixisnaugus,lirnesu,0,2,0
liron,noqqysc,1,0,2
ixisnaugus,noqqysc,0,2,1
liron,splarfie,0,2,1
jibbmil,leg senpai,1,0,2
ricko,friendly dps,0,2,0
sodrek,leg senpai,0,2,0
jibbmil,ricko,1,0,2
sodrek,friendly dps,0,2,0
leg senpai,ricko,1,0,2
sodrek,ricko,0,2,0
friendly dps,jibbmil,0,2,0
sodrek,jibbmil,0,2,0
friendly dps,leg senpai,1,0,2
nanite,proxer,0,2,0
quasi,dinner,0,2,0
c.r.z,proxer,0,2,0
nanite,quasi,1,1,2
c.r.z,dinner,0,2,0
proxer,quasi,1,0,2
c.r.z,quasi,0,2,1
dinner,nanite,1,0,2
c.r.z,nanite,0,2,0
dinner,proxer,0,2,1
zplatter,the legendary food,0,2,0
k2dh,fiby,0,2,0
whoophee,the legendary food,0,2,0
zplatter,k2dh,0,2,0
whoophee,fiby,0,2,0
the legendary food,k2dh,1,0,2
whoophee,k2dh,0,2,0
fiby,zplatter,1,0,2
whoophee,zplatter,0,2,0
fiby,the legendary food,0,2,1
wiiase,gamebandit,0,2,0
dragmire jr,redlime,0,2,1
poopmaister6000,pad,0,2,0
wiiase,redlime,0,2,0
gamebandit,pad,1,1,2
dragmire jr,poopmaister6000,1,1,2
wiiase,pad,0,2,0
redlime,poopmaister6000,1,1,2
gamebandit,dragmire jr,1,1,2
wiiase,poopmaister6000,0,2,0
pad,dragmire jr,0,2,1
redlime,gamebandit,1,1,2
wiiase,dragmire jr,0,2,0
poopmaister6000,gamebandit,0,2,0
pad,redlime,1,0,2
fat pepol,losviken,0,2,0
fisk,haukon,0,2,0
izaw,losviken,0,2,0
fat pepol,fisk,0,2,0
izaw,haukon,0,2,0
losviken,fisk,1,0,2
izaw,fisk,0,2,0
haukon,fat pepol,1,0,2
izaw,fat pepol,0,2,0
haukon,losviken,0,2,0
gregs,isaia,0,2,0
sadman,tsondere,0,2,1
spyroul,pilot,0,2,0
gregs,tsondere,0,2,0
isaia,pilot,1,0,2
sadman,spyroul,1,0,2
gregs,pilot,0,2,0
tsondere,spyroul,1,0,2
isaia,sadman,1,0,2
gregs,spyroul,0,2,0
pilot,sadman,1,1,2
tsondere,isaia,0,2,0
gregs,sadman,0,2,0
spyroul,isaia,0,2,0
pilot,tsondere,0,2,0
badr,terbilux,0,2,0
pact,jiichan,0,2,0
jumper!,g3,0,2,1
badr,jiichan,0,2,0
terbilux,g3,1,0,2
pact,jumper!,1,1,2
badr,g3,0,2,0
jiichan,jumper!,1,0,2
terbilux,pact,1,1,2
badr,jumper!,0,2,0
g3,pact,1,1,2
jiichan,terbilux,0,2,0
badr,pact,0,2,0
jumper!,terbilux,0,2,0
g3,jiichan,0,2,0
frenzy,sky,0,2,0
mental,revilox,0,2,0
smashsk,sky,0,2,0
frenzy,mental,0,2,0
smashsk,revilox,0,2,0
sky,mental,1,1,2
smashsk,mental,0,2,0
revilox,frenzy,1,1,2
smashsk,frenzy,0,2,0
revilox,sky,0,2,1
scarlet,tiberius,0,2,1
sak,pangu,1,1,2
m,tiberius,0,2,0
scarlet,sak,0,2,0
m,pangu,0,2,0
tiberius,sak,0,2,0
m,sak,0,2,0
pangu,scarlet,1,0,2
m,scarlet,0,2,0
pangu,tiberius,1,0,2
suntherion,jurgemaister,0,0,-1
baselard,kasparno,0,2,1
snasen,jurgemaister,0,0,-1
suntherion,baselard,0,2,0
snasen,kasparno,0,2,0
jurgemaister,baselard,1,-1,0
snasen,baselard,0,2,0
kasparno,suntherion,1,0,2
snasen,suntherion,0,2,1
kasparno,jurgemaister,0,0,-1
alias,pews,0,2,0
wosic,alcadeias,0,2,0
grøten,z,0,2,0
alias,alcadeias,0,2,0
pews,z,1,0,2
wosic,grøten,0,2,0
alias,z,0,2,0
alcadeias,grøten,1,0,2
pews,wosic,1,0,2
alias,grøten,0,2,0
z,wosic,1,0,2
alcadeias,pews,1,1,2
alias,wosic,0,2,0
grøten,pews,0,2,0
z,alcadeias,1,1,2
teluoborg,geekodot,0,2,0
bach,taclite,0,2,0
riksto,geekodot,0,2,0
teluoborg,bach,0,2,0
riksto,taclite,0,2,0
geekodot,bach,1,0,2
riksto,bach,0,2,0
taclite,teluoborg,1,0,2
riksto,teluoborg,0,2,0
taclite,geekodot,0,2,0
zora,terrorcheese,0,2,0
captainjack,dw,0,2,0
deo,terrorcheese,0,2,0
zora,captainjack,0,2,0
deo,dw,0,2,0
terrorcheese,captainjack,1,0,2
deo,captainjack,0,2,0
dw,zora,1,0,2
deo,zora,0,2,0
dw,terrorcheese,0,2,0
vesp,nillen20,0,2,0
hompaz,pz,0,2,0
rekzius,nillen20,0,2,0
vesp,hompaz,0,2,1
rekzius,pz,0,2,0
nillen20,hompaz,1,0,2
rekzius,hompaz,0,2,1
pz,vesp,0,2,0
rekzius,vesp,0,2,0
pz,nillen20,0,2,0
jebu,scorpio kiddo,0,2,0
shing,ace,0,2,0
awesomebee,nintendork,0,2,0
jebu,ace,0,2,0
scorpio kiddo,nintendork,0,2,0
shing,awesomebee,1,0,2
jebu,nintendork,0,2,1
ace,awesomebee,1,0,2
