P1,P2,set winner,P1Score,P2Score
jacob,kyzon xin,0,2,1
umeki,jacob,0,2,0
jayford,maiko,1,1,2
mcdareth,kwan,0,2,0
kenny5d,dankrai,0,2,0
dan,kinda,0,2,0
dr.fish,kuraudo,1,0,2
kirinblaze,trustmeimblack,0,2,0
crimsonzen,tokyokami,1,0,2
umeki,maiko,0,2,0
mcdareth,kenny5d,0,2,0
dan,kuraudo,1,0,2
kirinblaze,tokyokami,1,1,2
umeki,mcdareth,0,2,0
kuraudo,tokyokami,0,2,1
umeki,kuraudo,0,2,0
crimsonzen,kyzon xin,1,0,2
kyzon xin,trustmeimblack,0,2,0
dr.fish,kinda,1,0,2
dankrai,kwan,1,0,2
jayford,jacob,1,0,2
kenny5d,kyzon xin,1,0,2
maiko,kinda,1,0,2
kirinblaze,kwan,0,2,1
dan,jacob,0,2,0
kyzon xin,kinda,1,0,2
kirinblaze,dan,1,0,2
tokyokami,kinda,0,2,0
mcdareth,dan,1,0,2
tokyokami,dan,1,0,2
kuraudo,dan,0,-2,-2
enemis,g~man, the cosmic destroyer,1,0,2
ryo,g~man, the cosmic destroyer,0,2,0
5000candlesinthewind,ssj,1,0,2
socalgohan,chomo,0,2,0
roukiske,nosus,0,2,0
imhip,staz,0,2,0
snorlaxplox,atomsk,1,0,2
ixisnaugus,missile,0,2,0
moog,genjijodu,0,2,0
ryo,ssj,0,2,0
socalgohan,roukiske,0,2,0
imhip,atomsk,0,2,0
ixisnaugus,moog,0,2,0
ryo,socalgohan,0,2,0
imhip,ixisnaugus,0,2,1
ryo,imhip,0,2,0
genjijodu,enemis,0,2,0
genjijodu,missile,1,0,2
snorlaxplox,staz,1,1,2
nosus,chomo,1,-2,-2
5000candlesinthewind,g~man, the cosmic destroyer,1,-2,-2
roukiske,missile,1,0,2
ssj,staz,1,0,2
moog,chomo,1,1,2
atomsk,g~man, the cosmic destroyer,0,2,0
missile,staz,1,0,2
chomo,atomsk,1,0,2
ixisnaugus,staz,0,2,0
socalgohan,atomsk,1,0,2
ixisnaugus,atomsk,0,2,1
imhip,ixisnaugus,0,-2,-2
tss,suprsanic,0,2,0
zero,tss,0,2,0
blazed chumpi,mellow dragon,1,0,2
raiot,fenntheweaboo,0,2,0
iron_vasquez,edd,1,0,2
sk92,skyboundterror,0,2,0
witchcraft,dq1,0,0,-1
the moon,cbkreme,1,-1,0
sarcasm,arikie,1,0,2
zero,mellow dragon,0,2,0
raiot,edd,1,0,2
sk92,witchcraft,0,2,0
cbkreme,arikie,1,0,2
zero,edd,0,2,0
sk92,arikie,0,2,0
zero,sk92,0,-2,-2
sarcasm,suprsanic,0,2,0
sarcasm,the moon,0,2,0
dq1,skyboundterror,1,-1,0
iron_vasquez,fenntheweaboo,0,2,0
blazed chumpi,tss,1,0,2
raiot,sarcasm,1,0,2
mellow dragon,skyboundterror,0,2,0
cbkreme,iron_vasquez,1,0,2
witchcraft,tss,1,0,2
sarcasm,mellow dragon,1,1,2
iron_vasquez,tss,1,1,2
arikie,mellow dragon,1,0,2
edd,tss,1,0,2
mellow dragon,tss,1,0,2
sk92,tss,0,-2,-2
theperfectmix,kantrip,1,-2,-2
raptor,kantrip,0,-2,-2
x,lavi,0,-2,-2
nyani,bayes,0,-2,-2
crilles,420_stryker,0,-2,-2
akiro,ashikabi,0,-2,-2
jumper j,valkore,1,-2,-2
nyx,blurryface,0,-2,-2
