name,finalPlacement
kelso,513
gonzaloren,769
pewpewu,513
~2qu!k~,257
ss,65
mjg,65
taptap,769
day,65
weegee,193
ahhhhhhhhh,769
tearbear,33
sexystaph,769
steelsburg,257
toronto joe,193
steven,1025
damedge,769
magnadx,257
sonicrida,513
charger,193
ikd!,769
teo,513
tokyokami,193
nightmare,769
goomba,257
akito555,513
phenom,65
pastor,385
shiro,513
dep,769
jamnt0ast,193
switch,769
shiny,193
rockmix,513
blurryface,769
stami,257
old$,1025
keitaro,129
sharkskeepmoving,769
trainerjuanssb,513
owsla,513
esam,13
ja3,193
nitromannitol,385
crackle,257
edlose,513
jjrockets,97
xhyrri,513
pod,257
antacumbo,1025
blitz,385
hydroxy,769
arikie,257
aznodt,1025
scamp,385
theshwiz,513
d-tek,769
cardinal,257
heartsdealer,257
tyson,513
frozn,257
icenine,769
kevster,1025
sauce,513
misterq,385
sycko,513
slither2hunter,129
quancentrate,769
jaaahsh,193
echobo,513
nonexistentdad,513
firefly,129
thellamagod,769
captain l,49
future,257
valkore,513
big d,49
phoenixzero,769
lanuigi,513
gpik,193
spiderivas,513
sylvee,1025
yuxminato,513
2scoops thehomie,385
disqobunny,769
poisonhealth,769
had0uken!,385
bun,1025
splargh,257
vidal,513
kash kash,769
bask 3xa,65
frogo,769
lars,769
not last,65
vayseth,513
dice,513
sammy-jack,513
dr. fuego,513
csymph,513
focus,193
villain,97
maddju5t1n,385
kantrip,129
limit,385
endei,513
misterrquentin,129
yoshibro1,513
mojo joe,769
shadefizzle,769
brzl,513
kdash,769
horse,385
lil'dippper,769
scourge,385
pk nik,769
jaice,129
vermillion,257
lord sturm,513
risai,257
kingbowser,769
qt chococrow,769
zeppelin,385
scourgemom,97
matx,769
deathbat,385
marvel,513
qt chibi,385
angel cortes,33
monster_,769
lynx,513
5000candlesinthewind,769
ashikabi,769
khan,513
t1mmy,385
fire,193
accelzero,513
sf citi,193
gloomy,385
bigmac,769
shofu,129
lycan,129
brodo,513
d00ditsmarc,769
sharktoast,769
keios,513
athena21,513
alphicans,129
froge,513
crapple,769
crimsonzen,1025
fuze,769
pickles_md,1025
dom,513
bid,513
primeus,769
sfw crits,385
nostocks,385
mickey,513
mcdareth,257
moog,513
tg,257
incurredwrath,769
vonsilvermoon,129
cbkreme,513
navi,257
taiko,513
glitchbird,257
1up amigo,769
nomad,193
psiguy,769
~fade,513
bliss,257
zekey,1025
diaper,769
hazystalebread,769
relic,257
sabzi,193
mageofsymphonia,257
remioli,513
vik-g,769
glitch,1025
count,385
biddy,257
cdub,769
tweek,33
cookie,193
jazara,1025
ozai,513
rollock,769
false,49
uncle onion,513
mf space,513
cacogen,17
vexx,257
zaza,1025
2manycooks,129
goronix,513
et l eking,97
pairoducks,257
solati,257
bphan,385
crazy,385
abcactus,769
magmar,513
probeans,129
aphro,129
skubtard,513
focast,257
mr. doom,129
rage,513
davey,769
k0rean,129
flawed,385
fmax,769
mr freeman,1025
ic,97
zfly,513
codytappen,769
sin,385
choochoo,769
beast,257
pink fresh,97
spud,769
kinda,257
zenyou,129
cosmit,769
glory blaze,513
rymo,769
piilevin,257
tvdonk,1025
seagull joe,33
nitn,193
thatoneotherdude,193
hashbrown,769
volf,385
andy_sauro,257
hoffman,385
draquaza,129
jago,513
ctrl,513
eldon,769
mattman,257
arcfire42,513
whiskeywolf,769
soulbrotheruno,385
pump magic,513
mojoe,193
shamsy,257
reslived,1025
nursemaid,769
rich brown,65
das,257
chibo,97
ghostboy,769
