P1,P2,set winner,P1Score,P2Score
thedogs55,umi,1,0,2
magic,purplelumps,1,1,2
smittyboytellem,marko,0,2,0
ariel,umi,0,2,0
ariel,purplelumps,0,2,0
ariel,smittyboytellem,0,2,0
ariel,xyrohip,1,0,2
killion,purplelumps,0,2,0
killion,smittyboytellem,0,2,0
killion,ionpunk,0,2,0
jerm,thedogs55,0,2,0
jerm,gold,0,2,0
jerm,xyrohip,0,-2,-2
jerm,falgod,0,2,1
gold,umi,0,2,1
gold,smittyboytellem,1,1,2
xyrohip,killion,0,2,0
xyrohip,marko,0,2,0
xyrohip,falgod,0,2,0
ionpunk,magic,1,0,2
falgod,ariel,0,2,0
falgod,killion,0,2,0
falgod,devil,0,2,0
devil,purplelumps,1,0,2
nairo,magic,0,2,0
nairo,jerm,0,2,0
nairo,xyrohip,0,2,0
prismoid,6-2-6,0,2,1
bugdoctor,halaa,0,2,1
coontail,storm,1,0,2
jbones,randumb,0,2,0
baddydan,hammer,0,2,0
hungrybox,mec,1,-1,0
jp3,the d,0,2,0
ally,prismoid,0,2,0
bugdoctor,storm,1,0,2
jbones,baddydan,0,2,0
mec,jp3,1,1,2
ally,storm,0,2,0
jbones,jp3,0,2,0
ally,jbones,0,2,0
halaa,coontail,1,0,2
randumb,hammer,1,0,2
hungrybox,the d,1,-1,0
mec,6-2-6,0,2,0
baddydan,coontail,1,0,2
bugdoctor,hammer,0,2,0
prismoid,the d,0,2,0
mec,coontail,1,0,2
bugdoctor,prismoid,0,2,0
storm,coontail,0,2,0
jp3,bugdoctor,1,0,2
storm,bugdoctor,1,0,2
jbones,bugdoctor,0,-2,-2
kuyakix,fastfoodjesus,1,0,2
blueman,doggyness,0,2,0
solardeathflame,nd,0,2,1
artryuu,evmaster,0,2,0
arix,pryzdial:),0,2,0
jibe,tofu,1,1,2
so phat,cj39,0,2,1
mr.r,fastfoodjesus,0,2,0
blueman,solardeathflame,0,2,0
artryuu,arix,0,2,0
tofu,so phat,0,2,0
mr.r,blueman,0,2,0
artryuu,tofu,1,1,2
mr.r,tofu,0,2,0
doggyness,nd,0,2,0
evmaster,pryzdial:),0,2,0
jibe,cj39,0,2,0
so phat,kuyakix,1,0,2
arix,doggyness,0,2,1
solardeathflame,evmaster,0,2,1
fastfoodjesus,jibe,1,0,2
kuyakix,arix,1,0,2
solardeathflame,jibe,1,1,2
blueman,arix,0,2,0
artryuu,jibe,0,2,1
blueman,artryuu,1,0,2
tofu,artryuu,0,-2,-2
baloo,fuzzio,1,0,2
iliad,clam,0,0,-1
mourin,henroidz,1,1,2
darkwolf,gamebooadvance,0,2,0
thefaised,goldark,0,2,0
stewy,rip chillin,1,-1,0
chiko,euthanasio,0,2,1
larry lurr,fuzzio,0,2,0
iliad,henroidz,0,2,0
darkwolf,thefaised,0,2,0
rip chillin,chiko,1,-1,0
larry lurr,iliad,0,2,0
