P1,P2,set winner,P1Score,P2Score
the feels,don,1,0,2
jbandit,salamander,0,0,-1
bill nye,insomniac,0,2,1
tm87,jaeger,1,0,2
dsf,playz,0,2,1
ninja,dnaman,0,2,0
fredrrs,slmko,0,2,0
replay,shadow5594,1,1,2
protom,spider,0,2,1
jaku,lemontea,0,2,1
okami,dak,0,0,-1
kgp the 3rd,nioret,1,1,2
gilgamesh,skuza,0,0,-1
zero,don,0,2,0
jbandit,bill nye,1,1,2
jaeger,dsf,0,2,1
ninja,fredrrs,0,2,0
koolaid,shadow5594,1,1,2
protom,jaku,1,0,2
lag chaos,okami,0,2,0
nioret,gilgamesh,0,2,0
zero,bill nye,0,2,0
jaeger,ninja,1,0,2
shadow5594,jaku,1,1,2
lag chaos,nioret,0,0,-1
zero,ninja,0,2,0
jaku,lag chaos,1,0,2
zero,lag chaos,0,2,0
salamander,insomniac,1,-1,0
tm87,playz,0,2,1
dnaman,slmko,0,2,0
spider,lemontea,1,1,2
kgp the 3rd,skuza,0,0,-1
gilgamesh,the feels,1,1,2
okami,insomniac,1,0,2
protom,tm87,0,2,0
koolaid,dnaman,0,2,0
fredrrs,replay,1,0,2
dsf,lemontea,0,2,1
jbandit,dak,0,0,-1
don,kgp the 3rd,0,2,1
the feels,insomniac,1,1,2
protom,koolaid,1,0,2
replay,dsf,1,1,2
jbandit,don,1,0,2
jaeger,insomniac,0,2,0
bill nye,koolaid,1,0,2
nioret,dsf,1,-1,0
shadow5594,don,0,2,1
jaeger,koolaid,1,1,2
dsf,shadow5594,0,2,1
jaku,koolaid,1,0,2
ninja,dsf,0,2,0
koolaid,ninja,0,2,0
lag chaos,koolaid,0,-2,-2
chavo,crunchii,0,2,0
lexya,chapter,0,2,0
pika nick,bobo,0,2,0
biddy,duckfro,0,2,0
koi,sam0s,1,0,2
ntbd,hound,0,2,0
air gordon,slugking,0,2,0
jaygo,rayramono,0,2,0
gumpis,botch,0,2,0
h2_c0al,extra-o,0,2,0
loofa,timber,0,2,0
dici,jettset,0,2,0
deployment,aww8badges,1,0,2
dabuz,chavo,0,2,0
lexya,pika nick,1,0,2
biddy,sam0s,0,2,0
ntbd,air gordon,0,2,0
raffi-x,jaygo,0,2,0
gumpis,h2_c0al,1,0,2
vivid,loofa,0,2,0
dici,aww8badges,0,2,0
dabuz,pika nick,0,2,0
biddy,ntbd,0,2,0
raffi-x,h2_c0al,0,2,0
vivid,dici,0,2,0
dabuz,biddy,0,2,0
raffi-x,vivid,0,2,0
dabuz,raffi-x,0,2,0
chapter,bobo,0,2,0
duckfro,koi,0,2,0
hound,slugking,0,2,0
botch,extra-o,1,0,2
jettset,deployment,1,0,2
aww8badges,crunchii,0,2,0
loofa,chapter,0,2,0
gumpis,duckfro,0,2,0
jaygo,hound,0,2,0
air gordon,rayramono,0,2,0
sam0s,extra-o,1,0,2
lexya,timber,1,-2,-2
chavo,deployment,0,-2,-2
aww8badges,loofa,0,-2,-2
gumpis,jaygo,1,-2,-2
air gordon,extra-o,1,0,2
timber,chavo,1,-2,-2
ntbd,aww8badges,0,-2,-2
pika nick,jaygo,1,-2,-2
dici,extra-o,0,-2,-2
h2_c0al,chavo,1,-2,-2
ntbd,jaygo,0,-2,-2
dici,chavo,1,-2,-2
vivid,ntbd,0,-2,-2
biddy,chavo,1,-2,-2
vivid,chavo,0,-2,-2
raffi-x,vivid,0,-2,-2
goobs,haven,1,-1,0
pazda,catastrophe,0,2,0
barsthejourney,neko,0,2,0
tokyo,lanthion,0,0,-1
gamejitsu,fail?,1,0,2
grunk,click,1,0,2
jackal,mercify,0,0,-1
h3x,vaevoe,0,2,1
tmpr,pain,0,2,0
battlesnail,firenero,0,2,0
mmsky,venivici,1,0,2
