P1,P2,set winner,P1Score,P2Score
mathias,cyan can,1,-2,-2
nicklepeeps,zora,0,-2,-2
arma,shulk mk. 1,0,-2,-2
jd,mjora,0,-2,-2
esam,cyan can,0,-2,-2
passion,toomuchdog,0,-2,-2
anarchy,nicklepeeps,1,-2,-2
miiself,la chancla,0,-2,-2
king lucy iv,arma,1,-2,-2
jerm,devine,0,-2,-2
muse,jd,0,-2,-2
deadlyw,rapid,1,-2,-2
esam,passion,0,-2,-2
nicklepeeps,miiself,1,-2,-2
arma,jerm,0,-2,-2
muse,rapid,0,-2,-2
esam,miiself,1,-2,-2
arma,muse,1,-2,-2
miiself,muse,1,-2,-2
deadlyw,mathias,1,-2,-2
devine,zora,1,-2,-2
la chancla,shulk mk. 1,1,-2,-2
toomuchdog,mjora,1,-2,-2
mathias,jd,1,-2,-2
zora,king lucy iv,0,-2,-2
shulk mk. 1,anarchy,1,-2,-2
mjora,cyan can,1,-2,-2
nicklepeeps,jd,0,-2,-2
passion,zora,1,-2,-2
rapid,anarchy,1,-2,-2
jerm,cyan can,1,-2,-2
nicklepeeps,zora,0,-2,-2
anarchy,cyan can,1,-2,-2
arma,nicklepeeps,1,-2,-2
esam,cyan can,0,-2,-2
nicklepeeps,esam,1,-2,-2
miiself,esam,0,-2,-2
nomad,ethene,1,-2,-2
carai,stix,1,-2,-2
cephalopod,rave,1,-2,-2
stix,level 1 cpu,0,-2,-2
stix,ethene,1,-2,-2
level 1 cpu,johalter,0,-2,-2
rave,red,0,-2,-2
rave,sozo,0,-2,-2
ethene,danbi,1,-2,-2
ethene,cub,0,-2,-2
ethene,cletus,0,-2,-2
dj_not_nice,carai,1,-2,-2
dj_not_nice,zepplen,1,-2,-2
dj_not_nice,steveritt,0,-2,-2
red,steveritt,0,-2,-2
blue,nomad,0,-2,-2
blue,johalter,0,-2,-2
blue,cletus,1,-2,-2
sozo,zepplen,1,-2,-2
danbi,rave,0,-2,-2
danbi,cletus,0,-2,-2
calmanimal,carai,0,-2,-2
calmanimal,ethene,0,-2,-2
calmanimal,danbi,0,-2,-2
calmanimal,zepplen,0,-2,-2
sm4sh kidd,stix,1,-2,-2
zero,level 1 cpu,0,-2,-2
zero,danbi,0,-2,-2
zero,calmanimal,0,-2,-2
zero,halves,0,-2,-2
cub,red,0,-2,-2
cub,blue,0,-2,-2
cub,danbi,1,-2,-2
cub,halves,0,-2,-2
zepplen,cephalopod,0,-2,-2
halves,sm4sh kidd,0,-2,-2
halves,zepplen,0,-2,-2
cletus,stix,0,-2,-2
cletus,rave,0,-2,-2
hlg ghey,utb,0,-2,-2
nyx,y.b.t.,0,-2,-2
halqery,obscurica,0,-2,-2
buddha,4skin,1,-2,-2
big moist,absoltastic,1,-2,-2
nairo,hlg ghey,0,-2,-2
tygre,mike-d,1,-2,-2
r2d3,nyx,1,-2,-2
nicole,halqery,0,-2,-2
slaps,4skin,1,-2,-2
liege maximo,dark angel,0,-2,-2
gyo,absoltastic,0,-2,-2
chippy,lilnest,1,-2,-2
nairo,mike-d,0,-2,-2
nyx,nicole,0,-2,-2
4skin,liege maximo,1,-2,-2
gyo,lilnest,0,-2,-2
nairo,nyx,0,-2,-2
liege maximo,gyo,1,-2,-2
nairo,gyo,0,-2,-2
chippy,utb,1,-2,-2
dark angel,y.b.t.,1,-2,-2
slaps,obscurica,0,-2,-2
halqery,buddha,1,-2,-2
tygre,big moist,1,-2,-2
utb,absoltastic,0,-2,-2
y.b.t.,slaps,1,-2,-2
buddha,r2d3,0,-2,-2
big moist,hlg ghey,1,-2,-2
nicole,utb,1,-2,-2
mike-d,slaps,1,-2,-2
lilnest,buddha,0,-2,-2
4skin,hlg ghey,1,-2,-2
utb,slaps,1,-2,-2
lilnest,hlg ghey,1,-2,-2
liege maximo,slaps,1,-2,-2
