name,finalPlacement
keisthebeast,65
fanalis,193
forsaken,97
groovy,193
jabes,193
serris,129
nem,257
managomous,257
volt,129
danereich,49
storm,193
yeti,17
wumbo,49
dom,97
verb,129
odis,193
geno,129
101silverstreak,193
jswiss,97
joe barrels,193
technology,65
sells,65
warhound,129
ridlr,129
dan,33
caiusred,129
skcomet,97
crash,129
stylo.ren,129
rickles,33
midnight,65
coolcat,193
jig,97
flipper,129
foxy,193
everance,257
clerk,193
conscience,257
jump,193
powpow,65
soronajo,97
ksev,49
wiseman,193
jibca,129
rich brown,5
| tloreo,49
damit,129
seth,25
slowjoe,33
ravenking,65
tyrant,4
weztagonist,193
sorey,257
sree,33
anonymous moniker,33
e-serpent,129
r3dbandit,193
syphir,97
jbrockpony,193
kicker,193
dwn4thekaz,129
rektangles,129
percy,25
vike,129
parmasean,257
8 inches,97
lfa,193
grikslona,97
duff,257
lustair,129
pyrose,193
doom bot,49
devinchi,65
tacbac,129
crimepoop,193
freeziepop,257
smasher1001,33
platty,129
razor,97
dukel,129
sexychu,97
sinnyboo242,17
2slaps,129
sofa king,129
ninjarick,65
deus,97
quilly,65
zephyr,129
seashells,129
quasar,193
ant2blu,129
dr~s,65
privatequantum,257
mjg,9
lordwhoopa$$,129
zone,193
yoomoo,97
butter,65
mister eric,17
jayforce,97
big_mak,33
trufin,193
spooks mcdog,257
jay no gafs,193
nom,33
udi,97
demitus,65
k9sbruce,9
craftercentury,193
starbasedfruit,193
zenyou,9
luckywind,33
division,257
shinjoebi,25
bushi,17
trap,193
squiggs,193
duckduckpony,193
bsquared,97
amaterasu,129
very freezer,65
amiiboking313,97
godofgrunts,193
rockyluna,193
seabass,97
theconcertguru,129
advo,65
rin,97
pikachow,129
jjrockets,33
profound,65
xyless,97
xiivi,65
jester,129
rzi,65
restivethought,97
clarke,193
tastycomawife,97
boscotty,65
akiro,65
juneau,193
eightfold path h-man,33
jimmy,33
bugcatcherwill,49
drkblaze,193
lildot_org,257
zinoto,1
giganterra,129
trivium,49
sheen,49
nerdlorddd,257
xane,7
komota,49
naoto,193
svp,65
synth,193
ò,129
mystearica,25
james,2
pendragon,65
zan,193
gearwhipped,193
propain,129
slenderman,65
chrispy,97
caveboy,129
acnupp,257
schwa,193
blind,129
quappo,193
captainzack,5
i-d-0,129
dmx,65
shadow,257
jdb!,33
withinar,25
jaaahsh,65
snoofl,65
benson obama,49
steininja,97
treeborn,129
kam steele,49
onikasian,193
blackwing,129
ateozc,129
colinies,49
nite,17
panda bair,17
saiyaman,129
chompy,97
equin0x,49
gael,193
gne renegade,129
lordquas,257
bubba,193
richer,129
player1,257
biddy,17
hoodie,129
tyroy,9
ally,7
perpetuallink,193
sethsational,25
sai,49
mk. iii,257
riluu,257
trainer red,129
nero,25
mentos,193
ouroboros,193
zora,129
the butt rumbler,129
ecnebanjo,65
cylent,97
lemmay,129
cookietic,33
kief,257
elegant,3
walrus,193
russky,129
napkins,65
toad king,97
mick,193
rennie,193
shana,129
hotnredy,129
gigante,193
daedalus,129
rojan,129
kal el,129
truth,97
bt-mac,129
kropso jr.,193
beto.tox,257
jtdunx,49
mellow,257
gamefreak,193
royeric,257
purin~,129
darkshad,13
ml nick,129
hydra,65
invasian,257
jyro,257
jojo,33
imperial,257
braxton8,49
zed,257
salad,193
ssjb,193
ctrl-x,193
syco,25
hien,97
archie,129
nestec,97
johnny,257
sunseeds,97
tigerboi,129
lrig,193
allo,129
unibrownies,129
poyo,193
aarvark,13
thrayn,193
atata,33
daybreak,97
atm,193
keetz,65
sun,193
crashgear,129
pengwin,129
blue_flavored,65
flashfire,193
wayne,193
shel,17
axmay,193
pk thor,129
ozone,13
rc tyco,257
mr. postman,129
ned,13
cilvanis,65
aqua,193
moard,65
trouble,193
