P1,P2,set winner,P1Score,P2Score
esam,vinnie,0,-2,-2
esam,jbandrew,1,1,3
esam,sassy,0,3,2
nakat,anti,0,-2,-2
nakat,dakpo,0,3,2
nakat,mjg,0,3,2
mew2king,esam,1,2,3
zero,mew2king,0,3,2
zero,fow,0,-2,-2
zero,denti,0,3,0
bc,speedy,0,3,0
wizzrobe,phenom,0,3,2
fow,wizzrobe,0,3,2
fow,vinnie,0,-2,-2
vinnie,karna,0,-2,-2
vinnie,mjg,0,3,0
anti,kj,0,-2,-2
anti,megafox,0,3,0
void,nakat,0,-2,-2
void,karna,0,3,2
void,jbandrew,0,-2,-2
karna,weegee,0,-2,-2
dakpo,karna,1,0,3
dakpo,xyro,0,3,1
mjg,bc,0,3,1
mjg,wizzrobe,0,3,0
tesh,nitez,0,3,0
kj,mikeffect,0,-2,-2
phenom,hakii,0,3,0
mvd,mew2king,1,-2,-2
mvd,kj,1,2,3
denti,mikeffect,1,1,3
jbandrew,anti,0,3,1
logic,mikeffect,1,2,3
megafox,esam,1,-2,-2
megafox,tesh,0,-2,-2
weegee,dredream,0,3,0
hero of winds,kj,1,0,3
xyro,phantasm,0,3,0
ryze,sassy,1,1,3
jbandrew,bc,0,0,-1
anti,tesh,0,0,-1
void,xyro,0,0,-1
esam,hero of winds,0,0,-1
karna,logic,0,0,-1
mvd,weegee,0,0,-1
megafox,ryze,0,0,-1
wizzrobe,phenom,0,0,-1
denti,hakii,0,0,-1
mjg,sassy,0,0,-1
mew2king,dredream,0,0,-1
fow,mikeffect,0,0,-1
dakpo,kj,0,0,-1
zero,phantasm,0,0,-1
vinnie,nitez,0,0,-1
nakat,speedy,0,0,-1
jbandrew,anti,0,-2,-2
void,esam,0,-2,-2
karna,mvd,0,-2,-2
megafox,wizzrobe,0,-2,-2
denti,mjg,0,-2,-2
mew2king,fow,0,-2,-2
dakpo,zero,0,-2,-2
vinnie,nakat,0,-2,-2
bc,tesh,0,-2,-2
xyro,hero of winds,0,-2,-2
logic,weegee,0,-2,-2
ryze,phenom,0,-2,-2
hakii,sassy,0,-2,-2
dredream,mikeffect,0,-2,-2
kj,phantasm,0,-2,-2
nitez,speedy,0,-2,-2
zero,fow,0,3,1
jbandrew,void,1,1,3
zero,void,0,3,0
zero,void,0,3,1
nakat,anti,1,1,3
esam,vinnie,1,1,3
fow,anti,0,3,1
jbandrew,vinnie,1,2,3
fow,vinnie,1,0,3
void,vinnie,0,3,1
