name,finalPlacement
phenom,17
mvd,17
king,None
s.o.s.,None
ryze,25
denti,17
jbandrew,5
logic,25
shofu,None
megafox,13
the wall,None
zero,1
weegee,17
dmbrandon,None
speedy,25
mikeffect,13
hero of winds,25
xyro,17
ajani aubrey,None
hakii,25
sassy,17
bc,None
chris guzman,None
ethan richmond,None
arc,None
bradley curcio,None
phantasm,25
haris khan,None
allan sanchez,None
alec padilla mendez,None
bc,17
wizzrobe,13
fow,4
vinnie,3
sebastian alarcon,None
anti,5
void,2
dredream,25
nitez,25
karna,9
dakpo,13
shadow1pj,None
esam,7
nakat,7
karma,None
mjg,9
mew2king,9
tesh,17
kj,9
