P1,P2,set winner,P1Score,P2Score
nairo,red cap,0,2,0
pike,babycakes,0,2,0
nature,blank,0,2,0
nepfur,g jay,0,2,1
saj,jmod,0,2,0
azen zagenite,bees?,1,0,2
sethsational,royal;v.,0,2,0
eldo,lt.jondou?,1,0,2
nairo,pike,0,2,0
nature,nepfur,1,1,2
saj,bees?,0,2,0
sethsational,lt.jondou?,0,2,0
nairo,nepfur,0,2,0
saj,sethsational,0,2,1
nairo,saj,1,1,2
red cap,babycakes,1,0,2
blank,g jay,1,1,2
jmod,azen zagenite,0,2,0
royal;v.,eldo,0,2,0
lt.jondou?,babycakes,0,2,1
bees?,g jay,1,0,2
nature,jmod,0,2,0
pike,royal;v.,0,2,0
lt.jondou?,g jay,1,0,2
nature,pike,1,0,2
nepfur,g jay,0,2,0
sethsational,pike,0,2,0
nepfur,sethsational,1,0,2
nairo,sethsational,0,-2,-2
marss,pochilin,0,2,0
kobra,ra,1,0,2
rupee,kth,1,1,2
dux,masculinebasculin,0,2,0
amsa,gear2nd,0,2,0
saltyjuice,kuma,1,0,2
kirinblaze,kyo,1,0,2
golstan,flightless,0,2,0
marss,ra,0,2,0
kth,dux,0,2,0
amsa,kuma,0,2,1
kyo,golstan,0,2,0
marss,kth,0,2,0
amsa,kyo,0,2,0
marss,amsa,0,2,1
pochilin,kobra,0,2,0
rupee,masculinebasculin,0,2,0
gear2nd,saltyjuice,0,2,0
kirinblaze,flightless,0,2,0
golstan,pochilin,0,2,1
kuma,rupee,0,2,1
dux,gear2nd,0,2,0
ra,kirinblaze,0,2,0
golstan,kuma,1,0,2
dux,ra,0,2,0
kth,kuma,1,0,2
kyo,dux,1,0,2
kuma,dux,0,2,0
amsa,kuma,0,-2,-2
tweek,shaden,0,2,0
pancake mix.,skwiggs,1,1,2
mr.ii,dfish,0,2,0
meatle,techknowledgey,0,2,0
techei,ojama,0,2,0
nuke,srg,1,-1,0
naut,machocheeze,1,0,2
rex,chaoslink,0,0,-1
tweek,skwiggs,0,2,0
mr.ii,meatle,0,2,0
techei,srg,0,2,0
machocheeze,rex,0,2,0
tweek,mr.ii,0,2,1
techei,machocheeze,0,2,0
tweek,techei,0,2,0
shaden,pancake mix.,1,0,2
dfish,techknowledgey,1,0,2
ojama,nuke,0,0,-1
naut,chaoslink,0,0,-1
rex,pancake mix.,1,0,2
srg,techknowledgey,1,0,2
meatle,ojama,0,2,0
skwiggs,naut,1,1,2
pancake mix.,techknowledgey,0,2,0
meatle,naut,1,0,2
mr.ii,pancake mix.,0,2,0
machocheeze,naut,1,0,2
mr.ii,naut,0,2,0
