P1,P2,set winner,P1Score,P2Score
scraggus,rurrin,1,-2,-2
lemonefresh,mcloud,0,-2,-2
baby!,hap(e),0,-2,-2
ftfal,nuts4nuts4nuts,0,-2,-2
gigex,lordjosh2,1,-2,-2
pilgrim,terminatortyler,0,-2,-2
moe,supertnt,0,-2,-2
zero,rurrin,0,-2,-2
lemonefresh,baby!,1,-2,-2
ftfal,lordjosh2,0,-2,-2
pilgrim,moe,0,-2,-2
zero,baby!,0,-2,-2
ftfal,pilgrim,1,-2,-2
zero,pilgrim,0,-2,-2
mcloud,hap(e),1,-2,-2
nuts4nuts4nuts,gigex,1,-2,-2
terminatortyler,supertnt,1,-2,-2
moe,scraggus,0,-2,-2
lordjosh2,hap(e),1,-2,-2
lemonefresh,gigex,0,-2,-2
rurrin,supertnt,1,-2,-2
moe,hap(e),1,-2,-2
lemonefresh,supertnt,0,-2,-2
baby!,hap(e),0,-2,-2
ftfal,lemonefresh,0,-2,-2
baby!,ftfal,0,-2,-2
ace,spenji,1,-1,0
eton,kraken,0,-2,-2
crimson,sml~jolten,0,-2,-2
dtd,lettuce,0,-2,-2
buck,overdrive,1,-2,-2
neko,fantm,0,-2,-2
godx,gz,0,-2,-2
larry lurr,spenji,0,-2,-2
eton,crimson,0,-2,-2
dtd,overdrive,0,-2,-2
neko,godx,0,-2,-2
larry lurr,eton,0,-2,-2
dtd,neko,0,-2,-2
larry lurr,dtd,0,-2,-2
kraken,sml~jolten,0,-2,-2
lettuce,buck,1,-2,-2
fantm,gz,1,-2,-2
godx,ace,0,-2,-2
overdrive,kraken,1,-2,-2
crimson,buck,0,-2,-2
spenji,gz,1,-2,-2
godx,kraken,0,-2,-2
crimson,gz,1,-2,-2
eton,godx,0,-2,-2
neko,gz,0,-2,-2
eton,neko,0,-2,-2
duster,9,1,-2,-2
1337,minty,0,-2,-2
srocky,buckoben,0,-2,-2
tsage,king_tut,0,-2,-2
lord skitty,goombalaya,1,-2,-2
pwnagepolice,20xx,0,-2,-2
shiftybadger,daxin,1,-1,0
anti,9,0,-2,-2
1337,srocky,0,-2,-2
tsage,goombalaya,0,-2,-2
pwnagepolice,daxin,0,-2,-2
anti,1337,0,-2,-2
tsage,pwnagepolice,1,-2,-2
anti,pwnagepolice,0,-2,-2
minty,buckoben,1,-2,-2
king_tut,lord skitty,0,-2,-2
20xx,shiftybadger,0,0,-1
daxin,duster,1,-2,-2
goombalaya,buckoben,0,-2,-2
srocky,king_tut,0,-2,-2
9,20xx,0,-2,-2
duster,goombalaya,1,-2,-2
srocky,9,1,-2,-2
1337,goombalaya,0,-2,-2
tsage,9,0,-2,-2
1337,tsage,0,-2,-2
marss,j2,0,-2,-2
chambo,azurezephyr,1,-2,-2
8njay,dobbybonovan,0,-2,-2
juggernaut,zakhomies,0,-2,-2
darkaura,spoons,0,-2,-2
wraith,1up,0,-2,-2
maverix,depsyfer,0,-2,-2
kevin,geoscyl,1,-2,-2
marss,azurezephyr,0,-2,-2
8njay,juggernaut,1,-2,-2
darkaura,wraith,1,-2,-2
maverix,geoscyl,0,-2,-2
marss,juggernaut,0,-2,-2
wraith,maverix,0,-2,-2
marss,wraith,0,-2,-2
j2,chambo,0,-2,-2
dobbybonovan,zakhomies,1,-2,-2
spoons,1up,1,-2,-2
depsyfer,kevin,0,-2,-2
geoscyl,j2,1,-2,-2
darkaura,zakhomies,0,-2,-2
8njay,1up,1,-2,-2
azurezephyr,depsyfer,0,-2,-2
j2,darkaura,1,-2,-2
1up,azurezephyr,1,-2,-2
juggernaut,darkaura,1,-2,-2
maverix,azurezephyr,0,-2,-2
darkaura,maverix,0,-2,-2
nordecai,gameunderground,0,-2,-2
bobbywasabi,imjk,0,-2,-2
mino,cravate,1,-2,-2
siccarius,zorro,0,-2,-2
poison,btex,0,-2,-2
dreadfighter,lim,0,-2,-2
coda,gibbs,0,-2,-2
6wx,nordecai,0,-2,-2
bobbywasabi,cravate,0,-2,-2
siccarius,poison,0,-2,-2
dreadfighter,coda,0,-2,-2
6wx,bobbywasabi,0,-2,-2
siccarius,dreadfighter,0,-2,-2
6wx,siccarius,0,-2,-2
imjk,mino,1,-2,-2
zorro,btex,0,-2,-2
lim,gibbs,0,-2,-2
coda,gameunderground,0,-2,-2
poison,mino,0,-2,-2
cravate,zorro,1,-2,-2
nordecai,lim,1,-2,-2
coda,poison,1,-2,-2
zorro,lim,0,-2,-2
bobbywasabi,poison,0,-2,-2
dreadfighter,zorro,1,-2,-2
bobbywasabi,zorro,0,-2,-2
lucia,nico,1,-2,-2
mech d.,darner,1,-2,-2
