name,finalPlacement
king,21
jukes//,81
ash,1
greg,None
calvin,241
fence,241
royal,None
santa,81
808,2
xanafer,41
mocha,161
nibbynibbynub,None
blix,161
toast,241
srocky,41
rose,241
blackzork,1
osophy,81
mal,161
esid,241
harambe,241
nos,321
cashew,161
loins,81
nova,21
lim,241
lordjosh2,81
ben123dx,41
firewing,61
opivy,21
thenewkanye,161
buck,21
oreo,241
valciar,None
yume,None
baby!,None
virgalicious,1
perrin,121
porter,241
law,161
waga,121
mooglechao,21
gooby,None
dreamz,41
lord skitty,41
ralon,81
oblomkov,161
zigludo,61
kracez,81
maverix,None
slugking,None
ruffian,21
avenue,2
gooley,161
supertnt,1
8njay,161
danius,41
sin,161
overdrive,21
pizzainacup,61
fredrrs,1
hap(e),61
paradox,81
hex,41
larock,161
z3y,241
mystyc,41
clayballs,321
nigel_thornberry,121
willy will,21
j2,121
16bitboy,61
buckoben,161
corasaur,161
sml~jolten,81
goombalaya,1
leavescat,21
chi,21
æon,None
sauce,1
kuma,None
playz,241
77,21
franysaurus,81
20xx,61
greatscot!,None
azazel,121
terminatortyler,161
redxdemon,121
lettuce,121
hart,1
mike4real,161
dobbybonovan,241
archduke,41
gimpy,161
sam,241
1up,81
doeboy,2
glare,None
w0lf,241
clipboards,121
furguzo,61
heavyarms,61
gansama,41
robd,1
fumofuu,241
spacejam,81
doolittle,161
eggbert,1
obgyn,241
zkbk,241
starbasedfruit,None
mom?,241
captain q,None
akemi,41
mr. escalator,None
swerve,241
ricecake,None
fiercetaint,None
fang,1
duster,1
failz,21
burst,2
ketts,161
shulk level 9,None
ameba,121
ambisinister,241
big g,1
kapped,121
g jay,None
kurse,81
marcelo,241
king_tut,61
dio,161
suar,1
mtn du,41
zakhomies,161
redrobtata,241
siren,81
cmk,None
ion,161
krisp,21
chambo,81
nert,121
nuggetz,None
x,61
season,81
jobbo,121
crimock,121
jnaut,241
dan,21
nooch milk hotel,61
marcelo,161
wario level 9,None
b34r,241
thefoof,241
mugwump3d,161
sethraichu,81
fence123,61
skib,1
never,1
pu55yk1ng,61
magikboy16,241
dr.liam,161
kiri,41
bobbywasabi,None
soro,None
macd,41
sloth,None
wizdorf,None
pilgrim,None
socco,241
rooky,2
rei,21
hybrid,21
rhk,1
kingkirby,161
blitxen,241
fliinchy,161
2a4t,161
reminae,None
art,241
dr.pr.tilt,41
pph,241
aerialace,1
sigma,61
jamis,241
kaiser,81
outkast,161
crimson,21
zeno,241
nidas,81
eggles,121
mino,41
novamatt,161
shurfyne,None
ishboo,241
halshere,81
dole,41
dark gentleman,None
lemonefresh,1
kirocuto,81
ionthekid,None
geno,161
smdymek,121
rasen,41
e-man,161
slingshot,81
soniccynics,81
dysfunkti0nal,241
jerry,21
iceunleashed,1
gp2,121
moe,21
imjk,241
provokedseven,41
sabrereaper,161
bonerstorm,81
rurrin,81
wiigee,121
galactic,41
playitloud,21
geoscyl,241
skulltown,81
slurmp,241
shyguy,2
