name,finalPlacement
carls493,65
dingus,65
blaze,97
toon viral,97
bb,65
division,97
noble,97
smasher1001,25
ronin x,33
the bowz,17
daybreak,25
regralht,49
waddle,129
ozone,33
exjordanary,33
emperor eevee,33
miloni,25
ori,65
kider,65
sethsational,17
runes,49
jjrockets,17
blade,65
jkbuk,65
lourich,33
iyb 9 1 1,97
nick,65
colinies,49
ally,3
dkdudeman,49
fromundaman,65
jackzander,97
creation,49
jcav,49
big_mak,33
constable lemon,65
icymist,7
dan,17
fiend,97
categhetti,33
whit,97
food,97
crusticus,97
mav,33
the butt rumbler,65
marss,5
prime,129
apollo,65
darkshad,7
people's champ batman,33
daddy's kisses,97
pugwest,9
duckduckpony,65
bullrush70,65
nom,33
the great gonzales,9
daedalus,129
scooter388,65
true blue,33
mericablue,65
porkchop,97
remzi,17
elsnerc3,97
drdn,97
ned,13
shinooby,65
uno,129
loe1,17
4cjoe,49
mrscoot,65
nen,65
pierce,65
cheesecake,65
joe barrels,49
kenta,49
bill nye the samus guy,49
llany,49
max ketchum,25
xane,25
regnilla,97
genericallynamed,97
shinobibeat,97
e-serpent,33
zinoto,5
dark racer,65
hawk,33
linus,33
chukles,65
advo,25
nero,13
snoofl,33
rubygrube,65
jppthegreat,97
naoto,25
jose queervo,65
serge,49
mac attk,65
demitus,17
bubbles,97
dyr,4
ghostdad'sson,97
bearseal,65
new main,97
kman,25
[t.t.d] blacktwins13,13
gallyg,97
riyoxas,97
seth,9
blitz,65
mkleo,1
mr. r,2
day,17
oh-nos,97
mdragon,65
gumbolaya,65
jayjayjay,49
lemon-lime,65
dath,13
meatbeef,33
blacktactiks,49
luvin,97
ryuga,97
parallelrust,97
jawsome,129
slenderman,49
dayman,129
meow,65
volt,97
immortal,97
nickriddle,9
truckerchu,97
camel,49
zestytofu,97
spyopz,97
