P1,P2,set winner,P1Score,P2Score
knubs.,tydye,0,2,0
umbreoff_,doctor chopper,0,2,0
blackwing,~ramenlnumerals~,0,2,0
blaze,juice,0,2,0
zero,tydye,0,2,0
knubs.,~ramenlnumerals~,0,2,1
umbreoff_,juice,0,2,1
blackwing,blaze,0,2,1
zero,doctor chopper,0,2,0
tydye,~ramenlnumerals~,1,0,2
knubs.,blaze,0,2,0
umbreoff_,blackwing,0,2,1
zero,~ramenlnumerals~,0,2,0
doctor chopper,juice,0,2,0
tydye,blaze,1,1,2
knubs.,umbreoff_,0,2,1
zero,juice,0,2,0
~ramenlnumerals~,blaze,0,2,1
doctor chopper,blackwing,1,0,2
tydye,umbreoff_,1,0,2
zero,blaze,0,2,0
juice,blackwing,1,0,2
~ramenlnumerals~,umbreoff_,1,0,2
doctor chopper,knubs.,1,0,2
zero,blackwing,0,2,0
blaze,umbreoff_,0,2,0
juice,knubs.,1,0,2
doctor chopper,tydye,1,1,2
zero,umbreoff_,0,2,0
blackwing,knubs.,0,2,1
juice,tydye,0,2,0
~ramenlnumerals~,doctor chopper,0,2,0
zero,knubs.,0,2,0
blackwing,tydye,0,2,0
blaze,doctor chopper,0,2,0
juice,~ramenlnumerals~,1,0,2
gnox,pewpew2,0,0,-1
xyless,thewildflame,0,2,0
amerikev,infernospark,0,2,0
effervescent,coxbox,1,-1,0
ally,pewpew2,0,0,-1
gnox,infernospark,0,2,0
xyless,coxbox,0,2,1
amerikev,effervescent,0,0,-1
ally,thewildflame,0,2,0
pewpew2,infernospark,1,-1,0
gnox,effervescent,0,0,-1
xyless,amerikev,0,2,1
ally,infernospark,0,2,0
thewildflame,coxbox,1,1,2
pewpew2,effervescent,0,0,-1
gnox,xyless,1,1,2
ally,coxbox,0,2,0
infernospark,effervescent,0,0,-1
thewildflame,amerikev,1,0,2
pewpew2,xyless,1,-1,0
ally,effervescent,0,0,-1
coxbox,amerikev,1,0,2
infernospark,xyless,1,0,2
thewildflame,gnox,1,0,2
ally,amerikev,0,2,0
effervescent,xyless,1,-1,0
coxbox,gnox,1,0,2
thewildflame,pewpew2,0,0,-1
ally,xyless,0,2,1
amerikev,gnox,1,0,2
coxbox,pewpew2,0,0,-1
infernospark,thewildflame,0,2,0
ally,gnox,0,2,0
amerikev,pewpew2,0,0,-1
effervescent,thewildflame,1,-1,0
coxbox,infernospark,0,2,1
fons,giggles,0,2,0
lord sturm,dankness,0,2,1
neech,sun,0,2,0
shonic,puck,1,0,2
zinoto,giggles,0,2,0
fons,sun,0,2,0
lord sturm,puck,0,2,1
neech,shonic,0,2,0
zinoto,dankness,0,2,0
giggles,sun,0,2,0
fons,shonic,0,2,0
lord sturm,neech,0,2,0
zinoto,sun,0,2,0
dankness,puck,1,1,2
giggles,shonic,0,2,0
fons,lord sturm,0,2,1
zinoto,puck,0,2,0
sun,shonic,0,2,0
dankness,neech,1,1,2
giggles,lord sturm,1,0,2
zinoto,shonic,0,2,0
puck,neech,0,2,1
sun,lord sturm,1,0,2
dankness,fons,1,0,2
zinoto,neech,0,2,0
shonic,lord sturm,1,0,2
puck,fons,1,0,2
dankness,giggles,0,2,0
zinoto,lord sturm,0,2,0
neech,fons,1,0,2
puck,giggles,0,2,0
sun,dankness,1,0,2
zinoto,fons,0,2,0
neech,giggles,1,0,2
shonic,dankness,1,0,2
puck,sun,0,2,1
abadango,trevor,0,0,-1
rin,4chanjoe,0,2,1
pazuzu,raphy,1,0,2
kenny g,bt-mac,1,-1,0
abadango,4chanjoe,0,2,0
trevor,raphy,1,-1,0
rin,bt-mac,0,2,1
pazuzu,kenny g,0,0,-1
abadango,raphy,0,2,0
4chanjoe,bt-mac,0,2,1
trevor,kenny g,1,-1,0
rin,pazuzu,0,2,0
abadango,bt-mac,0,2,0
raphy,kenny g,0,0,-1
4chanjoe,pazuzu,0,2,0
trevor,rin,1,-1,0
abadango,kenny g,0,0,-1
bt-mac,pazuzu,0,2,0
raphy,rin,1,0,2
4chanjoe,trevor,0,0,-1
abadango,pazuzu,0,2,0
kenny g,rin,1,-1,0
bt-mac,trevor,0,0,-1
raphy,4chanjoe,1,0,2
abadango,rin,0,2,0
pazuzu,trevor,0,0,-1
kenny g,4chanjoe,1,-1,0
bt-mac,raphy,0,2,1
mew2king,verin,0,2,0
q.e.d.,suicidalplaydoh,1,1,2
hello,jojohnson,0,2,0
mr. fail,fishguts,0,2,0
mew2king,suicidalplaydoh,0,2,0
verin,jojohnson,0,2,0
q.e.d.,fishguts,0,2,0
hello,mr. fail,0,2,1
mew2king,jojohnson,0,2,0
suicidalplaydoh,fishguts,0,2,0
verin,mr. fail,0,2,0
q.e.d.,hello,0,2,0
mew2king,fishguts,0,2,0
jojohnson,mr. fail,1,0,2
suicidalplaydoh,hello,1,0,2
verin,q.e.d.,0,2,1
mew2king,mr. fail,0,2,0
fishguts,hello,1,0,2
jojohnson,q.e.d.,1,0,2
suicidalplaydoh,verin,1,0,2
mew2king,hello,0,2,0
mr. fail,q.e.d.,1,0,2
fishguts,verin,1,0,2
jojohnson,suicidalplaydoh,1,1,2
mew2king,q.e.d.,0,2,0
hello,verin,1,1,2
mr. fail,suicidalplaydoh,1,1,2
fishguts,jojohnson,0,2,1
tyroy,pablo,0,2,1
lightningcam,bab,0,2,0
1n,dash,0,0,-1
d4,shulkman,1,-1,0
tyroy,bab,0,2,0
pablo,dash,0,0,-1
lightningcam,shulkman,0,2,0
1n,d4,0,0,-1
tyroy,dash,0,0,-1
bab,shulkman,1,1,2
pablo,d4,0,0,-1
lightningcam,1n,0,2,0
tyroy,shulkman,0,2,0
dash,d4,0,0,-1
bab,1n,1,0,2
pablo,lightningcam,1,0,2
tyroy,d4,0,0,-1
shulkman,1n,1,0,2
dash,lightningcam,1,-1,0
bab,pablo,1,0,2
tyroy,1n,0,2,0
d4,lightningcam,1,-1,0
shulkman,pablo,1,0,2
dash,bab,1,-1,0
tyroy,lightningcam,1,1,2
1n,pablo,0,2,1
d4,bab,1,-1,0
shulkman,dash,0,0,-1
jjrockets,chock.0,0,2,0
jswiss,rev,0,0,-1
bayless,ikey,0,2,1
nekonyancer,tuck,0,0,-1
jjrockets,rev,0,0,-1
chock.0,ikey,1,0,2
jswiss,tuck,0,0,-1
bayless,nekonyancer,0,2,0
jjrockets,ikey,0,2,0
rev,tuck,0,0,-1
chock.0,nekonyancer,1,0,2
jswiss,bayless,0,2,0
jjrockets,tuck,0,0,-1
ikey,nekonyancer,0,2,0
rev,bayless,1,-1,0
chock.0,jswiss,1,0,2
jjrockets,nekonyancer,0,2,0
tuck,bayless,1,-1,0
ikey,jswiss,0,2,1
rev,chock.0,1,-1,0
jjrockets,bayless,0,2,0
nekonyancer,jswiss,1,0,2
tuck,chock.0,1,-1,0
ikey,rev,0,0,-1
jjrockets,jswiss,0,2,0
bayless,chock.0,0,2,0
nekonyancer,rev,0,0,-1
tuck,ikey,1,-1,0
nite,cruz,0,2,0
coney,detamir,0,2,0
ori,quada,1,1,2
plinywaves,syrup,0,0,-1
nite,detamir,0,2,0
cruz,quada,1,0,2
coney,syrup,0,0,-1
ori,plinywaves,0,2,0
nite,quada,0,2,0
detamir,syrup,0,0,-1
cruz,plinywaves,1,1,2
coney,ori,0,2,0
nite,syrup,0,0,-1
quada,plinywaves,0,2,0
detamir,ori,1,0,2
cruz,coney,1,0,2
nite,plinywaves,0,2,0
syrup,ori,1,-1,0
quada,coney,1,0,2
detamir,cruz,1,0,2
nite,ori,0,2,0
plinywaves,coney,1,0,2
syrup,cruz,1,-1,0
quada,detamir,0,2,0
nite,coney,0,2,1
ori,cruz,0,2,0
plinywaves,detamir,1,1,2
syrup,quada,1,-1,0
asflash,xiivi,1,0,2
asflash,embre,1,1,2
asflash,jbecker14,0,2,0
danereich,asflash,0,2,1
danereich,xiivi,0,2,0
danereich,embre,0,2,0
danereich,wack?,0,2,0
mjg,asflash,0,2,0
mjg,danereich,0,2,0
mjg,marx,0,2,0
mjg,zenpb,0,2,1
mjg,xiivi,0,2,0
mjg,embre,0,2,0
mjg,jbecker14,0,2,0
mjg,wack?,0,2,0
marx,asflash,1,1,2
marx,danereich,1,0,2
marx,zenpb,1,0,2
marx,wack?,0,2,0
zenpb,asflash,1,0,2
zenpb,danereich,1,0,2
zenpb,embre,0,2,0
zenpb,wack?,0,2,0
xiivi,marx,0,2,0
xiivi,zenpb,1,0,2
xiivi,jbecker14,0,2,0
embre,marx,1,0,2
embre,xiivi,1,0,2
embre,jbecker14,1,0,2
jbecker14,danereich,1,0,2
jbecker14,marx,1,0,2
jbecker14,zenpb,1,0,2
jbecker14,wack?,0,2,1
wack?,asflash,1,1,2
wack?,xiivi,1,0,2
wack?,embre,1,1,2
dakpo,thesurfingpikachu,0,2,0
shevy,jmorg,0,2,0
novavurse,trippybutter,0,2,0
bluedanes,nscyte,0,2,1
dakpo,jmorg,1,1,2
thesurfingpikachu,trippybutter,1,0,2
shevy,nscyte,0,2,0
novavurse,bluedanes,0,2,1
dakpo,trippybutter,0,2,0
jmorg,nscyte,0,2,0
thesurfingpikachu,bluedanes,1,0,2
shevy,novavurse,0,2,0
dakpo,nscyte,0,2,0
trippybutter,bluedanes,0,2,0
jmorg,novavurse,1,0,2
thesurfingpikachu,shevy,1,0,2
dakpo,bluedanes,0,2,1
nscyte,novavurse,1,0,2
trippybutter,shevy,1,0,2
jmorg,thesurfingpikachu,0,2,1
dakpo,novavurse,0,2,0
bluedanes,shevy,1,0,2
nscyte,thesurfingpikachu,0,2,0
trippybutter,jmorg,1,0,2
dakpo,shevy,0,2,0
novavurse,thesurfingpikachu,0,2,0
bluedanes,jmorg,0,2,0
nscyte,trippybutter,1,1,2
ned,bagledad,0,2,0
mic,[cc] caffeine,0,2,0
tm4,uutch,0,2,0
warm penguin,atomsk,0,0,-1
ned,[cc] caffeine,0,2,0
bagledad,uutch,1,0,2
mic,atomsk,0,0,-1
tm4,warm penguin,0,2,0
ned,uutch,0,2,0
[cc] caffeine,atomsk,0,0,-1
bagledad,warm penguin,1,0,2
mic,tm4,1,1,2
ned,atomsk,0,0,-1
uutch,warm penguin,0,2,0
[cc] caffeine,tm4,1,0,2
bagledad,mic,1,0,2
ned,warm penguin,0,2,0
atomsk,tm4,1,-1,0
uutch,mic,1,1,2
[cc] caffeine,bagledad,1,1,2
ned,tm4,0,2,0
warm penguin,mic,1,0,2
atomsk,bagledad,1,-1,0
uutch,[cc] caffeine,0,2,0
ned,mic,0,2,0
tm4,bagledad,0,2,0
warm penguin,[cc] caffeine,1,1,2
atomsk,uutch,1,-1,0
dan,slenderman,0,2,0
dexter,narr,0,2,0
flashfire,mcpimp,0,2,0
crocatillian,bighairyfart,0,0,-1
dan,narr,0,2,0
slenderman,mcpimp,0,2,0
dexter,bighairyfart,0,0,-1
flashfire,crocatillian,0,2,0
dan,mcpimp,0,2,0
narr,bighairyfart,0,0,-1
slenderman,crocatillian,0,2,0
dexter,flashfire,0,2,1
dan,bighairyfart,0,0,-1
mcpimp,crocatillian,0,2,1
narr,flashfire,1,0,2
slenderman,dexter,1,0,2
dan,crocatillian,0,2,0
bighairyfart,flashfire,1,-1,0
mcpimp,dexter,1,0,2
narr,slenderman,1,0,2
dan,flashfire,0,2,0
crocatillian,dexter,1,0,2
bighairyfart,slenderman,1,-1,0
mcpimp,narr,1,0,2
dan,dexter,0,2,0
flashfire,slenderman,0,2,0
crocatillian,narr,0,2,1
bighairyfart,mcpimp,1,-1,0
triple r,sapphire,0,0,-1
kappy,tusk,0,2,0
raynoire,henomura,0,0,-1
kicker,bsquared,1,0,2
triple r,tusk,0,2,0
sapphire,henomura,1,-1,0
kappy,bsquared,0,2,0
raynoire,kicker,0,2,0
triple r,henomura,0,0,-1
tusk,bsquared,1,0,2
sapphire,kicker,1,-1,0
kappy,raynoire,1,1,2
triple r,bsquared,0,2,0
henomura,kicker,1,-1,0
tusk,raynoire,0,2,0
sapphire,kappy,1,-1,0
triple r,kicker,0,2,0
bsquared,raynoire,1,1,2
henomura,kappy,1,-1,0
tusk,sapphire,0,0,-1
triple r,raynoire,0,2,0
kicker,kappy,1,0,2
bsquared,sapphire,0,0,-1
henomura,tusk,1,-1,0
triple r,kappy,0,2,0
raynoire,sapphire,0,0,-1
kicker,tusk,1,1,2
