name,finalPlacement
1n,65
amerikev,97
coxbox,129
dakpo,9
strawbaby,161
lightningcam,33
rex,129
naoto,13
firephase,161
sfat,225
gnox,49
kider,65
ned,3
mekk,193
hello,97
zenpb,65
tuck,225
jrod,193
thesurfingpikachu,225
suicidalplaydoh,129
deku,25
hamalak,225
duckduckpony,65
craftercentury,193
wack?,257
noob,225
zidico,33
raphy,129
camel,161
kwaz,65
shulkman,129
ori,97
cintolinto,161
flashfire,65
hotdogknight!,65
sacred panda,161
nite,9
coffee™,225
uutch,97
~ramenlnumerals~,161
lvl10,129
xiivi,97
0g3rl0rd,97
zinoto,4
ravenking,97
giggles,193
flyingmelons,161
dionysus,49
cstick,65
yass2queen,161
cruz,129
blitz,65
laughinzombie,161
vizionary,161
dankness,129
rektangles,129
liberation,65
raynoire,65
pablo,97
kphadley,97
blaze,129
marx,161
cuscus,161
eggy,161
powpow,17
kicker,161
hoenn,25
mixwell,225
bolt!,129
d4,225
yellowdot,97
sheen,33
amiiboking313,49
lobby,193
alphamew,97
jmorg,97
ally,1
quada,65
bab,161
anonymous moniker,25
thursday,161
suitedkirby,161
bt-mac,97
sun,225
blacktactiks,129
based ren,17
drkblaze,129
bagledad,193
asflash,129
nightmoves,129
bigtuna,193
rapayus,129
sinnyboo242,65
z2g,33
buffoon,65
syrup,225
mic,65
shel,7
kief,129
effervescent,257
spankyj,33
xyless,49
verin,65
ramjam,225
rev,193
dan,17
boscotty,9
fons,13
coney,25
twothumbs,65
granabananame,161
prophet,17
chrim foish,17
phobos,97
dirtcruncher,225
abadango,5
triple r,13
incognomen,161
dash,193
bigrig,33
di king,33
chrispy,49
mew2king,5
leafeon523,193
ikey,33
puck,97
megalex,225
zstorm,225
lord sturm,25
mcpimp,193
cobalt,97
[cc] caffeine,161
mr. fail,161
pgd,161
psi-guy,65
henomura,193
shevy,25
kenny g,193
marshall,65
aquatics,33
fishguts,193
runaway,97
psi,97
knubs.,49
free,225
slenderman,97
johnl,49
scooter388,49
cr4nb3rry,193
danereich,65
kappy,65
fadingxiii,193
infernospark,161
them greasy glasses,129
oro?!,49
chock.0,161
n,49
oops,129
damfam,129
sapphire,225
arceusrox,193
embre,225
darkshad,33
bizzarro flame,225
rampartz,129
pewpew2,225
ranger mike,193
rain blanket,97
doctor chopper,193
slowjoe,33
firelord46,193
dexter,33
mikebliss,225
chompy,49
ventra,97
dreamweaver,65
striferz,193
bluedanes,129
pyroco,193
trevor,225
tehu,161
tyroy,17
trippybutter,161
neech,161
riluu,97
jojohnson,225
evbgr_bird,225
jjrockets,7
neckpls,129
jag,193
nekonyancer,129
4chanjoe,65
nscyte,193
shonic,257
day,97
potato brett,129
copshowguy,65
detamir,193
sofa king,65
packy,97
zelgius,225
benderman64,193
jswiss,33
tara,129
jbecker14,193
narr,129
d. disciple,49
undrblade,161
rin,65
mjg,9
demitus,25
moti,49
cerulean blue,193
tm4,65
dom,33
poutine,257
theagedone,193
zero,2
15(ichigo),97
bighairyfart,225
grizz,225
thewildflame,193
flyguy,225
quilly,33
plinywaves,161
novavurse,65
c0sm1x,161
skullert,129
toronto joe,25
tydye,257
blackwing,65
pazuzu,161
treeborn,129
xeelt,97
bayless,97
q.e.d.,49
ecnebanjo,49
keytarshredder,97
mister eric,13
max ketchum,17
bsquared,97
atomsk,225
marfslayer 3000,225
dragonbb,33
zwölfy,193
facehmpur,193
pk thor,97
umbreoff_,97
big_mak,17
juice,225
oljace,225
beto.tox,97
nicklecat,65
tango,225
jaaahsh,49
warm penguin,129
giant,65
crocatillian,161
tusk,129
red,65
l1me,129
