P1,P2,set winner,P1Score,P2Score
rai,mr. beet,0,2,0
energy,starbattler92,1,0,2
beans,evab,0,2,0
scoop,jakemeeble,1,0,2
ally,rai,0,2,0
panderbaer,notos,1,0,2
keiththegeek,starbattler92,0,2,0
yobby,bryce,1,0,2
zoan,beans,0,2,0
robo,science,1,0,2
glyph,jakemeeble,1,0,2
tunnelsnakesrule,mommy,1,0,2
ally,notos,0,2,0
keiththegeek,bryce,1,0,2
zoan,science,0,2,0
jakemeeble,mommy,1,0,2
ally,bryce,0,2,0
zoan,mommy,0,2,0
ally,zoan,0,2,0
tunnelsnakesrule,mr. beet,0,2,0
robo,energy,0,2,0
yobby,evab,0,2,0
panderbaer,scoop,1,0,2
tunnelsnakesrule,glyph,1,0,2
robo,beans,1,0,2
yobby,starbattler92,0,2,0
scoop,rai,1,0,2
keiththegeek,glyph,0,2,0
notos,beans,1,0,2
jakemeeble,yobby,0,2,0
science,rai,1,0,2
keiththegeek,beans,1,0,2
jakemeeble,rai,1,0,2
mommy,beans,0,2,0
bryce,rai,0,2,0
mommy,bryce,1,0,2
zoan,bryce,0,-2,-2
lejoy,zela,1,0,2
buggy,liyrex,1,-2,-2
etika,fidwif,1,-1,0
trannce,knowledge,0,2,0
jjrockets,zela,0,2,0
honcho,brave,1,-1,0
jollypie,liyrex,1,-2,-2
sploosh,mugii,1,0,2
vanity,fidwif,0,0,-1
weezy,i9ndigo,0,2,1
y.b.m.,trannce,0,2,1
brown,master j.j.,0,2,0
jjrockets,brave,0,2,0
liyrex,mugii,1,-2,-2
vanity,weezy,0,2,0
y.b.m.,brown,0,2,0
jjrockets,mugii,0,2,0
vanity,y.b.m.,0,2,0
jjrockets,vanity,0,2,0
master j.j.,lejoy,0,2,1
i9ndigo,buggy,0,2,0
sploosh,etika,0,0,-1
honcho,knowledge,1,-1,0
master j.j.,trannce,1,0,2
i9ndigo,fidwif,0,0,-1
sploosh,jollypie,0,0,-1
knowledge,zela,1,0,2
liyrex,trannce,0,2,1
brave,i9ndigo,1,0,2
brown,sploosh,0,2,0
weezy,zela,0,2,0
liyrex,i9ndigo,0,2,0
brown,weezy,1,0,2
y.b.m.,liyrex,0,2,1
mugii,weezy,1,0,2
y.b.m.,weezy,0,2,1
vanity,y.b.m.,0,-2,-2
boost,logi,0,-2,-2
lockerific,d.j.r.,1,-1,0
atp,sd_angululu,1,-2,-2
6wx,boost,0,-2,-2
weed,k1n6,1,-1,0
adubz,orpheus,1,-2,-2
naut,supakmw,1,-1,0
rice,d.j.r.,0,-2,-2
mrmanikatti,cheesecake,1,-1,0
eightfold path h-man,sd_angululu,0,-2,-2
scs_dr_greed,pyro [bardenett],0,-2,-2
6wx,k1n6,0,-2,-2
orpheus,supakmw,0,-2,-2
rice,cheesecake,0,-2,-2
eightfold path h-man,scs_dr_greed,0,-2,-2
6wx,orpheus,0,-2,-2
rice,eightfold path h-man,1,-2,-2
6wx,eightfold path h-man,0,-2,-2
pyro [bardenett],logi,1,-2,-2
naut,lockerific,0,0,-1
weed,atp,1,-1,0
logi,sd_angululu,1,-2,-2
mrmanikatti,d.j.r.,1,-1,0
naut,adubz,1,-1,0
atp,boost,1,-2,-2
supakmw,sd_angululu,0,-2,-2
k1n6,d.j.r.,0,-2,-2
scs_dr_greed,adubz,1,-2,-2
cheesecake,boost,1,-2,-2
supakmw,k1n6,0,-2,-2
adubz,boost,1,-2,-2
rice,supakmw,0,-2,-2
orpheus,boost,0,-2,-2
rice,orpheus,1,-2,-2
eightfold path h-man,orpheus,0,-2,-2
papashark,redrobtata,0,0,-1
gael,some freaking cactus,0,2,0
shieldz,jr,1,-1,0
7,firewater,0,2,0
tweek,papashark,0,2,0
tvomusic,kong,1,-1,0
banj0,gael,1,0,2
vent,nazzo,0,2,1
ash23,jr,0,2,0
matumakka,applejacks,0,2,0
thatguy,7,0,2,1
mariofirered,benneh,0,0,-1
tweek,kong,0,2,0
gael,vent,0,2,0
ash23,matumakka,0,2,0
thatguy,mariofirered,0,2,0
tweek,gael,0,2,0
ash23,thatguy,1,1,2
tweek,thatguy,0,2,0
benneh,redrobtata,1,-1,0
applejacks,some freaking cactus,1,0,2
nazzo,shieldz,0,0,-1
tvomusic,firewater,1,-1,0
redrobtata,7,1,-1,0
some freaking cactus,jr,1,0,2
nazzo,banj0,1,0,2
firewater,papashark,0,2,0
vent,7,1,1,2
kong,jr,1,0,2
mariofirered,banj0,1,0,2
matumakka,firewater,1,1,2
7,jr,1,1,2
banj0,firewater,0,2,0
ash23,jr,0,2,0
gael,banj0,0,2,0
ash23,gael,0,2,0
thatguy,ash23,0,-2,-2
oatmeal,nesessary,0,-2,-2
stellar,xoldren,1,-2,-2
sharrrk,cloverdale ice,1,-2,-2
aryman,nokto,0,-2,-2
true blue,oatmeal,0,-2,-2
jeff,mightycow,1,-2,-2
doctor chopper,xoldren,0,-2,-2
fmi,freesk,0,-2,-2
jtails,cloverdale ice,0,-2,-2
televangelist,mudskipz,1,-2,-2
syde7,aryman,0,-2,-2
maxi,nick78,1,-2,-2
true blue,mightycow,0,-2,-2
doctor chopper,fmi,1,-2,-2
jtails,mudskipz,0,-2,-2
syde7,nick78,0,-2,-2
true blue,fmi,0,-2,-2
jtails,syde7,0,-2,-2
true blue,jtails,0,-2,-2
maxi,nesessary,1,-2,-2
televangelist,stellar,1,-2,-2
freesk,sharrrk,1,-2,-2
jeff,nokto,0,-2,-2
nesessary,aryman,1,-2,-2
stellar,cloverdale ice,0,-2,-2
sharrrk,xoldren,0,-2,-2
jeff,oatmeal,1,-2,-2
doctor chopper,aryman,1,-2,-2
mightycow,stellar,0,-2,-2
nick78,sharrrk,0,-2,-2
mudskipz,oatmeal,1,-2,-2
aryman,mightycow,0,-2,-2
nick78,oatmeal,1,-2,-2
syde7,aryman,0,-2,-2
fmi,oatmeal,1,-2,-2
syde7,oatmeal,1,-2,-2
jtails,oatmeal,0,-2,-2
kaboom,mozzy,0,2,0
kaboom,kh1com2,1,0,2
kaboom,dwm,0,2,0
quest,jamz,0,0,-1
quest,reggie,1,0,2
joe bee,quest,1,0,2
joe bee,guy hero,1,0,2
dkwill,jamz,0,2,0
dkwill,guy hero,0,2,0
dkwill,jkid,0,2,0
dkwill,parappa,0,2,0
pewpewu,reggie,1,-1,0
jamz,mashumaro,0,2,1
rokmo,quest,0,2,0
rokmo,skippy,0,2,0
reggie,stretch,1,0,2
reggie,gumpis,1,0,2
mozzy,gumpis,1,0,2
skippy,kh1com2,1,0,2
skippy,nightwing,0,0,-1
dwm,pewpewu,0,0,-1
dwm,stretch,1,0,2
dwm,mashumaro,0,2,0
guy hero,kh1com2,1,0,2
stretch,kh1com2,0,2,1
stretch,jkid,0,2,1
jkid,kaboom,0,2,1
jkid,bean,0,2,0
jkid,gumpis,0,2,0
nightwing,bean,1,-1,0
gumpis,rokmo,0,2,0
gumpis,bean,0,2,0
gumpis,kh1com2,1,0,2
parappa,rokmo,0,2,0
parappa,kh1com2,0,2,1
parappa,stretch,0,-2,-2
parappa,stretch,0,2,0
cubite,yamin4,0,2,0
melbo,cosmic witch,1,1,2
emperor eevee,icactusdog,0,2,0
viral,uprowr,0,2,1
master raven,cubite,0,2,0
pierce,tyranull,0,2,1
aznbolt,cosmic witch,1,0,2
smitty,horse,1,0,2
boss,emperor eevee,0,2,1
db,tm06,0,2,0
leaf fc,viral,0,2,0
wushuknight,mothwile,1,-1,0
master raven,pierce,0,2,0
cosmic witch,horse,1,1,2
boss,db,0,2,0
leaf fc,mothwile,0,2,0
master raven,horse,0,2,0
boss,leaf fc,0,2,1
master raven,boss,0,2,0
wushuknight,yamin4,1,-1,0
tm06,melbo,1,0,2
smitty,icactusdog,0,2,1
tyranull,uprowr,0,2,0
yamin4,viral,1,0,2
melbo,emperor eevee,1,0,2
smitty,aznbolt,1,0,2
tyranull,cubite,0,2,0
cosmic witch,viral,0,2,1
pierce,emperor eevee,1,0,2
mothwile,aznbolt,1,0,2
db,tyranull,0,2,0
cosmic witch,emperor eevee,1,0,2
aznbolt,db,1,0,2
leaf fc,emperor eevee,0,2,0
horse,db,0,2,1
leaf fc,horse,0,2,0
boss,leaf fc,0,-2,-2
magfmur,basic stitch,1,0,2
day,omega,1,0,2
ezcarnage,ültra,1,1,2
starfy,thedarkdreamer,0,2,0
xaltis,basic stitch,0,2,0
well dressed jem,yogi,0,0,-1
