P1,P2,set winner,P1Score,P2Score
mojo juju,genius,1,0,2
muk,lonely,0,2,0
elyan,dani,0,2,0
ass,young eevey,0,2,0
mr.r,genius,0,2,0
mute,susino,0,2,0
wreck-it mundo,muk,1,1,2
ivra,sfz~lemonx153,0,0,-1
afro smash,elyan,0,2,0
skippo,ferilat,1,0,2
repus,ass,0,2,1
chrisr334,dankey kang,0,2,0
mr.r,mute,0,2,0
muk,ivra,0,2,1
afro smash,ferilat,0,2,0
repus,chrisr334,1,0,2
mr.r,muk,0,2,0
afro smash,chrisr334,1,0,2
mr.r,chrisr334,0,-2,-2
dankey kang,mojo juju,0,2,0
skippo,lonely,0,2,0
sfz~lemonx153,dani,1,-1,0
susino,young eevey,1,1,2
dankey kang,ass,0,2,0
skippo,elyan,0,2,1
dani,wreck-it mundo,1,0,2
young eevey,genius,1,1,2
ivra,dankey kang,0,2,0
mute,skippo,0,2,0
repus,wreck-it mundo,1,0,2
ferilat,genius,1,1,2
ivra,mute,1,0,2
wreck-it mundo,genius,0,2,0
afro smash,mute,0,2,0
muk,wreck-it mundo,1,0,2
afro smash,wreck-it mundo,0,-2,-2
djol,stuc,1,0,2
mugiwara no purin,sosa,1,1,2
galaxia,teddie,1,0,2
tntblowzup,leon,0,2,0
rich brown,stuc,0,2,0
kakpu,amj,0,2,0
pocafeiner,sosa,0,2,0
diaz,paint,0,2,0
patrino,teddie,0,2,0
kweet,zluchs,0,2,0
whoophee,tntblowzup,0,2,0
blubo,moozrim,0,2,0
rich brown,kakpu,0,2,1
pocafeiner,diaz,0,2,0
patrino,kweet,0,2,1
whoophee,blubo,0,2,0
rich brown,pocafeiner,0,2,0
patrino,whoophee,1,1,2
rich brown,whoophee,0,-2,-2
moozrim,djol,0,2,0
zluchs,mugiwara no purin,0,2,0
paint,galaxia,0,2,0
amj,leon,0,2,0
moozrim,tntblowzup,1,0,2
zluchs,teddie,1,1,2
paint,sosa,1,0,2
amj,stuc,1,0,2
diaz,tntblowzup,0,2,1
kakpu,teddie,0,2,0
blubo,sosa,0,2,0
kweet,stuc,0,2,0
diaz,kakpu,1,0,2
blubo,kweet,1,0,2
patrino,kakpu,0,2,0
pocafeiner,kweet,0,2,1
patrino,pocafeiner,0,-2,-2
peeko,darkshad,0,2,0
peeko,isoul,0,2,0
peeko,kise,0,2,0
piratebunnii,naph,1,0,2
cube,nico280,1,-1,0
pikaforlife,paoz,0,2,0
pikaforlife,nico280,0,2,0
darkshad,kido,1,1,2
darkshad,nico280,0,2,1
paoz,boxboy,0,2,0
paoz,naph,1,1,2
isoul,piratebunnii,1,0,2
pur gars,peeko,0,2,1
pur gars,naph,0,2,0
pur gars,naph,0,2,0
rog,kise,1,0,2
luperizer,kuroix,0,2,1
luperizer,kise,1,0,2
boxboy,darkshad,1,0,2
naph,kuroix,0,2,1
naph,kobra,0,2,0
jamiro,cube,0,0,-1
jamiro,rog,1,0,2
jamiro,kido,0,2,0
kobra,luperizer,0,2,0
kobra,jamiro,0,2,0
kise,piratebunnii,0,2,0
ixisnaugus,pikaforlife,0,-2,-2
ixisnaugus,pur gars,0,2,1
ixisnaugus,rog,0,2,0
ixisnaugus,kido,0,2,0
purple~h,peeko,0,2,1
purple~h,pikaforlife,1,1,2
purple~h,pur gars,0,-2,-2
purple~h,kobra,0,2,0
purple~h,kise,0,2,0
binkie,pandali,1,1,2
kmf,abtin,0,2,0
seyotuso,teminian,1,-1,0
lif3s,odin,0,2,0
glutonny,pandali,0,2,0
taitsu,luis,1,1,2
endeby,kmf,1,0,2
twomix,denamy,0,2,0
wiiase,teminian,0,2,1
silex,doublec,0,2,0
mazzone,lif3s,0,2,0
frnk,damalum,1,-1,0
glutonny,luis,0,2,1
kmf,twomix,1,0,2
wiiase,silex,0,2,0
mazzone,damalum,0,2,0
glutonny,twomix,0,2,0
wiiase,mazzone,0,2,1
glutonny,wiiase,0,-2,-2
frnk,binkie,1,-1,0
doublec,abtin,0,2,0
denamy,seyotuso,0,0,-1
taitsu,odin,0,2,0
binkie,lif3s,1,0,2
doublec,teminian,1,1,2
denamy,endeby,0,2,1
taitsu,pandali,0,2,1
kmf,lif3s,1,1,2
luis,teminian,0,2,0
damalum,denamy,1,0,2
silex,taitsu,0,2,0
lif3s,luis,1,0,2
denamy,silex,1,0,2
mazzone,luis,0,2,0
twomix,silex,1,0,2
mazzone,silex,0,-2,-2
saveiro,alijdis,0,2,0
mad,mazzel,0,2,0
hydra,wil-san,0,0,-1
plakband0,maris,0,2,0
s1,saveiro,0,2,0
shuc,kakarot,0,2,1
trax,mad,0,2,0
uzbekbear,iskander,0,2,0
sabaca,hydra,0,2,0
dynastyle,asb,0,2,0
skarfelt,plakband0,0,2,0
vilkas,arceus,0,2,0
s1,shuc,0,2,0
trax,uzbekbear,1,0,2
sabaca,dynastyle,0,2,0
skarfelt,vilkas,0,2,0
s1,uzbekbear,0,2,0
sabaca,skarfelt,0,2,0
s1,sabaca,0,-2,-2
arceus,alijdis,1,0,2
asb,mazzel,1,1,2
iskander,wil-san,0,0,-1
kakarot,maris,0,2,0
alijdis,plakband0,1,0,2
mazzel,hydra,1,1,2
iskander,mad,1,0,2
kakarot,saveiro,0,2,1
trax,plakband0,0,2,0
shuc,hydra,0,2,0
vilkas,mad,0,2,0
dynastyle,kakarot,0,2,0
trax,shuc,0,2,0
vilkas,dynastyle,1,1,2
skarfelt,trax,1,1,2
uzbekbear,dynastyle,0,2,0
trax,uzbekbear,0,-2,-2
justice,vhozon,1,0,2
onyfire,kuber,0,2,0
corbert,whizzleho,0,2,0
leplancton,kamui,1,0,2
istudying,vhozon,0,2,0
volya,ks,0,2,0
koyu,onyfire,0,2,0
tylerdx,luckylester,0,2,0
kesa,corbert,0,2,0
draco,dekuturk,1,0,2
el_pitikla,kamui,0,2,0
mr. white,mad ice king,1,-1,0
istudying,volya,0,2,0
koyu,tylerdx,0,2,0
kesa,dekuturk,0,2,1
el_pitikla,mad ice king,0,2,0
istudying,koyu,0,2,0
kesa,el_pitikla,0,2,1
istudying,kesa,0,-2,-2
mr. white,justice,1,-1,0
draco,kuber,0,2,1
luckylester,whizzleho,1,0,2
ks,leplancton,0,2,0
justice,kamui,1,0,2
draco,corbert,0,2,1
whizzleho,onyfire,0,2,0
ks,vhozon,0,2,0
tylerdx,kamui,0,2,0
volya,draco,0,2,0
mad ice king,whizzleho,1,0,2
dekuturk,ks,1,0,2
tylerdx,volya,1,1,2
whizzleho,ks,1,1,2
el_pitikla,volya,0,2,0
koyu,ks,0,2,0
el_pitikla,koyu,0,-2,-2
nacl,nonette,0,2,0
supafresh,tendo,1,0,2
tspoon,geichi,0,0,-1
swu,aznpandax,0,2,0
quik,nacl,0,2,0
hirschulat,aeron,1,0,2
scarhi,tendo,0,2,0
adom,myson,0,2,0
badr,tspoon,0,2,0
frieddo,honeywobbles,0,2,0
pepo,swu,0,2,0
skipper,tittin,0,2,1
quik,aeron,0,2,0
scarhi,adom,0,2,0
badr,frieddo,0,2,0
pepo,skipper,0,2,0
quik,scarhi,0,2,1
badr,pepo,0,2,0
quik,badr,0,-2,-2
tittin,nonette,0,2,0
honeywobbles,supafresh,0,2,0
myson,geichi,0,2,0
hirschulat,aznpandax,0,2,0
tittin,swu,0,2,1
honeywobbles,tspoon,1,0,2
myson,tendo,0,2,0
hirschulat,nacl,0,2,0
adom,tittin,0,2,0
aeron,tspoon,0,2,0
skipper,myson,0,2,0
frieddo,hirschulat,0,2,0
adom,aeron,0,2,1
skipper,frieddo,1,0,2
pepo,adom,0,2,0
scarhi,frieddo,0,2,0
pepo,scarhi,0,-2,-2
j flair,delger,0,2,1
bueno,levingy,1,-1,0
de breekijzer,supersaiyangod,1,0,2
momo,teluoborg,1,0,2
sodrek,j flair,0,2,0
lavlis,mxm,0,2,0
el_bardo,levingy,0,0,-1
sim-max,flawlesskills,0,2,0
aperture,supersaiyangod,0,2,0
ganis,mika,1,1,2
gregs,teluoborg,0,2,0
gijsbeer,jesteros,0,2,0
sodrek,lavlis,0,2,0
el_bardo,sim-max,0,2,0
aperture,mika,0,2,0
gregs,gijsbeer,0,2,1
sodrek,el_bardo,0,2,0
aperture,gregs,0,2,0
sodrek,aperture,0,-2,-2
jesteros,delger,0,2,0
ganis,bueno,0,0,-1
flawlesskills,de breekijzer,0,2,1
mxm,momo,0,2,0
jesteros,teluoborg,1,0,2
ganis,supersaiyangod,0,2,0
flawlesskills,levingy,0,0,-1
mxm,j flair,0,2,1
sim-max,teluoborg,1,0,2
lavlis,ganis,1,0,2
gijsbeer,flawlesskills,0,2,0
mika,mxm,1,1,2
teluoborg,ganis,1,0,2
gijsbeer,mxm,0,2,1
gregs,ganis,0,2,0
el_bardo,gijsbeer,0,2,0
gregs,el_bardo,0,-2,-2
icy c,the trashman,1,0,2
the legend of negro,stiv64,0,2,0
dio,purpledebo,1,0,2
proteun,arga,0,2,0
greward,the trashman,0,2,0
rom,silentgodot,0,2,1
nin',the legend of negro,0,2,0
cyfersquad,ryuji,0,2,1
iamaho,purpledebo,0,2,0
meutrich,hedgeon,1,0,2
broberto,proteun,0,2,0
enki,youngmastermarley,0,2,0
greward,rom,0,2,0
nin',cyfersquad,0,2,1
iamaho,hedgeon,0,2,1
broberto,enki,1,1,2
greward,nin',0,2,0
iamaho,enki,0,2,0
greward,iamaho,0,-2,-2
youngmastermarley,icy c,0,2,1
meutrich,stiv64,0,2,0
ryuji,dio,0,2,0
silentgodot,arga,0,2,1
youngmastermarley,proteun,0,2,0
meutrich,purpledebo,0,2,0
ryuji,the legend of negro,0,2,0
silentgodot,the trashman,0,2,1
cyfersquad,youngmastermarley,0,2,0
rom,meutrich,1,0,2
broberto,ryuji,1,0,2
hedgeon,silentgodot,0,2,0
cyfersquad,meutrich,0,2,0
ryuji,hedgeon,0,2,0
enki,cyfersquad,0,2,1
nin',ryuji,0,2,0
enki,nin',0,-2,-2
nesstea,jut3ls,1,1,2
serew,t-j,1,0,2
serew,opto,0,2,0
pyano,dumbfire,1,1,2
euk,pyano,1,1,2
euk,the madness,0,2,0
euk,looney,0,2,0
nohman,jut3ls,1,1,2
nohman,the madness,1,1,2
dumbfire,verrix,0,2,1
dumbfire,multimrgi,0,2,0
t-j,nesstea,1,1,2
t-j,euk,1,1,2
t-j,rockweapon,0,2,0
t-j,the7thname,0,0,-1
meru,pyano,0,2,0
meru,euk,0,2,0
meru,anragon,0,-2,-2
meru,the madness,0,2,0
meru,vxsicxv,1,0,2
marcbri,verrix,0,2,0
marcbri,anragon,0,2,0
marcbri,nyrélhos,0,2,0
marcbri,vxsicxv,0,-2,-2
the7thname,verrix,1,-1,0
jut3ls,dumbfire,1,0,2
jut3ls,looney,0,2,1
anragon,serew,0,2,1
anragon,dumbfire,0,2,0
anragon,jut3ls,0,2,0
multimrgi,rockweapon,1,1,2
nyrélhos,euk,1,0,2
nyrélhos,dumbfire,0,2,0
opto,nohman,1,0,2
vxsicxv,nesstea,0,2,0
vxsicxv,rockweapon,0,2,0
hardcoreyork,xiphos,1,0,2
mind,dwizzy,1,1,2
yungbami,tales,1,0,2
z,tct slim,1,1,2
long0uw,xiphos,0,2,0
sealer,xemroc,0,2,1
g~p,dwizzy,0,2,0
mt,z3ph1r,0,2,0
c.r.z,tales,0,2,0
uriko,zantg,0,2,0
neath,tct slim,0,2,0
mank,kellekion,0,2,0
long0uw,sealer,0,2,1
g~p,mt,0,2,0
c.r.z,uriko,0,2,1
neath,mank,0,2,0
long0uw,g~p,0,2,0
c.r.z,neath,1,1,2
long0uw,neath,0,-2,-2
kellekion,hardcoreyork,0,2,0
zantg,mind,0,2,0
z3ph1r,yungbami,0,2,0
xemroc,z,1,0,2
kellekion,tct slim,1,0,2
zantg,tales,0,2,0
z3ph1r,dwizzy,0,2,0
z,xiphos,0,2,0
mt,tct slim,0,2,0
sealer,zantg,0,2,0
mank,z3ph1r,0,2,0
uriko,z,0,2,0
mt,sealer,0,2,0
mank,uriko,1,0,2
c.r.z,mt,0,2,0
g~p,uriko,0,2,0
c.r.z,g~p,0,-2,-2
sivoar,supahsemmie,1,0,2
triple finish,kneenos,0,2,0
lyra214,navaell,0,2,1
berry,p4u1os,0,2,0
griffith,supahsemmie,0,2,0
s1lvanuz,rezer,0,2,0
veyron,triple finish,0,2,0
nives,linkje,0,2,0
eddy,lyra214,0,2,0
soreru,kerbykong,0,2,0
otek,berry,0,2,0
rahx,meister sima yi,0,2,0
griffith,s1lvanuz,0,2,0
veyron,nives,1,0,2
eddy,soreru,0,2,0
otek,rahx,0,2,0
griffith,nives,0,2,0
eddy,otek,1,1,2
griffith,otek,0,-2,-2
meister sima yi,sivoar,0,2,0
kerbykong,kneenos,0,0,-1
linkje,navaell,1,-1,0
rezer,p4u1os,0,2,0
meister sima yi,berry,0,2,1
kerbykong,lyra214,1,1,2
navaell,triple finish,0,2,0
rezer,supahsemmie,1,0,2
veyron,meister sima yi,1,0,2
s1lvanuz,lyra214,1,0,2
rahx,navaell,0,2,0
soreru,supahsemmie,1,0,2
meister sima yi,lyra214,0,2,0
rahx,supahsemmie,1,1,2
eddy,meister sima yi,0,2,0
nives,supahsemmie,1,0,2
eddy,supahsemmie,0,-2,-2
rayquanza,fire,0,2,0
capet,thewarpstar,1,1,2
felker,thieske,0,2,0
king magikarp,tpk,1,0,2
j.miller,rayquanza,0,2,0
grove,smuff,1,1,2
gardex,thewarpstar,0,2,1
ramses,preach,0,2,0
robo~luigi,felker,0,2,1
narayan,dr.knight,0,2,0
yikarur,tpk,0,2,0
slkaj,old man g,0,2,0
j.miller,smuff,0,2,0
gardex,ramses,1,0,2
robo~luigi,narayan,0,2,0
yikarur,slkaj,0,2,1
j.miller,ramses,0,2,0
robo~luigi,yikarur,0,2,0
j.miller,robo~luigi,0,-2,-2
old man g,fire,1,0,2
dr.knight,capet,0,2,0
preach,thieske,0,2,1
grove,king magikarp,0,2,1
fire,tpk,0,2,0
dr.knight,felker,1,0,2
preach,thewarpstar,1,1,2
grove,rayquanza,1,1,2
gardex,fire,1,0,2
smuff,felker,1,0,2
slkaj,thewarpstar,0,2,0
narayan,rayquanza,0,2,0
fire,felker,1,0,2
slkaj,narayan,0,2,0
yikarur,felker,0,2,0
ramses,slkaj,0,2,0
yikarur,ramses,0,-2,-2
blaar,ooz,1,0,2
tadavidid,mr. mex,0,2,0
sub01,marm,1,0,2
manx,malipit,1,0,2
jbandrew,ooz,0,2,0
dave,lee,1,0,2
deon,tadavidid,0,2,0
eternal conflict,predator00,0,2,0
cat,marm,1,0,2
achillis,kaora,0,2,1
zudenka,malipit,0,2,0
judge,­paragon,0,2,0
jbandrew,lee,0,2,0
deon,eternal conflict,1,0,2
marm,achillis,0,2,1
zudenka,judge,0,2,0
jbandrew,eternal conflict,0,2,1
marm,zudenka,1,1,2
jbandrew,zudenka,0,-2,-2
­paragon,blaar,0,2,0
kaora,mr. mex,0,2,0
predator00,sub01,0,2,0
dave,manx,0,2,0
­paragon,malipit,0,2,0
kaora,cat,1,0,2
predator00,tadavidid,0,2,1
dave,ooz,0,2,0
deon,­paragon,0,2,0
lee,cat,1,0,2
judge,predator00,0,2,0
achillis,dave,1,1,2
deon,cat,1,0,2
judge,dave,0,2,0
marm,cat,1,1,2
eternal conflict,judge,1,1,2
cat,judge,0,-2,-2
ssj,cpsdub,0,2,0
kaosu,turnipforwhat,0,2,0
dr. jonk,pepernoot,0,2,0
overlord,airfire,0,2,1
pefo,ssj,0,2,0
l benjamin,starkorn,1,1,2
tatuman,kaosu,0,2,0
silentdoom,fabz,0,2,0
boomuki,dr. jonk,0,2,0
azreal,sylph,1,0,2
shido,overlord,0,2,0
pepespain,whyyz,0,2,1
pefo,starkorn,0,2,0
tatuman,silentdoom,0,2,1
boomuki,sylph,0,2,1
shido,pepespain,0,2,0
pefo,tatuman,0,2,1
boomuki,shido,0,2,1
pefo,boomuki,0,-2,-2
whyyz,cpsdub,0,2,1
azreal,turnipforwhat,0,2,0
fabz,pepernoot,0,2,1
l benjamin,airfire,0,2,0
whyyz,overlord,0,2,0
azreal,dr. jonk,0,2,0
fabz,kaosu,1,1,2
l benjamin,ssj,0,2,0
silentdoom,whyyz,0,2,1
starkorn,azreal,0,2,0
pepespain,kaosu,0,2,0
sylph,l benjamin,1,1,2
silentdoom,starkorn,0,2,0
pepespain,l benjamin,0,2,1
shido,silentdoom,1,0,2
tatuman,pepespain,1,1,2
silentdoom,pepespain,0,-2,-2
ssj2luigi,oni shin,0,0,-1
megject,njinwezen,1,0,2
sam the commentator,jesper,1,1,2
charliezardz,sean117vd,0,2,0
khanage,ssj2luigi,0,2,0
ayoub,gianny,0,2,0
river,njinwezen,0,2,0
kenko,ignis,0,2,0
light,jesper,0,2,0
kuroshooter,kodama,0,2,0
joe,charliezardz,0,2,0
schligger,raiizx,0,2,0
khanage,ayoub,0,2,0
river,kenko,0,2,0
light,kuroshooter,0,2,1
joe,schligger,1,0,2
khanage,river,0,2,0
light,schligger,1,1,2
khanage,schligger,0,-2,-2
raiizx,oni shin,0,0,-1
kodama,megject,0,2,0
ignis,sam the commentator,1,0,2
gianny,sean117vd,0,2,0
raiizx,charliezardz,0,2,0
kodama,jesper,0,2,0
sam the commentator,njinwezen,1,1,2
gianny,ssj2luigi,0,2,0
kenko,raiizx,1,1,2
ayoub,kodama,1,1,2
joe,njinwezen,0,2,0
kuroshooter,gianny,0,2,0
raiizx,kodama,1,0,2
joe,kuroshooter,0,2,1
light,kodama,0,2,0
river,joe,0,2,0
light,river,0,-2,-2
sodrek,supahsemmie,0,2,0
sodrek,el_pitikla,0,2,0
sodrek,greward,0,2,0
sodrek,ixisnaugus,1,1,2
