P1,P2,set winner,P1Score,P2Score
cheddar,mattdotzeb,1,0,2
mattdotzeb,surf's up. hail satan.,0,2,0
mattdotzeb,pops,0,2,0
mattdotzeb,holiday,0,2,1
mattdotzeb,friendly neighborgood puff,1,1,2
mattdotzeb,friendly neighborgood puff,0,2,1
mattdotzeb,webs,0,2,0
mattdotzeb,kre,0,2,0
mattdotzeb,mikehaze,1,0,2
mattdotzeb,norwood,0,2,1
mattdotzeb,sinon,0,2,0
4%,mattdotzeb,0,2,0
4%,trix,0,2,0
4%,schnurb,0,2,0
4%,nuggets,0,2,0
4%,bluebuster,0,2,0
4%,nox,0,2,0
4%,firebolt,0,2,0
4%,firebolt,0,2,0
4%,nard dogg,0,2,1
surf's up. hail satan.,mattdotzeb,1,0,2
surf's up. hail satan.,pops,1,1,2
surf's up. hail satan.,boyd,1,-2,-2
surf's up. hail satan.,friendly neighborgood puff,1,0,2
surf's up. hail satan.,lawyerdog,0,-2,-2
surf's up. hail satan.,prilo,0,2,0
surf's up. hail satan.,mysterion,0,2,0
surf's up. hail satan.,8oz,1,1,2
surf's up. hail satan.,8oz,0,2,1
surf's up. hail satan.,bluebuster,0,2,0
surf's up. hail satan.,2shadez,0,2,0
surf's up. hail satan.,rik,1,0,2
surf's up. hail satan.,nox,1,1,2
surf's up. hail satan.,firebolt,1,1,2
surf's up. hail satan.,stretch,0,2,0
surf's up. hail satan.,norwood,0,2,1
surf's up. hail satan.,photonic,1,1,2
surf's up. hail satan.,xiivi,0,-2,-2
surf's up. hail satan.,xiivi,1,0,2
pops,surf's up. hail satan.,1,0,2
pops,holiday,1,1,2
pops,ten,1,1,2
pops,nuggets,1,1,2
pops,y.n.c.,0,2,1
pops,y.n.c.,1,1,2
pops,quin,1,0,2
pops,8oz,0,2,0
pops,og swaglord,0,2,1
holiday,mattdotzeb,0,2,0
holiday,pops,0,2,0
holiday,boyd,0,2,0
holiday,webs,0,2,1
holiday,webs,1,0,2
holiday,messi,0,2,0
holiday,home,0,2,1
holiday,mantis,1,1,2
holiday,bluebuster,0,2,1
holiday,nox,1,0,2
holiday,stretch,0,2,0
holiday,nomad,1,1,2
holiday,norwood,0,2,1
boyd,surf's up. hail satan.,0,-2,-2
boyd,lago,0,2,0
friendly neighborgood puff,surf's up. hail satan.,1,1,2
friendly neighborgood puff,flux,0,2,0
friendly neighborgood puff,wisaac,0,2,0
friendly neighborgood puff,prilo,0,2,0
friendly neighborgood puff,bluebuster,0,2,1
friendly neighborgood puff,mikehaze,1,0,2
friendly neighborgood puff,rik,1,1,2
flux,friendly neighborgood puff,0,2,1
flux,nuggets,1,0,2
trix,surf's up. hail satan.,0,2,0
trix,nuggets,1,-1,0
trix,lawyerdog,0,2,0
trix,8oz,0,2,0
trix,mikehaze,1,0,2
trix,rik,0,2,1
trix,cup,0,2,0
trix,thedoctorisin,0,2,0
trix,jacky,0,2,1
trix,a-wall,0,2,1
trix,a-wall,0,2,1
trix,dezno,0,2,1
trix,malc,0,2,0
trix,nard dogg,0,2,0
trix,photonic,1,1,2
trix,photonic,1,0,2
trix,travioli,0,2,0
trix,kels,1,1,2
webs,surf's up. hail satan.,1,-2,-2
webs,surf's up. hail satan.,1,0,2
webs,surf's up. hail satan.,0,2,1
webs,slowking,1,1,2
webs,l-gambino,0,2,1
webs,messi,0,2,0
webs,bluebuster,1,1,2
webs,bluebuster,1,0,2
webs,seto,0,2,0
webs,rik,1,1,2
webs,nox,1,0,2
webs,cup,0,2,0
webs,dezno,0,2,1
webs,malc,1,1,2
webs,undercoverraptor,0,2,0
webs,photonic,1,1,2
slowking,trix,1,1,2
slowking,flion,0,2,0
slowking,og swaglord,0,2,1
slowking,crupyo,0,2,0
slowking,rik,1,0,2
slowking,a-wall,1,0,2
slowking,wndy,0,2,0
iifter,dragedo,0,2,0
ten,pops,1,-1,0
ten,pops,0,2,1
ten,holiday,1,2,3
ten,holiday,0,2,0
l-gambino,surf's up. hail satan.,1,-2,-2
l-gambino,pops,1,0,2
l-gambino,webs,0,2,1
l-gambino,webs,1,0,2
l-gambino,8oz,1,0,2
hylian,schnurb,1,0,2
messi,holiday,1,0,2
messi,flux,1,1,2
messi,webs,1,0,2
messi,webs,1,0,2
messi,hylian,1,0,2
messi,schnurb,1,0,2
messi,lawyerdog,0,2,0
messi,lago,1,0,2
messi,lago,0,2,1
messi,flion,1,1,2
messi,wisaac,0,2,0
messi,8oz,1,0,2
messi,kre,0,2,0
messi,og swaglord,1,1,2
messi,bluebuster,1,0,2
messi,bluebuster,1,0,2
messi,pbz,1,0,2
messi,3huna,1,0,2
messi,rik,1,0,2
messi,cup,1,0,2
messi,soul,1,1,2
messi,firebolt,1,0,2
messi,jacky,1,0,2
messi,151a,0,2,0
messi,romulus,0,2,0
messi,cool blue™,0,2,0
messi,nard dogg,1,0,2
messi,nard dogg,1,1,2
messi,joefalco,0,2,0
messi,dime,1,0,2
messi,kels,1,0,2
schnurb,mattdotzeb,1,1,2
schnurb,hylian,1,0,2
schnurb,lago,0,2,0
schnurb,wisaac,0,2,1
schnurb,wisaac,0,2,1
schnurb,8oz,0,2,1
schnurb,8oz,0,2,0
schnurb,3huna,1,0,2
schnurb,wndy,0,2,1
schnurb,poopydungman,0,2,0
schnurb,dizzkidboogie,1,0,2
nuggets,4%,1,0,2
nuggets,trix,1,0,2
nuggets,l-gambino,0,2,0
nuggets,messi,0,2,0
nuggets,schnurb,0,2,1
nuggets,schnurb,1,0,2
nuggets,lawyerdog,0,2,0
nuggets,quin,1,0,2
nuggets,home,1,1,2
nuggets,prilo,0,2,0
nuggets,bluebuster,0,2,1
nuggets,nice climbers,0,2,0
nuggets,yashichi,0,2,0
nuggets,photonic,0,2,0
nuggets,photonic,0,2,0
nuggets,xiivi,1,1,2
nuggets,vro,1,0,2
y.n.c.,surf's up. hail satan.,1,0,2
y.n.c.,flion,1,0,2
y.n.c.,scuttles,0,2,1
y.n.c.,edd,1,0,2
lawyerdog,webs,1,0,2
lawyerdog,hylian,1,0,2
lawyerdog,messi,1,0,2
lawyerdog,messi,1,0,2
lawyerdog,messi,1,1,2
lawyerdog,lago,1,0,2
lawyerdog,kre,0,2,1
lawyerdog,woof,1,0,2
lawyerdog,edd,1,1,2
lawyerdog,nox,1,0,2
lawyerdog,lorek,0,2,1
lawyerdog,magaroni,0,2,0
lawyerdog,vista,1,0,2
lawyerdog,travioli,1,0,2
lawyerdog,fendricklamar,1,0,2
lawyerdog,wndy,1,0,2
lago,pops,1,0,2
lago,pops,0,2,1
lago,webs,0,2,1
lago,wisaac,0,2,0
lago,wisaac,0,2,0
lago,prilo,0,2,0
lago,dirty dan,0,2,1
lago,grepstar,0,2,0
lago,cup,1,1,2
lago,jacky,1,0,2
lago,mr._hui,1,0,2
lago,ben2,1,1,2
lago,travioli,1,0,2
lago,king fedora,1,0,2
quin,mattdotzeb,1,0,2
quin,mattdotzeb,0,2,0
quin,mattdotzeb,0,2,0
quin,mattdotzeb,1,0,2
quin,4%,1,1,2
quin,4%,1,0,2
quin,surf's up. hail satan.,0,2,0
quin,pops,0,2,0
quin,holiday,0,2,0
quin,holiday,0,2,0
quin,hylian,0,2,1
quin,mantis,0,2,1
quin,mantis,0,2,0
quin,crupyo,0,2,0
quin,bluebuster,0,2,0
quin,mikehaze,1,0,2
quin,nox,0,2,0
quin,xiivi,0,2,0
flion,surf's up. hail satan.,1,1,2
flion,pops,0,2,0
flion,messi,0,2,0
flion,messi,1,0,2
flion,quin,1,0,2
flion,og swaglord,0,2,0
flion,bluebuster,1,0,2
flion,nomad,0,2,1
home,surf's up. hail satan.,0,2,1
home,lago,0,2,0
home,8oz,0,2,0
home,mantis,1,0,2
home,kulczak,0,2,0
home,hikenviken,0,2,0
home,undercoverraptor,0,2,0
wisaac,webs,1,0,2
wisaac,y.n.c.,1,1,2
wisaac,y.n.c.,1,0,2
wisaac,lawyerdog,0,2,0
wisaac,lawyerdog,0,2,0
wisaac,lawyerdog,1,1,2
wisaac,lawyerdog,0,2,0
wisaac,lago,1,0,2
wisaac,prilo,0,2,0
