name,finalPlacement
anchortea,129
zora,97
zephyr,129
jello,129
tatsyu,129
k.i.d.goggles,25
day,25
soronajo,65
shadefizzle,193
nero,33
tarn,193
ajmurad,193
vita,129
oak,97
kingmaxor,129
retaelous,129
renomo,129
rango,49
hoojit,65
arma,65
moti,49
grey,97
nicole,65
wocket,129
scuttles,129
fail whale,97
blazingskie,65
travioli,129
lsxandrew,65
lorenzo,129
rython,49
moose,65
hertz,65
zero,1
cylent,129
ally,9
spankyj,49
boneless,65
hehe,97
agent x,193
tara,65
aceos,129
mew2king,33
taletalon,129
esam,3
mvd,33
mkleo,13
anti,13
drystan,65
dare2dream,49
nom,33
carebear,129
nairo,4
void,5
larry lurr,7
q.e.d.,129
samsora,17
branstar,97
seren,97
loponop,129
that1blakkkid,65
pink fresh,17
hills,129
gyoska,129
jefecaminador,65
ruse,65
a-n too,65
captainzack,7
da-aimes,129
cook,65
hungrybox,65
pucks,129
james,33
saj,33
wolf candy,129
chuck nasty,33
alert,129
genjijodu,97
squirrel,193
makibaz,97
chanchan,97
salem,17
jswiss,97
flax,129
finesse,129
miloni,97
t•yeti,193
gng,65
hoz,129
vynomer,97
ryuga,13
nestec,97
bsquared,97
estarion,129
romulus,65
pupfury,129
deezus,49
sunshine,65
tyroy,25
staples,129
muse,49
glitch,97
mystearica,49
aedus,129
poyo,65
methacrylate,129
devi1hawk,129
dullworth,193
propain,65
darkshad,9
chudat,49
marss,9
fatality,33
ping warrior,97
black alex,129
ghrnr,129
ksev,25
zinoto,17
oblivion wing,129
lime~,129
prattle,129
dyr,17
darn,65
slenderman,65
tigerboi,49
kathrarg,97
one more,97
doctor b,33
umbrionknight,49
gottoms,129
uno,129
xiivi,97
bigus wigus,129
music,65
vinnie,25
treble,129
ultima,97
bear,193
fye,33
pugwest,25
mjg,33
xzax,17
1ne up,129
mikkiidamouze,129
undertow,129
ned,25
robsir_zx,129
muj,97
slowjoe,33
aeroux,129
draxsel,65
| 8bit,129
6wx,129
anonymous moniker,65
stylo.ren,97
daspoinkman,97
drcudahy,129
dmx,129
hypnotoad,97
sneaky,97
juststrife,97
aquakat2,129
joe barrels,33
jman3,129
biscuit,97
hoxtibles,129
waifu,129
chrispy,97
l-gambino,97
lewton,65
giganterra,129
vanity,193
nocturne,193
mercyscene,129
zguh,49
austy,65
quilly,49
flux,97
kamikaze,33
jjrockets,25
mr.e,5
colinies,49
devinchi,65
objection!,129
mr.r,9
withinar,49
crimepoop,193
xsaoxsurvivorx,129
bob ross,129
dove,97
damage,129
scatt,33
sergio,193
kaze,129
flow yo,65
tmacc,65
nakat,17
hanukkahjamboree,49
harlock,33
lumenick,129
treuce,129
karbine,193
istudying,17
kameme,13
abadango,2
