P1,P2,set winner,P1Score,P2Score
baba~,earthboundy,1,0,2
quest,tom hanks,1,0,2
maud,firexy,0,2,1
simba,lv^ludo,1,0,2
sir chosenone,kman,1,0,2
juke box hero,seuxberry,0,2,0
zero,earthboundy,0,2,0
dark meat,stratocide,0,2,1
ronin x,tom hanks,0,2,0
fau,maud,0,2,0
xanos,lv^ludo,0,2,0
limbs,zillo,0,2,0
rob gambino,kman,1,1,2
thezackerex,juke box hero,1,0,2
zero,dark meat,0,2,0
ronin x,fau,0,2,0
xanos,limbs,0,2,0
kman,juke box hero,0,2,0
zero,ronin x,0,2,0
xanos,kman,0,2,0
zero,xanos,0,2,0
thezackerex,baba~,0,0,-1
zillo,quest,1,0,2
lv^ludo,firexy,0,2,0
maud,simba,1,0,2
stratocide,sir chosenone,0,2,0
earthboundy,seuxberry,0,2,0
thezackerex,rob gambino,1,1,2
quest,lv^ludo,1,0,2
simba,tom hanks,1,1,2
stratocide,earthboundy,1,0,2
fau,rob gambino,0,2,0
dark meat,lv^ludo,1,0,2
juke box hero,tom hanks,0,2,1
limbs,earthboundy,1,0,2
fau,lv^ludo,1,1,2
juke box hero,earthboundy,1,0,2
kman,lv^ludo,0,2,1
ronin x,earthboundy,0,2,1
kman,ronin x,1,0,2
xanos,ronin x,0,-2,-2
decim,vorst,0,2,0
kyro,kai,1,-1,0
foulplay,raiza,1,-1,0
pipp,finesse,0,2,0
phuc king,bohemian milk,1,0,2
sniperkirby,happydude2,1,-1,0
dabuz,decim,0,2,0
mayo,rainpot,0,2,0
talon,kai,0,2,0
cyan can,raiza,0,2,0
xiivi,pipp,0,2,0
emm2k,mashk7,0,2,0
keet,bohemian milk,0,2,0
pk blueberry,happydude2,0,2,0
dabuz,mayo,0,2,0
talon,cyan can,1,1,2
xiivi,emm2k,1,0,2
keet,pk blueberry,1,0,2
dabuz,cyan can,0,2,0
emm2k,pk blueberry,1,0,2
dabuz,pk blueberry,0,2,1
happydude2,vorst,1,0,2
mashk7,kyro,0,0,-1
pipp,foulplay,0,0,-1
raiza,finesse,1,0,2
rainpot,phuc king,1,0,2
decim,sniperkirby,0,0,-1
vorst,bohemian milk,0,2,1
mashk7,pipp,1,0,2
finesse,kai,0,2,0
phuc king,decim,1,0,2
talon,vorst,0,2,0
mayo,pipp,0,2,1
keet,finesse,0,2,0
xiivi,decim,0,2,0
talon,mayo,0,2,0
keet,xiivi,0,2,1
emm2k,talon,1,1,2
cyan can,keet,0,2,1
talon,cyan can,1,1,2
pk blueberry,cyan can,0,-2,-2
kamen,someeggplant,1,0,2
pupfury,welikeike,0,0,-1
renet,youtwo,1,1,2
doc pickle,cero,0,2,0
musclememory,epic,1,0,2
tdp,rython,1,0,2
mr.r,someeggplant,0,2,0
cruzer,smashyoface,1,0,2
keldeo,pupfury,0,2,0
muse,youtwo,0,2,0
mahgnittoc,doc pickle,0,2,0
coldramen,big guava,1,0,2
blake,epic,0,2,0
hoodie,rython,0,2,0
mr.r,smashyoface,0,2,0
keldeo,muse,0,2,1
mahgnittoc,big guava,0,2,0
blake,hoodie,0,2,1
mr.r,keldeo,0,2,0
mahgnittoc,blake,0,2,0
mr.r,mahgnittoc,0,2,0
rython,kamen,0,2,0
coldramen,welikeike,0,0,-1
doc pickle,renet,0,2,0
youtwo,cero,0,0,-1
cruzer,musclememory,0,2,0
someeggplant,tdp,0,2,0
rython,epic,0,2,1
coldramen,doc pickle,1,0,2
youtwo,pupfury,1,0,2
cruzer,someeggplant,0,2,0
muse,rython,1,0,2
smashyoface,doc pickle,1,0,2
hoodie,pupfury,0,2,0
big guava,cruzer,0,2,0
rython,doc pickle,0,2,1
hoodie,big guava,0,2,0
blake,rython,1,0,2
keldeo,hoodie,1,1,2
rython,hoodie,0,2,0
mahgnittoc,rython,0,-2,-2
prepareyourjanus,yosefu,1,1,2
tarn,gfitty,1,-2,-2
kaze,bleezy,0,2,0
tingle,phddzgt,1,0,2
drovesour,chrispy,1,0,2
tigrex,mint lynn,0,2,0
mew2king,yosefu,0,2,0
ibeevil,spinach,1,0,2
elrox,gfitty,0,2,1
emperor eevee,kaze,0,2,0
sandbag,phddzgt,0,2,0
tatsumaki,plant,0,0,-1
pilot,chrispy,1,0,2
mr. z,tigrex,1,0,2
mew2king,spinach,0,2,0
elrox,emperor eevee,1,1,2
sandbag,tatsumaki,0,2,1
chrispy,tigrex,1,1,2
mew2king,emperor eevee,0,2,0
sandbag,tigrex,0,2,0
mew2king,sandbag,0,2,0
mr. z,prepareyourjanus,1,1,2
plant,tarn,1,-1,0
phddzgt,bleezy,0,2,1
kaze,tingle,0,2,0
ibeevil,drovesour,0,2,0
yosefu,mint lynn,0,2,0
prepareyourjanus,pilot,0,2,0
tarn,phddzgt,1,-1,0
kaze,gfitty,1,0,2
ibeevil,yosefu,0,2,0
elrox,prepareyourjanus,0,2,0
spinach,phddzgt,0,2,0
chrispy,gfitty,0,2,0
tatsumaki,ibeevil,0,2,0
elrox,spinach,1,1,2
chrispy,tatsumaki,0,2,0
tigrex,spinach,1,0,2
emperor eevee,chrispy,0,2,1
spinach,emperor eevee,1,1,2
sandbag,emperor eevee,0,-2,-2
hayate,bootyflute,1,0,2
motts,phaze,1,0,2
slycat,phoenix,0,2,0
curbstomp,kc,1,0,2
sethyk,m4tt,0,2,1
darknac,juicee,1,0,2
fatality,bootyflute,0,2,0
tempest,rodo,1,0,2
winks,phaze,0,2,1
bigshot,slycat,1,0,2
makibaz,kc,0,2,0
pchu,toushi,1,1,2
cc,sethyk,0,2,0
midas,juicee,0,2,0
fatality,rodo,0,2,0
winks,slycat,0,2,0
makibaz,toushi,0,2,0
cc,midas,0,2,1
fatality,winks,0,2,0
makibaz,cc,1,1,2
fatality,cc,0,2,0
juicee,hayate,1,0,2
pchu,motts,0,2,0
kc,phoenix,0,0,-1
bigshot,curbstomp,0,2,0
tempest,m4tt,1,0,2
bootyflute,darknac,0,2,0
hayate,sethyk,0,2,0
pchu,kc,0,2,1
bigshot,phaze,1,0,2
m4tt,bootyflute,1,0,2
slycat,hayate,1,1,2
rodo,pchu,0,2,1
midas,phaze,0,2,1
toushi,bootyflute,0,2,0
hayate,rodo,1,0,2
midas,toushi,0,2,1
makibaz,rodo,0,2,0
winks,midas,0,2,0
makibaz,winks,1,1,2
cc,winks,0,-2,-2
| 8bit,tirqouise,0,2,0
envoid,acestarthe3rd,0,0,-1
doctor b,pope,0,2,0
shark,derpy,1,1,2
zantoma,fatchu,0,2,0
1ne up,hungrybox,0,2,1
scatt,| 8bit,0,2,0
bsquared,johnnyrotten,0,2,0
derpfish,envoid,1,0,2
l,doctor b,1,0,2
