name,finalPlacement
exia,129
kai,97
baba~,129
emm2k,33
vorst,65
shello,65
ibeevil,65
sage,33
rubio,97
fau,49
coldramen,97
| 8bit,129
limbs,65
tempest,129
elrox,49
mint lynn,129
hoodie,25
pk blueberry,13
bigshot,97
plant,129
someeggplant,97
xiivi,49
derpy,65
cyan can,13
tarn,97
muse,65
keet,33
sandbag,17
phoenix,129
kth,49
drystan,25
big guava,49
demi,65
finesse,65
darknac,129
1ne up,65
hayate,49
ronin x,17
tdp,129
ninja nova,129
jester,13
fatchu,129
happydude2,129
cero,129
chaseter,129
midas,33
tsk1,129
gunwhales,33
mew2king,5
brawlman1000,9
mashk7,97
keldeo,33
ssn94,65
rundmx,129
talon,25
bleezy,129
spinach,25
bohemian milk,97
nahgato,49
lan,97
cloudburst,129
mr. z,129
gfitty,65
makibaz,25
doc pickle,49
raiza,129
envoid,33
sir chosenone,129
murphy,65
quest,97
sethyk,97
dtr·bigox,17
dmvulture,65
danbi,9
shark,129
prepareyourjanus,65
player-1,7
tom hanks,65
ryuk,129
tigrex,33
rython,13
johnnyrotten,97
cc,17
firexy,129
yosefu,97
tingle,129
blake,33
phaze,65
rodo,33
hungrybox,25
musclememory,129
the candyman!!!,33
rob gambino,65
bootyflute,65
phddzgt,65
youtwo,97
doctor b,65
kamen,129
tirqouise,97
smashyoface,65
wolfei,33
maud,129
nitsua,97
miwa,65
toushi,49
foulplay,129
kaze,97
kyro,129
kc,97
esmod,25
juke box hero,49
renet,129
cruzer,65
pipp,65
pupfury,65
zantoma,33
epic,97
zillo,129
earthboundy,33
pilot,97
curbstomp,129
pythagoras,65
motts,129
bsquared,49
zero,3
drovesour,129
tatsumaki,49
dabuz,1
pchu,65
chase,49
juicee,129
pope,129
ayce,97
phuc king,97
m4tt,97
l,49
gfitty,97
xanos,9
welikeike,129
sniperkirby,129
felt,49
ronan,97
peen,129
zeruel x,65
kman,25
dark meat,65
acestarthe3rd,129
nove,97
wizzrobe,17
mahgnittoc,9
winks,17
mr.r,2
fatality,5
thezackerex,97
decim,65
zaz,129
rainpot,129
chrispy,33
simba,97
seuxberry,129
kidcarlton,17
emperor eevee,17
clintbeastwood,129
lemon zest,129
fieldin,97
goat kiwi,97
lv^ludo,33
psyche,65
mayo,49
scatt,4
slycat,65
derpfish,97
stratocide,97
darkshadlegend,7
