Gamertag,Rank,Characters,Score,Change
Armada,1,peach;fox,10.000,0
Hungrybox,2,jigglypuff,9.892,0
Mang0,3,fox;falco;marth;captain falcon,9.781,+1
Mew2King,4,marth;sheik;fox;peach,9.643,+1
Leffen,5,fox,9.576,-2
Plup,6,sheik;samus;fox,9.379,+1
SFAT,7,fox,9.219,+6
Westballz,8,falco;fox;captain falcon,9.031,0
Axe,9,pikachu;falco;marth;young link,8.969,0
Shroomed,10,sheik;marth,8.917,0
Swedish Delight,11,sheik;peach,8.878,+20
Wizzrobe,12,captain falcon,8.820,+11
Ice,13,fox,8.812,+4
PewPewU,14,marth;fox,8.607,0
Duck,15,samus,8.586,+7
S2J,16,captain falcon,8.585,0
Nintendude,17,ice climbers,8.340,+8
n0ne,18,captain falcon;ganondorf,8.299,+40
Lucky,19,fox,8.296,-7
Silent Wolf,20,fox,8.261,-9
The Moon,21,marth,8.211,+7
ChuDat,22,ice climbers, 8.063,+13
DruggedFox,23,fox,8.044,-5
Professor Pro,24,fox,8.036,+10
Colbol,25,fox;marth,7.920,-4
MacD,26,peach,7.822,-11
dizzkidboogie,27,ice climbers,7.734,+57
MikeHaze,28,fox,7.720,+12
KirbyKaze,29,sheik,7.668,-2
Wobbles,30,ice climbers,7.664,+2
Zhu,31,falco,7.650,-2
aMSa,32,yoshi;falco,7.482,-8
Laudandus,33,sheik,7.473,+26
KJH,34,fox,7.363,+12
Gahtzu,35,captain falcon,7.164,+10
Chillindude,36,fox,7.124,+18
Javi,37,fox,6.914,-11
HugS,38,samus,6.874,-18
Bladewise,39,peach,6.850,0
Abate,40,luigi,6.804,-7
Gravy,41,captain falcon,6.788,+21
Prince Abu,42,jigglypuff,6.699,+13
Santiago,43,falco;sheik,6.617,-1
Trifasia,44,peach,6.611,NEW
Captain Faceroll,45,sheik,6.607,NEW
Connor,46,fox;sheik,6.586,+26
Infinite Numbers,47,ice climbers,6.560,NEW
Ryan Ford,48,fox,6.484,+3
Crush,49,fox,6.419,+47
Mafia,50,peach,6.397,+41
Slox,51,fox;sheik,6.385,+18
Rudolph,52,marth;fox,6.367,+36
Overtriforce,53,sheik,6.321,-6
lloD,54,peach,6.199,+24
Kels,55,fox;sheik,6.147,-5
Eddy Mexico,56,luigi,6.066,-20
Azusa,57,peach,6.051,+32
Amsah,58,sheik,6.003,-5
Redd,59,fox;marth;falco;sheik,5.984,+11
Cactuar,60,fox;marth,5.924,-23
Zgetto,61,fox,5.902,+12
SmashG0D,62,marth,5.861,NEW
Android,63,sheik,5.854,-15
Captain Smuckers,64,captain falcon,5.838,+35
DJ Nintendo,65,fox;pikachu,5.806,-24
Zain,66,marth,5.717,NEW
Syrox,67,fox,5.591,NEW
ESAM,68,samus;fox,5.588,+13
Squid,69,falco,5.571,NEW
Kage the Warrior,70,ganondorf;captain falcon;fox,5.566,-26
Kalamazhu,71,peach,5.4734,-14
Darkatma,72,sheik;peach,5.430,-16
lovage805,73,fox,5.261,NEW
Tai,74,marth,5.240,+16
Drephen,75,sheik,5.2178,NEW
Ka-Master,76,luigi,5.139,NEW
Trulliam,77,falco,5.109,NEW
Frootloop,78,falco;sheik;fox,5.107,-29
Alex19,79,fox,5.104,-12
HomeMadeWaffles,80,fox;falco,5.066,-16
Milkman,81,fox,5.021,NEW
ARC,82,marth,5.010,+5
Reno,83,sheik;fox,4.933,-11
Tafokints,84,sheik,4.886,-4
Fuzzyness,85,fox;captain falcon,4.864,NEW
Kira,86,fox,4.771,-26
Ken,87,marth,4.717,-35
Mojo,88,fox,4.661,NEW
Medz,89,fox;marth,4.632,NEW
Zanguzen,90,falco,4.607,-22
Phil,91,fox,4.547,+1
Darrell,92,samus,4.518,-9
NMW,93,captain falcon,4.505,NEW
Porkchops,94,falco,4.365,-1
Jflex,95,sheik;fox,4.354,NEW
Vanity Angel,96,peach,4.331,NEW
$mike,97,captain falcon,4.326,-12
Nightmare,98,marth,4.314,NEW
4%,99,jigglypuff,4.299,NEW
Drunk Sloth,100,ice climbers,4.261,NEW
Cyrain,101,fox,N/A,NEW
