player,rating,rd,sets,wins,losses,tournaments
superboomfan,2152.23570977,71.5138582617,94,90,4,10
alvin,2016.99262545,96.2208590803,20,17,3,2
mariguas,1942.4147103,71.1807303028,51,41,10,5
tr3gthez,1938.94834288,92.9029584075,29,23,6,3
wizzrobe,1916.11727262,68.2961869659,55,44,11,7
isai,1907.00925387,83.8376217422,33,27,6,3
kerokeroppi,1874.76147524,65.3704295001,64,49,15,7
tacos,1872.87379848,72.6759650088,51,39,12,6
barksanchez,1863.69113364,69.2310007921,42,30,12,5
zantetsu,1863.68193768,109.310483919,17,13,4,2
dext3r,1861.75543198,78.9064782211,37,28,9,4
marbles,1858.31130014,102.806455135,18,14,4,2
wario,1854.0221633,144.573041605,11,10,1,1
vinsanity,1846.4399307,146.095533516,8,6,2,1
kurabba,1840.91223526,148.720571012,9,7,2,1
stranded,1835.85662855,89.8888189604,32,26,6,4
dtan,1834.53833624,98.909133369,19,14,5,2
revan,1827.27626279,69.5406450232,52,39,13,6
lowww,1825.65098024,140.719717958,9,7,2,1
wangera,1816.3543961,103.758126083,21,16,5,2
prince,1813.16591564,140.583327143,9,7,2,1
fireblaster,1799.38856129,64.656004857,82,60,22,10
heropie,1792.66824631,104.669656898,16,12,4,2
derek #squats,1784.13785018,102.431553027,16,11,5,2
handsometom,1779.69103521,109.626351828,16,11,5,2
nta,1770.29418392,182.14788035,16,11,5,2
firo,1766.66071896,89.0774143695,23,15,8,3
fox,1765.15158393,96.3162966933,24,17,7,3
bark the shark,1763.40898369,79.1371117458,40,29,11,5
cobr,1755.29620942,119.310581007,23,15,8,3
$$$ jim $$$,1748.85046322,97.7702775585,17,12,5,2
jaimehr,1747.08469808,83.6419046796,30,21,9,4
combo blaze,1746.70701259,85.0156355277,30,20,10,4
janitor,1742.91400086,82.6153095289,33,24,9,4
sotoh,1739.34832572,92.0787612919,27,18,9,4
mojomonkey,1738.88650272,145.29985239,8,6,2,1
lorenzo,1736.61834149,96.0816143467,22,15,7,3
hero pie,1732.20243818,109.319814551,17,11,6,2
shears,1729.23605842,64.3715768739,68,46,22,9
bonobono,1728.2293039,144.795115761,7,5,2,1
dark gentleman,1726.49980788,134.680181776,11,7,4,2
star king,1724.04819483,171.464814716,17,11,6,2
janco,1723.52654095,124.06218423,13,8,5,2
spark,1721.91984241,148.340391045,7,5,2,1
