player,rating,rd,sets,wins,losses,tournaments
superboomfan,2149.68809912,71.3532659763,110,106,4,12
alvin,2014.840427,96.1081399792,20,17,3,2
mariguas,1937.69940432,70.920282567,51,41,10,5
wizzrobe,1912.35361905,68.1829543843,69,54,15,9
isai,1906.89329917,83.8739668932,33,27,6,3
kerokeroppi,1869.42291841,65.0449197016,80,61,19,9
tr3gthez,1869.16328776,80.1187583301,58,45,13,6
tacos,1868.47700802,72.5271923003,51,39,12,6
barksanchez,1864.48658736,68.7388341946,42,30,12,5
dext3r,1861.10570228,78.8975227168,37,28,9,4
zantetsu,1854.99795056,108.591209146,17,13,4,2
wario,1854.0221633,144.573041605,11,10,1,1
vinsanity,1846.19341828,146.063035911,8,6,2,1
kurabba,1840.17281464,148.620114555,9,7,2,1
stranded,1835.23097009,89.8305378391,32,26,6,4
dtan,1833.66424022,98.8292470189,19,14,5,2
revan,1821.7797655,68.791528484,70,53,17,8
lowww,1813.14333142,139.106368101,9,7,2,1
prince,1813.10573268,140.575964575,9,7,2,1
wangera,1806.13160282,102.696884962,21,16,5,2
fireblaster,1798.86332897,64.6363776568,94,68,26,12
heropie,1792.6899803,104.641633006,16,12,4,2
marbles,1782.3941421,82.4306321517,32,23,9,4
derek #squats,1780.09896152,101.361799447,36,25,11,4
handsometom,1771.38717175,108.638455689,30,19,11,4
fox,1764.93593515,96.3012513128,24,17,7,3
bark the shark,1763.33175924,79.1417732755,54,39,15,7
firo,1762.07049906,88.5292532761,23,15,8,3
cobr,1755.33392357,119.328859422,23,15,8,3
$$$ jim $$$,1747.59986257,97.7270919315,17,12,5,2
jaimehr,1747.36238605,83.6415185199,30,21,9,4
combo blaze,1746.78646918,85.0296343843,30,20,10,4
janitor,1742.60830403,82.5959360967,33,24,9,4
sotoh,1739.05500803,92.0463668405,27,18,9,4
mojomonkey,1737.76478405,145.154444776,8,6,2,1
hero pie,1731.20994763,109.203835586,17,11,6,2
lorenzo,1728.92775441,95.3687262086,22,15,7,3
bonobono,1726.70743493,144.574576229,7,5,2,1
