player,mu,sigma,wins,losses,sets
armada,53.753887087,1.05906296694,128,15,143
hungrybox,51.6940732574,0.976169995153,172,30,202
mang0,51.6906569981,0.950248529594,143,30,173
mew2king,51.016413052,0.919840042901,136,34,170
leffen,48.8161752563,1.14030124843,72,17,89
sfat,47.7757878856,0.937932624803,120,41,161
wizzrobe,47.722615984,0.985686908141,105,33,138
ice,47.697211986,1.02735006841,116,29,145
plup,47.1552269349,1.09292538682,53,22,75
westballz,46.8487967477,0.962550077464,100,36,136
swedish delight,46.5656601218,1.06261710789,77,27,104
axe,46.5224905691,1.02069963734,70,27,97
shroomed,46.4277223863,1.04419245265,71,26,97
hax,46.0265026406,2.58830229017,8,3,11
lucky,45.8892624982,1.10425987807,59,23,82
chudat,45.790169455,1.33343821098,38,14,52
amsa,45.546011012,2.00529989932,16,4,20
druggedfox,45.4448711792,1.07057614362,72,25,97
pewpewu,45.3524403876,1.09102838718,56,23,79
duck,45.1043816501,1.03884150235,73,28,101
professor pro,45.0425307286,1.05443290023,94,28,122
kirbykaze,44.935849436,1.39906056144,34,13,47
laudandus,44.8972006079,1.4442972451,32,10,42
infinitenumbers,44.7518572115,2.87359107639,7,2,9
s2j,44.7479329096,1.00380391832,86,35,121
n0ne,44.5335714509,1.14246296931,55,24,79
syrox,44.4540176053,1.28917658869,45,15,60
the moon,44.4011199998,1.03850563462,78,34,112
trif,44.321740888,1.48677260872,43,10,53
dizzkidboogie,44.2801256562,1.06787213665,71,24,95
smashg0d,44.2512783748,1.56905795032,28,8,36
kjh,44.0754359423,1.04403060909,74,30,104
mafia,43.9024364201,1.42015191192,29,14,43
colbol,43.7230601447,1.16961369651,61,24,85
mikehaze,43.565019346,1.30158903945,38,17,55
infinite numbers,43.5636334759,2.49719132405,8,4,12
gahtzu,43.5551152825,1.25488394772,39,19,58
zgetto,43.5202605581,1.51320961145,35,11,46
slox,43.5161015996,1.26897538663,45,16,61
chillindude,43.4724421574,1.2223078763,47,19,66
wobbles,43.4177602706,1.18877555339,48,24,72
overtriforce,43.3898449434,1.79122448026,33,6,39
macd,43.3870455195,1.04610938853,76,36,112
