P1, P2, set winner
mlpjoey,tequila,1
choochoo,brothabebz,0
hh toast,drew,0
frobey,shredflintstone,0
$mike,tequila,0
theroyalwe,choochoo,0
hello,hh toast,0
aero,frobey,1
$mike,theroyalwe,0
hello,frobey,0
$mike,hello,0
aero,mlpjoey,0
hh toast,brothabebz,0
choochoo,drew,1
tequila,shredflintstone,0
aero,hh toast,1
drew,tequila,0
theroyalwe,hh toast,1
frobey,drew,1
hh toast,drew,0
hello,hh toast,0
u01,mu9en,0
@xx_po0p_master_520_xx,tetsu,1
shucklin,drage,1
jr,iffy,1
tekk,u01,1
spaceanimalz.com,tetsu,0
1der,drage,0
yordy,iffy,0
u01,spaceanimalz.com,1
1der,yordy,0
spaceanimalz.com,1der,1
iffy,mu9en,0
drage,@xx_po0p_master_520_xx,0
tetsu,shucklin,0
tekk,jr,0
iffy,drage,1
tetsu,tekk,0
u01,drage,1
yordy,tetsu,0
drage,yordy,1
spaceanimalz.com,yordy,0
eru,sss,0
a-wall,finesse,0
urboygraham,bepis,1
hype!,cholo steve,0
trulliam,eru,0
the postal tilt,a-wall,1
violence,bepis,0
aly,hype!,0
trulliam,a-wall,0
violence,aly,0
trulliam,violence,0
hype!,sss,0
bepis,finesse,0
the postal tilt,urboygraham,0
eru,cholo steve,0
hype!,bepis,0
the postal tilt,eru,1
a-wall,hype!,0
aly,eru,0
a-wall,aly,0
violence,a-wall,0
dono42,kjs,0
mekk,hayzze,0
jackzilla,doepp,1
frenzy,stewbird,0
raalts,420bonglord,0
triple r,dono42,0
mekk,doepp,0
yeti,frenzy,1
general heinz,raalts,0
triple r,mekk,0
frenzy,general heinz,0
triple r,frenzy,1
hayzze,jackzilla,1
raalts,kjs,0
yeti,jackzilla,0
doepp,stewbird,0
dono42,420bonglord,0
raalts,yeti,1
doepp,dono42,0
mekk,yeti,1
general heinz,doepp,0
yeti,general heinz,0
triple r,yeti,0
qedem,ezreal,1
kampy,negrodomus,1
milo,severian,1
braev,wowzers,0
drephen,ezreal,0
pillars,negrodomus,0
q,severian,0
will,braev,0
drephen,pillars,0
q,will,0
drephen,q,0
braev,qedem,0
severian,kampy,0
negrodomus,milo,1
ezreal,wowzers,1
braev,severian,0
milo,wowzers,1
