player,mu,sigma,wins,losses,sets
superboomfan,51.7104035184,1.39365336541,106,4,110
wario,46.8011037125,2.77164036346,10,1,11
alvin,46.5172936672,1.99406059553,17,3,20
mariguas,45.7060630612,1.50499384488,41,10,51
isai,45.669063451,1.77882884358,27,6,33
tr3gthez,44.9675699979,1.36110389332,45,13,58
wangera,44.6470838933,2.06238191453,16,5,21
tacos,44.3159669395,1.52065544352,39,12,51
wizzrobe,43.8638683578,1.26046599431,54,15,69
stranded,43.843941638,1.75191278917,26,6,32
kerokeroppi,43.6923204534,1.2334432249,61,19,80
dext3r,43.5632871654,1.62657479065,28,9,37
revan,42.3775426196,1.24232923032,53,17,70
kurabba,42.0987178707,2.93076791952,7,2,9
barksanchez,41.8025845568,1.51095927038,30,12,42
prince,41.1225279802,2.98295454567,7,2,9
fox,40.5677329846,1.99079645936,17,7,24
dtan,39.91981855,2.17108562754,14,5,19
zantetsu,39.8527674818,2.48207244336,13,4,17
bark the shark,39.6407336444,1.42373471163,39,15,54
fireblaster,39.6024753459,1.1172625427,68,26,94
banze,39.1874486014,2.4245784114,11,5,16
kort,39.1771161909,2.32133655785,11,6,17
derek #squats,39.003851609,1.45732088033,25,11,36
jaimehr,38.9518726932,1.84611145233,21,9,30
firo,38.8987029292,1.95367631333,15,8,23
star king,38.692479494,2.28316954387,11,6,17
vinsanity,38.255477341,3.36436188716,6,2,8
marbles,38.1318334418,1.77212479901,23,9,32
hero pie,38.1145653459,2.32976665887,11,6,17
lowww,38.096822507,3.22544505059,7,2,9
combo blaze,38.0727462327,1.84407542306,20,10,30
nta,38.0305202567,2.28047928149,11,5,16
zero,37.9280052412,2.34388620207,11,6,17
shalaka,37.873322751,2.47336377945,10,6,16
ybombb,37.6703459776,1.98923366172,19,9,28
bonobono,37.6507588221,3.26552157921,5,2,7
heropie,37.5746972022,2.39222598441,12,4,16
handsometom,36.9743433339,1.76932566394,19,11,30
nacl,36.9578262047,2.34841153337,12,6,18
lord narwhal,36.9074998934,1.99490092218,14,9,23
nintendude,36.8459134892,1.42644378611,29,19,48
$$$ jim $$$,36.7495460812,2.17453633563,12,5,17
mojomonkey,36.7050642007,3.22501756668,6,2,8
cobr,36.6588106883,1.98043173187,15,8,23
kimimaru,36.6476942215,2.40084041993,13,5,18
kyle tree,36.6451201131,2.58502043343,9,5,14
shears,36.5464808497,1.19198613864,50,28,78
sotoh,36.2297814026,1.95230404512,18,9,27
janco,36.0338983994,2.02163555008,14,11,25
near,35.8498770122,3.02497758911,7,3,10
janitor,35.7493746487,1.80503919365,24,9,33
lorenzo,35.7354589841,2.04011424591,15,7,22
clubbadubba,35.5997930816,2.45877400461,9,6,15
sheermadness,35.5933529261,3.31983852226,5,2,7
wookiee,35.5379505378,1.94450447147,18,9,27
robert,35.2840252916,2.16206646915,15,7,22
fumbles,35.2664123588,3.14182311258,5,3,8
jason,35.173257275,1.87756404456,19,9,28
nothing,35.1727025149,2.23578060096,15,6,21
letsgo,35.0767939385,3.98332262498,3,3,6
amida,34.9656731388,2.24915884064,13,7,20
finio,34.8189861313,3.57863799976,5,2,7
hipstur,34.8144725989,1.76679069528,24,11,35
sextc,34.7919731146,1.84400095637,15,9,24
a$,34.7767748017,3.59474194312,4,2,6
b link,34.7644827835,2.00025133245,12,9,21
dajjal,34.642369467,2.01274593836,15,9,24
spark,34.1849499621,3.34677426187,5,2,7
kyle,34.1352692786,2.37541981288,9,6,15
saltsizzle,34.0105127437,2.18783984644,10,8,18
loto,34.0062240886,3.75401774972,4,2,6
monte,33.9836279271,3.26627792594,4,3,7
battlecow,33.7481752037,3.11170265713,5,3,8
jay-r,33.6986723234,3.67430439323,5,2,7
fishaman p,33.6793901814,2.43125478704,9,6,15
preston,33.6261391843,1.66281427623,20,15,35
satan [turner],33.5785760511,3.29370485743,4,3,7
sax,33.5424875665,3.13567059651,5,3,8
darkhorse,33.5392550393,1.85813526758,18,12,30
the big d,33.535068922,2.3942307915,12,6,18
facechew,33.5159474865,3.93223341888,5,2,7
stonefallow,33.4885922943,3.3527050658,7,4,11
sunnyb,33.4665147887,3.27505920864,5,3,8
jay_mute$,33.4428482224,2.53418571138,9,5,14
zeppelin,33.4129709692,3.02943221735,5,3,8
bowl,33.3915280939,2.74739399969,8,5,13
dark gentleman,33.3470718973,2.89589833076,7,4,11
snorlax,33.3372507437,1.68870516308,18,14,32
fck vwls,33.2965252035,1.89809592536,14,14,28
pugs,33.2592129915,2.5227119409,8,5,13
poobearninja,33.2536349535,2.81585295972,9,4,13
jimmy joe,33.2217502554,1.81099232883,18,13,31
nesskhalifa,33.2005400454,2.2483348923,11,8,19
b0n,33.1779790456,2.3402699401,12,6,18
socrates,33.1370694633,2.60609697424,9,6,15
freean,33.1221192917,2.34933073047,12,7,19
yobolight,33.1079091761,2.40405528696,12,7,19
ivor,33.0560047466,2.4354482421,9,6,15
connor,33.0215930902,2.29900234677,12,7,19
box765,32.9054880188,3.17656260828,6,3,9
gravyfingers,32.8850387228,3.33464973493,4,3,7
smash jesus,32.8402073094,2.6953203166,10,4,14
sedda,32.8071483436,2.33453399661,11,7,18
the dark gentleman,32.7400244337,3.4874976041,4,3,7
nattybroh,32.7062450504,2.57074085317,9,4,13
hotline,32.6568442852,3.71631057603,4,2,6
madrush21,32.6480231311,1.55252559731,24,19,43
knitephox,32.5955887246,2.39356948166,10,7,17
dogg,32.5731391598,2.55598025188,8,6,14
eg,32.5546471681,2.23474122901,11,6,17
masterhandjob,32.5101354675,2.02167660816,15,11,26
yunque,32.3469447492,2.87365394258,6,5,11
mr.sir,32.2469788114,1.30974065995,34,26,60
dogs_johnson,32.2405867872,2.3872106147,11,7,18
cyoonit,32.1853768613,3.48883026286,4,3,7
rossi,32.1802476436,4.06898192551,3,2,5
josephzander,32.1649644631,3.27822155046,6,3,9
llcstoism,32.1317195775,2.55932421397,9,6,15
bard,32.1122468141,2.02038681565,16,9,25
mokkori,32.1114700357,3.91308839434,4,2,6
the protagonist,32.067825914,2.72250800441,7,6,13
tyhiggz,32.0406901145,2.33125667213,9,8,17
spongy,32.0113154061,2.6001583039,9,4,13
dfx,31.9926589768,1.90919161085,15,12,27
daniel,31.9585687739,2.31055515993,11,8,19
kaz,31.9196731766,2.8309625469,8,5,13
a to the z,31.8188309204,2.09774447654,11,10,21
d35,31.8088985172,1.96026415615,17,11,28
rith,31.7710413189,3.64186631047,4,3,7
bread,31.7241415153,2.63158741189,8,6,14
ctg,31.7176955364,2.1260931865,14,11,25
onski,31.6911943848,2.23951229967,15,10,25
scoback,31.6272855477,2.90248055928,6,6,12
eggmode,31.5634626243,2.32696099943,11,8,19
limesoda,31.5239937287,2.37717358931,9,7,16
tot,31.4564404974,3.01820822621,7,6,13
